NPS_common-rare	NPS_single	observed_overlap	expected_overlap_mean	expected_overlap_std	empirical_p	obs_exp	rare_dataset	common_dataset	logp
1	1.0	571	457.82	19.902954554537878	6.479945084498512e-09	1.2472150626883929	alcoholintake_FDR_25	GSCAN_DPW_magma	8.188428674623283
1	1.5	223	162.81	10.476349555069266	4.5873153606981e-09	1.3696947361955654	alcoholintake_FDR_25	GSCAN_DPW_magma	8.338441402727586
1	2.0	79	57.17	7.874077723771845	0.0027823317194501616	1.3818436242784677	alcoholintake_FDR_25	GSCAN_DPW_magma	2.555591093129559
1	3.0	5	7.57	2.5894207846543593	0.8395231481486969	0.6605019815059445	alcoholintake_FDR_25	GSCAN_DPW_magma	0.07596732457102241
1	4.0	2	1.99	1.466253729748027	0.4972791940466409	1.0050251256281406	alcoholintake_FDR_25	GSCAN_DPW_magma	0.30339971108702163
1	5.0	2	0.96	0.9687104830649866	0.1415027518446994	2.0833333333333335	alcoholintake_FDR_25	GSCAN_DPW_magma	0.8492351142079093
2	1.0	435	347.52	16.504835655043642	5.7817411463592834e-08	1.2517265193370166	alcoholintake_FDR_25	GSCAN_DPW_magma	7.237941355976376
2	1.5	223	159.43	11.79513035112372	3.532457416385852e-08	1.3987329862635638	alcoholintake_FDR_25	GSCAN_DPW_magma	7.451923064848155
2	2.0	79	56.25	6.7488887974243585	0.0003745808430163397	1.4044444444444444	alcoholintake_FDR_25	GSCAN_DPW_magma	3.4264544372785517
2	3.0	5	7.68	2.6566143867712535	0.8434653881341322	0.6510416666666667	alcoholintake_FDR_25	GSCAN_DPW_magma	0.07393273411903697
2	4.0	2	2.18	1.525647403563484	0.5469593172533359	0.9174311926605504	alcoholintake_FDR_25	GSCAN_DPW_magma	0.26204497521949605
2	5.0	2	1.0	0.8	0.10564977366685535	2.0	alcoholintake_FDR_25	GSCAN_DPW_magma	0.9761314289982375
3	1.0	299	229.73	13.43640949063402	1.2654833174489405e-07	1.3015278805554347	alcoholintake_FDR_25	GSCAN_DPW_magma	6.897743575663866
3	1.5	208	146.01	10.110880278195365	4.365896309572445e-10	1.4245599616464626	alcoholintake_FDR_25	GSCAN_DPW_magma	9.359926583037156
3	2.0	79	55.99	6.618904743233581	0.0002540911921228646	1.4109662439721378	alcoholintake_FDR_25	GSCAN_DPW_magma	3.595010389175272
3	3.0	5	7.68	2.6977027263951827	0.8397516883876619	0.6510416666666667	alcoholintake_FDR_25	GSCAN_DPW_magma	0.07584911430176969
3	4.0	2	2.31	1.3978197308666094	0.5877550694421008	0.8658008658008658	alcoholintake_FDR_25	GSCAN_DPW_magma	0.23080361635659846
