"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","glucuronosyltransferase activity","GO:0015020","true","5.933452515691779e-23","22.226692528862323","34","204","17","20195","UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A2"
"GO:MF","UDP-glycosyltransferase activity","GO:0008194","false","1.3631938498392383e-14","13.8654423819281","145","204","20","20195","EPM2A,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A2,XYLT1"
"GO:MF","oxidoreductase activity","GO:0016491","true","2.8254761010607028e-12","11.54890836177658","751","204","36","20195","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3A1,ALDH3B1,ALDH6A1,BCKDHB,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A43,CYP3A5,DHRS3,FMO3,HBA2,KDM8,LDHAL6A,LDHD,MECR,MGST1,PTGR1,PTGR2,SRXN1,TP53I3,VAT1L"
"GO:MF","alcohol dehydrogenase activity, zinc-dependent","GO:0004024","false","4.7460944762653616e-12","11.323663620920126","7","204","7","20195","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7"
"GO:MF","hexosyltransferase activity","GO:0016758","false","5.777932498944319e-12","11.238227536134474","197","204","20","20195","EPM2A,STT3A,TMTC1,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A2"
"GO:MF","alcohol dehydrogenase (NAD+) activity","GO:0004022","false","7.445618038150476e-12","11.128099246949","11","204","8","20195","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1"
"GO:MF","alcohol dehydrogenase [NAD(P)+] activity","GO:0018455","false","2.2144115031972038e-11","10.654741671189154","12","204","8","20195","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1"
"GO:MF","glycosyltransferase activity","GO:0016757","false","3.167777043797383e-11","10.49924539275677","273","204","22","20195","EPM2A,STT3A,TMTC1,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A2,XYLT1"
"GO:MF","oxidoreductase activity, acting on the aldehyde or oxo group of donors","GO:0016903","false","8.706318213383148e-10","9.060165463552295","49","204","11","20195","ADH4,ADH5,ADH7,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3A1,ALDH3B1,ALDH6A1,BCKDHB"
"GO:MF","aldehyde dehydrogenase [NAD(P)+] activity","GO:0004030","false","1.8583764282587928e-9","8.7308663117862","18","204","8","20195","ADH4,ADH5,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3A1,ALDH3B1"
"GO:MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0016616","false","2.3211596220450298e-9","8.634294992853137","131","204","15","20195","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,AKR1A1,ALDH3A1,DHRS3,LDHAL6A,LDHD,PTGR1,PTGR2"
"GO:MF","oxidoreductase activity, acting on CH-OH group of donors","GO:0016614","false","6.81045024752334e-9","8.166824175377812","141","204","15","20195","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,AKR1A1,ALDH3A1,DHRS3,LDHAL6A,LDHD,PTGR1,PTGR2"
"GO:MF","catalytic activity","GO:0003824","false","1.232633927389998e-8","7.909165882787819","5758","204","103","20195","AADAC,ACACB,ACO1,ACSS1,ADGRG6,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,AKAP7,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3A1,ALDH3B1,ALDH6A1,AWAT2,BCKDHB,CA14,CDK8,CKB,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A43,CYP3A5,DDX6,DHRS3,DNMT3A,EEF2K,EPM2A,ESD,FMO3,GIT2,GLYAT,GRK6,HBA2,HIPK3,HSP90AA1,INPPL1,KDM8,KIFC2,LDHAL6A,LDHD,MASP2,MECR,MGST1,NAGPA,OTUD6B,PANK2,PCMTD1,PHLPP2,PKLR,PM20D1,PRKAB2,PRKAR2A,PTEN,PTGR1,PTGR2,RGN,SBK1,SCRN3,SMG1,SND1,SRXN1,STT3A,SULT1A1,SULT1A2,SYNJ2,TENT2,TMTC1,TP53I3,TRIM45,TRPM7,TXK,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A2,ULK3,VAT1L,XYLT1"
"GO:MF","aldehyde dehydrogenase (NAD+) activity","GO:0004029","false","5.0264075343148194e-8","7.298742302307536","16","204","7","20195","ADH5,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3A1,ALDH3B1"
"GO:MF","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","GO:0016620","false","9.381476608294322e-8","7.027728799961683","40","204","9","20195","ADH4,ADH5,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3A1,ALDH3B1,ALDH6A1"
"GO:MF","NAD-retinol dehydrogenase activity","GO:0004745","false","2.1577289788568407e-7","6.666003105704394","19","204","7","20195","ADH1A,ADH1B,ADH1C,ADH4,ADH6,ADH7,DHRS3"
"GO:MF","retinoid binding","GO:0005501","true","0.0000017467280298780941","5.757774710539751","38","204","8","20195","ADH4,ADH7,ALDH1A2,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:MF","isoprenoid binding","GO:0019840","false","0.0000017467280298780941","5.757774710539751","38","204","8","20195","ADH4,ADH7,ALDH1A2,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
