Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GOBP_ORGANIC_ACID_METABOLIC_PROCESS	920	54	1.050196994356205e-31	8.140076903254944e-28	MECR:AKR1A1:PRKAB2:PKLR:FMO3:PM20D1:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:ADIPOQ:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:BCKDHB:MLXIPL:CYP3A5:ADHFE1:ACO1:ALDH1A1:PTGR1:CYP2C18:CYP2E1:LDHAL6A:GLYAT:ACACB:PTGR2:RP5-1021I20.4:ALDH6A1:ALDH1A3:SULT1A2:SULT1A1:LDHD:GIT1:CYP2B6:CYP2A13:PANK2:ACSS1:RGN:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANIC_ACID_METABOLIC_PROCESS
GO_bp	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	598	45	7.754865145753634e-31	3.0053979872368207e-27	MECR:AKR1A1:PRKAB2:PKLR:PM20D1:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:ADIPOQ:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:MLXIPL:CYP3A5:ALDH1A1:PTGR1:CYP2C18:CYP2E1:GLYAT:ACACB:PTGR2:RP5-1021I20.4:ALDH1A3:LDHD:GIT1:CYP2B6:CYP2A13:PANK2:ACSS1:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS
GO_bp	GOBP_CELLULAR_GLUCURONIDATION	19	15	7.510474184149979e-29	1.9404561800448831e-25	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_GLUCURONIDATION
GO_bp	GOBP_URONIC_ACID_METABOLIC_PROCESS	24	16	1.0224118725109293e-28	1.9811786059580533e-25	AKR1A1:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_URONIC_ACID_METABOLIC_PROCESS
GO_bp	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	1736	66	5.581310399482537e-28	8.652147381277828e-25	DHRS3:MECR:AKR1A1:PRKAB2:PKLR:FMO3:PM20D1:TP53I3:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:ADIPOQ:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:ABCG2:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:BCKDHB:SYNJ2:MLXIPL:CYP3A5:ADHFE1:ACO1:ALDH1A1:PTGR1:PTEN:CYP2C18:CYP2E1:LDHAL6A:GLYAT:ALDH3B1:INPPL1:LIMA1:ACACB:ALDH2:ESD:PTGR2:RP5-1021I20.4:ALDH6A1:ALDH1A3:SULT1A2:SULT1A1:LDHD:GIT1:CYP2B6:CYP2A13:PANK2:ACSS1:RGN:SLC35A2:AWAT2:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SMALL_MOLECULE_METABOLIC_PROCESS
GO_bp	GOBP_LIPID_METABOLIC_PROCESS	1344	56	2.1876172956487247e-25	2.8260369430955442e-22	DHRS3:MECR:AKR1A1:PRKAB2:PM20D1:SH3YL1:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A4:UGT1A3:UGT1A1:AADAC:ADIPOQ:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:BCKDHB:SYNJ2:MLXIPL:CYP3A5:CYP3A43:ADHFE1:ALDH1A1:PTGR1:PTEN:CYP2C18:CYP2E1:ALDH3B1:INPPL1:LIMA1:ACACB:PTGR2:RP5-1021I20.4:ALDH1A3:SULT1A2:SULT1A1:ALDH3A1:CYP2B6:CYP2A13:APOC4-APOC2:APOC4:PANK2:ACSS1:RGN:AWAT2:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_LIPID_METABOLIC_PROCESS
GO_bp	GOBP_ETHANOL_METABOLIC_PROCESS	19	12	2.3053656505872207e-21	2.552698451100221e-18	ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:ALDH3B1:ALDH2:SULT1A2:SULT1A1:ACSS1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ETHANOL_METABOLIC_PROCESS
GO_bp	GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS	99	19	3.523872828476369e-21	3.086915560656636e-18	DHRS3:AKR1A1:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:CYP3A5:ALDH1A1:CYP2C18:ALDH3B1:ALDH2:ALDH1A3:SULT1A2:SULT1A1:ACSS1:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS
GO_bp	GOBP_XENOBIOTIC_METABOLIC_PROCESS	117	20	3.584342671385592e-21	3.086915560656636e-18	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A3:UGT1A1:AADAC:UGT2B17:UGT2B15:UGT2B7:UGT2B28:CYP3A5:CYP2C18:CYP2E1:GLYAT:SULT1A2:SULT1A1:ALDH3A1:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_XENOBIOTIC_METABOLIC_PROCESS
GO_bp	GOBP_TERPENOID_METABOLIC_PROCESS	94	18	4.190827109687571e-20	3.248310092718836e-17	DHRS3:UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:CYP3A5:ALDH1A1:CYP2C18:CYP2E1:ALDH1A3:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TERPENOID_METABOLIC_PROCESS
