Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	8_pcw	3639	20	0.999155686710925	1	ENSG00000197894:ENSG00000138587:ENSG00000197157:ENSG00000134910:ENSG00000117448:ENSG00000119772:ENSG00000104064:ENSG00000114302:ENSG00000188322:ENSG00000124562:ENSG00000160917:ENSG00000123607:ENSG00000075461:ENSG00000132964:ENSG00000115129:ENSG00000127337:ENSG00000110367:ENSG00000188536:ENSG00000146386:ENSG00000177352
DEG.up	9_pcw	3073	26	0.801950649836986	1	ENSG00000130147:ENSG00000197894:ENSG00000197157:ENSG00000134910:ENSG00000119772:ENSG00000104064:ENSG00000114302:ENSG00000188322:ENSG00000157106:ENSG00000185104:ENSG00000123607:ENSG00000075461:ENSG00000132964:ENSG00000102908:ENSG00000127337:ENSG00000008300:ENSG00000110367:ENSG00000050438:ENSG00000188536:ENSG00000173276:ENSG00000141627:ENSG00000106261:ENSG00000134253:ENSG00000186812:ENSG00000177352:ENSG00000103489
DEG.up	12_pcw	2683	27	0.447309966506617	1	ENSG00000115145:ENSG00000155100:ENSG00000171862:ENSG00000197894:ENSG00000170921:ENSG00000196911:ENSG00000117448:ENSG00000119772:ENSG00000161647:ENSG00000104064:ENSG00000114302:ENSG00000188322:ENSG00000112685:ENSG00000111860:ENSG00000075461:ENSG00000149187:ENSG00000132964:ENSG00000127337:ENSG00000008300:ENSG00000110367:ENSG00000188536:ENSG00000141627:ENSG00000131791:ENSG00000106261:ENSG00000146386:ENSG00000137338:ENSG00000177352
DEG.up	13_pcw	2084	18	0.731277013606439	1	ENSG00000170921:ENSG00000197157:ENSG00000196911:ENSG00000117448:ENSG00000119772:ENSG00000161647:ENSG00000188322:ENSG00000157106:ENSG00000112685:ENSG00000075461:ENSG00000132964:ENSG00000008300:ENSG00000110367:ENSG00000188536:ENSG00000141627:ENSG00000146386:ENSG00000137338:ENSG00000177352
DEG.up	16_pcw	1377	15	0.357108924925293	1	ENSG00000170921:ENSG00000119772:ENSG00000161647:ENSG00000114302:ENSG00000188322:ENSG00000157106:ENSG00000075461:ENSG00000149187:ENSG00000008300:ENSG00000110367:ENSG00000188536:ENSG00000131791:ENSG00000106261:ENSG00000118507:ENSG00000137338
DEG.up	17_pcw	1018	7	0.868775696493332	1	ENSG00000143627:ENSG00000161647:ENSG00000188322:ENSG00000075461:ENSG00000177548:ENSG00000186812:ENSG00000137338
DEG.up	19_pcw	1063	8	0.814081883289253	1	ENSG00000143627:ENSG00000161647:ENSG00000188322:ENSG00000075461:ENSG00000100726:ENSG00000177548:ENSG00000125744:ENSG00000167702
DEG.up	21_pcw	928	7	0.800096969635807	1	ENSG00000170921:ENSG00000143627:ENSG00000161647:ENSG00000188322:ENSG00000075461:ENSG00000149187:ENSG00000118507
DEG.up	24_pcw	899	5	0.9394514314455	1	ENSG00000188322:ENSG00000075461:ENSG00000188536:ENSG00000131791:ENSG00000118507
DEG.up	26_pcw	11	0	1	1	
DEG.up	37_pcw	2325	19	0.816363001986287	1	ENSG00000130147:ENSG00000165458:ENSG00000143627:ENSG00000138074:ENSG00000122729:ENSG00000119711:ENSG00000092969:ENSG00000134769:ENSG00000188536:ENSG00000107104:ENSG00000107623:ENSG00000130529:ENSG00000185989:ENSG00000162496:ENSG00000147576:ENSG00000083123:ENSG00000103319:ENSG00000166816:ENSG00000167702
DEG.up	4_mos	596	6	0.519926371165709	1	ENSG00000134769:ENSG00000118777:ENSG00000107623:ENSG00000147576:ENSG00000167702:ENSG00000136883
DEG.up	10_mos	289	0	1	1	
DEG.up	1_yrs	1034	14	0.12992919814762	1	ENSG00000138593:ENSG00000164031:ENSG00000160716:ENSG00000155886:ENSG00000145819:ENSG00000173258:ENSG00000050438:ENSG00000173276:ENSG00000088387:ENSG00000133687:ENSG00000178104:ENSG00000103489:ENSG00000158528:ENSG00000040199
DEG.up	2_yrs	833	9	0.417444144556714	1	ENSG00000165458:ENSG00000119711:ENSG00000154930:ENSG00000165092:ENSG00000162496:ENSG00000130988:ENSG00000147576:ENSG00000148826:ENSG00000166816
DEG.up	3_yrs	1564	17	0.346645885072561	1	ENSG00000165458:ENSG00000138074:ENSG00000076555:ENSG00000119711:ENSG00000154930:ENSG00000134769:ENSG00000165092:ENSG00000118777:ENSG00000118729:ENSG00000107104:ENSG00000162496:ENSG00000130988:ENSG00000147576:ENSG00000146005:ENSG00000148826:ENSG00000166816:ENSG00000008394
DEG.up	4_yrs	291	1	0.942367035752713	1	ENSG00000165092
