symbol	ensg	entrez
STAM2	ENSG00000115145	10254
SH3BP4	ENSG00000130147	23677
OTUD6B	ENSG00000155100	51633
RAD23A	ENSG00000179262	5886
HSP90AA1	ENSG00000080824	3320
PTEN	ENSG00000171862	5728
MLF1	ENSG00000178053	4291
SECISBP2L	ENSG00000138593	9728
ERBIN	NA	NA
ADH5	ENSG00000197894	128
LIMA1	ENSG00000050405	51474
DNAJB14	ENSG00000164031	79982
TANC2	ENSG00000170921	26115
CHRNB2	ENSG00000160716	1141
GLYAT	ENSG00000149124	10249
ZBTB18	ENSG00000179456	10472
BBLN	NA	NA
ADGRG5	NA	NA
INPPL1	ENSG00000165458	3636
GOLGA6B	ENSG00000215186	55889
MNS1	ENSG00000138587	55329
NECAB3	ENSG00000125967	63941
PKLR	ENSG00000143627	5313
ATG101	NA	NA
SND1	ENSG00000197157	27044
SLC5A6	ENSG00000138074	8884
MLX	ENSG00000108788	6945
KPNA5	ENSG00000196911	3841
ACACB	ENSG00000076555	32
SLC35A2	ENSG00000102100	7355
STT3A	ENSG00000134910	3703
TRMT6	ENSG00000089195	51605
ALDH3B1	ENSG00000006534	221
PTGR1	ENSG00000106853	22949
CYP3A5	ENSG00000106258	1577
GIT1	ENSG00000108262	28964
GIT2	ENSG00000139436	9815
UGT2B7	ENSG00000171234	7364
ALDH2	ENSG00000111275	217
NAGPA	ENSG00000103174	51172
PM20D1	ENSG00000162877	148811
CKB	ENSG00000166165	1152
ALDH1A2	ENSG00000128918	101928635
AKR1A1	ENSG00000117448	10327
ACO1	ENSG00000122729	48
ALDH6A1	ENSG00000119711	4329
DNMT3A	ENSG00000119772	1788
MPP3	ENSG00000161647	4356
GABPB1	ENSG00000104064	2553
TGFB2	ENSG00000092969	7042
PRKAR2A	ENSG00000114302	5576
ACSS1	ENSG00000154930	84532
SBK1	ENSG00000188322	388228
TXK	ENSG00000074966	7294
ULK3	ENSG00000140474	25989
SMG1	ENSG00000157106	101060589
EXOC2	ENSG00000112685	55770
LINS1	NA	NA
CEP85L	ENSG00000111860	387119
TENT2	NA	NA
FAF1	ENSG00000185104	11124
C1orf109	ENSG00000116922	54955
ESD	ENSG00000139684	2098
SNRPC	ENSG00000124562	6631
CPSF4	ENSG00000160917	10898
HIPK3	ENSG00000110422	10114
KIAA2026	ENSG00000183354	158358
TTC21B	ENSG00000123607	100506124
FGF3	ENSG00000186895	2248
SLC24A2	ENSG00000155886	25769
CACNG4	ENSG00000075461	101929306
DLGAP4	ENSG00000080845	22839
SPTBN1	ENSG00000115306	6711
CYP2E1	ENSG00000130649	1571
CACNB3	ENSG00000167535	784
CELF1	ENSG00000149187	10658
PCMTD1	ENSG00000168300	115294
TELO2	ENSG00000100726	9894
CDK8	ENSG00000132964	1024
GRK6	ENSG00000198055	2870
MECP2	ENSG00000169057	4204
TP53I3	ENSG00000115129	9540
ADIPOQ	ENSG00000181092	9370
ALDH3A1	ENSG00000108602	218
FOXP2	ENSG00000128573	93986
FOXP1	ENSG00000114861	27086
FOXP4	ENSG00000137166	116113
ARHGAP26	ENSG00000145819	23092
ADH6	ENSG00000172955	130
RABEP2	ENSG00000177548	79874
DTNA	ENSG00000134769	1837
KDM8	ENSG00000155666	79831
DNAH8	ENSG00000124721	1769
ZNF483	ENSG00000173258	158399
NFAT5	ENSG00000102908	10725
YEATS4	ENSG00000127337	8089
ALDH1A1	ENSG00000165092	216
CELSR3	ENSG00000008300	1951
ALDH1A3	ENSG00000184254	220
ABCG2	ENSG00000118777	9429
CASQ2	ENSG00000118729	845
TRPM7	ENSG00000092439	54822
LDHAL6A	ENSG00000166800	160287
CYP2A13	ENSG00000197838	1553
DDX6	ENSG00000110367	1656
SLC4A8	ENSG00000050438	9498
SYNJ2	ENSG00000078269	8871
ADH7	ENSG00000196344	131
HBA2	ENSG00000188536	3040
KANK1	ENSG00000107104	23189
CD24	NA	NA
ADH1B	ENSG00000196616	125
SULT1A2	ENSG00000197165	6799
ZBTB21	ENSG00000173276	49854
DOCK9	ENSG00000088387	23348
VAT1L	ENSG00000171724	57687
DYM	ENSG00000141627	54808
ADGRL1	NA	NA
GDF10	ENSG00000107623	2662
SH3YL1	ENSG00000035115	26751
CYP3A43	ENSG00000021461	64816
CYP2B6	ENSG00000197408	1555
CYP2C18	ENSG00000108242	1562
DNAJB12	ENSG00000148719	54788
ADGRG6	NA	NA
FMO3	ENSG00000007933	2328
TRPM4	ENSG00000130529	54795
PRKAB2	ENSG00000131791	5565
SULT1A1	ENSG00000196502	6817
MASP2	ENSG00000009724	10747
ZKSCAN5	ENSG00000196652	23660
RASA3	ENSG00000185989	22821
INHBC	ENSG00000175189	3626
LRATD2	NA	NA
ZKSCAN1	ENSG00000106261	7586
DHRS3	ENSG00000162496	9249
MECR	ENSG00000116353	51102
SCRN3	ENSG00000144306	79634
TRIM45	ENSG00000134253	80263
SPAG8	ENSG00000137098	26206
HHIPL2	ENSG00000143512	79802
ADH1A	ENSG00000187758	124
RGN	ENSG00000130988	9104
ADHFE1	ENSG00000147576	137872
AADAC	ENSG00000114771	13
UGT2B15	ENSG00000196620	7366
ADH4	ENSG00000198099	127
TESMIN	NA	NA
