ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000009724	10747	MASP2	MASP2	605102	O00187	DB04527
ENSG00000162496	9249	DHRS3	DHRS3	612830	O75911	DB00162
ENSG00000116353	51102	MECR	MECR	608205	Q9BV79	NA
ENSG00000273274	728116	ZBTB8B	ZBTB8B	NA	Q8NAP8	NA
ENSG00000116922	54955	C1orf109	C1orf109	614799	Q9NX04	NA
ENSG00000117448	10327	AKR1A1	AKR1A1	103830	P14550	DB02383:DB03461:DB09130
ENSG00000185104	11124	FAF1	FAF1	604460	Q9UNN5	NA
ENSG00000118729	845	CASQ2	CASQ2	114251	O14958	DB11093:DB11348:DB14481
ENSG00000134253	80263	TRIM45	TRIM45	609318	Q9H8W5	NA
ENSG00000178104	101930416	PDE4DIP	PDE4DIP	608117	Q5VU43	NA
ENSG00000131791	5565	PRKAB2	PRKAB2	602741	O43741	DB00131
ENSG00000118298	23632	CA14	CA14	604832	Q9ULX7	DB00819:DB00909:DB08846
ENSG00000160716	1141	CHRNB2	CHRNB2	118507	P17787	DB00184:DB00514:DB00564:DB00572:DB00657:DB00674:DB00747:DB00753:DB00898:DB00981:DB01245:DB01273:DB05458:DB05740:DB05855:DB07720:DB09028
ENSG00000143627	5313	PKLR	PKLR	609712	P30613	DB00119:DB02726:DB04551
ENSG00000007933	2328	FMO3	FMO3	136132	P31513	NA
ENSG00000162877	148811	PM20D1	PM20D1	NA	Q6GTS8	NA
ENSG00000092969	7042	TGFB2	TGFB2	190220	P61812	NA
ENSG00000143512	79802	HHIPL2	HHIPL2	NA	Q6UWX4	NA
ENSG00000179456	10472	ZBTB18	ZBTB18	608433	Q99592	NA
ENSG00000035115	26751	SH3YL1	SH3YL1	NA	Q96HL8	NA
ENSG00000115129	9540	TP53I3	TP53I3	605171	Q53FA7	NA
ENSG00000119772	1788	DNMT3A	DNMT3A	602769	Q9Y6K1	NA
ENSG00000138074	8884	SLC5A6	SLC5A6	604024	Q9Y289	DB00121:DB00166
ENSG00000115306	6711	SPTBN1	SPTBN1	182790	Q01082	DB01373:DB03401
ENSG00000115145	10254	STAM2	STAM2	606244	O75886	NA
ENSG00000123607	100506124	TTC21B	TTC21B	612014	Q7Z4L5	NA
ENSG00000144306	79634	SCRN3	SCRN3	614967	Q0VDG4	NA
ENSG00000241635	54659	UGT1A8	UGT1A8	606434	Q9HAW9	NA
ENSG00000242515	54575	UGT1A10	UGT1A10	606435	Q9HAW8	NA
ENSG00000241119	54600	UGT1A9	UGT1A9	606434	O60656	DB04552:DB04824
ENSG00000244122	54577	UGT1A7	UGT1A7	606433	Q9HAW7	NA
ENSG00000167165	54578	UGT1A6	UGT1A6	606431	P19224	NA
ENSG00000240224	54579	UGT1A5	UGT1A5	606430	P35504	NA
ENSG00000244474	54657	UGT1A4	UGT1A4	606429	P22310	NA
ENSG00000243135	54659	UGT1A3	UGT1A3	606428	P35503	NA
ENSG00000242366	54658	UGT1A1	UGT1A1	191740	P22309	DB12010
ENSG00000130147	23677	SH3BP4	SH3BP4	605611	Q9P0V3	NA
ENSG00000008300	1951	CELSR3	CELSR3	604264	Q9NYQ7	NA
ENSG00000114302	5576	PRKAR2A	PRKAR2A	176910	P13861	DB05798
ENSG00000177352	64925	CCDC71	CCDC71	NA	Q8IV32	NA
ENSG00000114861	27086	FOXP1	FOXP1	605515	Q9H334	NA
ENSG00000114771	13	AADAC	AADAC	600338	P22760	NA
ENSG00000178053	4291	MLF1	MLF1	601402	P58340	NA
ENSG00000181092	9370	ADIPOQ	ADIPOQ	605441	Q15848	NA
ENSG00000174004	375387	NRROS	NRROS	615322	Q86YC3	NA
ENSG00000074966	7294	TXK	TXK	600058	P42681	DB12010
ENSG00000197888	7367	UGT2B17	UGT2B17	601903	O75795	NA
ENSG00000196620	7366	UGT2B15	UGT2B15	600069	P54855	NA
ENSG00000109181	101929773	UGT2B10	UGT2B10	600070	P36537	NA
