Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	2107	21	0.0259858673588805	1	ENSG00000171862:ENSG00000050405:ENSG00000149124:ENSG00000076555:ENSG00000122729:ENSG00000161647:ENSG00000110422:ENSG00000181092:ENSG00000184254:ENSG00000088387:ENSG00000007933:ENSG00000185989:ENSG00000187758:ENSG00000114771:ENSG00000133687:ENSG00000174004:ENSG00000009950:ENSG00000103319:ENSG00000103489:ENSG00000008394:ENSG00000248144
DEG.up	Adipose_Visceral_Omentum	1764	20	0.00839317522575585	0.453231462190816	ENSG00000171862:ENSG00000050405:ENSG00000149124:ENSG00000138074:ENSG00000076555:ENSG00000128918:ENSG00000122729:ENSG00000181092:ENSG00000184254:ENSG00000173276:ENSG00000088387:ENSG00000007933:ENSG00000185989:ENSG00000187758:ENSG00000114771:ENSG00000133687:ENSG00000174004:ENSG00000009950:ENSG00000008394:ENSG00000248144
DEG.up	Adrenal_Gland	1540	18	0.00911782432136613	0.492362513353771	ENSG00000125967:ENSG00000006534:ENSG00000106853:ENSG00000106258:ENSG00000122729:ENSG00000177548:ENSG00000173276:ENSG00000171724:ENSG00000196502:ENSG00000130988:ENSG00000114771:ENSG00000271303:ENSG00000172164:ENSG00000009950:ENSG00000118507:ENSG00000158528:ENSG00000008394:ENSG00000176834
DEG.up	Artery_Aorta	2756	22	0.152091605673885	1	ENSG00000115145:ENSG00000050405:ENSG00000164031:ENSG00000134910:ENSG00000161647:ENSG00000092969:ENSG00000080845:ENSG00000114861:ENSG00000137166:ENSG00000118729:ENSG00000078269:ENSG00000107104:ENSG00000173276:ENSG00000171724:ENSG00000130529:ENSG00000185989:ENSG00000130988:ENSG00000198099:ENSG00000133687:ENSG00000169992:ENSG00000159197:ENSG00000125779
DEG.up	Artery_Coronary	2038	11	0.74755170026746	1	ENSG00000171862:ENSG00000050405:ENSG00000128918:ENSG00000092969:ENSG00000181092:ENSG00000114861:ENSG00000137166:ENSG00000118729:ENSG00000107104:ENSG00000130988:ENSG00000133687
DEG.up	Artery_Tibial	2711	25	0.0360543644138565	1	ENSG00000171862:ENSG00000138593:ENSG00000164031:ENSG00000092969:ENSG00000114302:ENSG00000185104:ENSG00000080845:ENSG00000169057:ENSG00000114861:ENSG00000137166:ENSG00000134769:ENSG00000118729:ENSG00000107104:ENSG00000173276:ENSG00000171724:ENSG00000141627:ENSG00000131791:ENSG00000130988:ENSG00000147576:ENSG00000133687:ENSG00000083123:ENSG00000172164:ENSG00000103319:ENSG00000112425:ENSG00000178104
DEG.up	Bladder	842	12	0.00757014228326621	0.408787683296375	ENSG00000050405:ENSG00000111860:ENSG00000132964:ENSG00000114861:ENSG00000118729:ENSG00000078269:ENSG00000107104:ENSG00000131791:ENSG00000134253:ENSG00000169992:ENSG00000103319:ENSG00000008394
DEG.up	Brain_Amygdala	1820	14	0.262211778333036	1	ENSG00000160716:ENSG00000179456:ENSG00000119711:ENSG00000188322:ENSG00000155886:ENSG00000075461:ENSG00000167535:ENSG00000134769:ENSG00000118777:ENSG00000078269:ENSG00000171724:ENSG00000146005:ENSG00000148826:ENSG00000118298
DEG.up	Brain_Anterior_cingulate_cortex_BA24	2370	17	0.329626887375385	1	ENSG00000160716:ENSG00000179456:ENSG00000103174:ENSG00000119711:ENSG00000188322:ENSG00000155886:ENSG00000075461:ENSG00000167535:ENSG00000134769:ENSG00000008300:ENSG00000118777:ENSG00000050438:ENSG00000171724:ENSG00000146005:ENSG00000148826:ENSG00000125744:ENSG00000167702
DEG.up	Brain_Caudate_basal_ganglia	2212	17	0.235310032102039	1	ENSG00000178053:ENSG00000170921:ENSG00000160716:ENSG00000179456:ENSG00000119711:ENSG00000155886:ENSG00000075461:ENSG00000134769:ENSG00000118777:ENSG00000050438:ENSG00000171724:ENSG00000137098:ENSG00000146005:ENSG00000148826:ENSG00000125744:ENSG00000118298:ENSG00000158528
