Category	GeneSet	N_genes	N_overlap	p	adjP	System	genes
DEG.down	Heart_Atrial_Appendage	8409	84	1.37E-06	7.40E-05	cardiac	ENSG00000115145:ENSG00000130147:ENSG00000155100:ENSG00000171862:ENSG00000138593:ENSG00000050405:ENSG00000164031:ENSG00000170921:ENSG00000179456:ENSG00000138587:ENSG00000138074:ENSG00000196911:ENSG00000102100:ENSG00000089195:ENSG00000006534:ENSG00000106853:ENSG00000108262:ENSG00000139436:ENSG00000103174:ENSG00000119711:ENSG00000119772:ENSG00000104064:ENSG00000114302:ENSG00000157106:ENSG00000112685:ENSG00000111860:ENSG00000116922:ENSG00000160917:ENSG00000183354:ENSG00000123607:ENSG00000080845:ENSG00000130649:ENSG00000167535:ENSG00000149187:ENSG00000168300:ENSG00000100726:ENSG00000132964:ENSG00000198055:ENSG00000169057:ENSG00000115129:ENSG00000114861:ENSG00000137166:ENSG00000155666:ENSG00000102908:ENSG00000127337:ENSG00000184254:ENSG00000118777:ENSG00000110367:ENSG00000173276:ENSG00000088387:ENSG00000141627:ENSG00000035115:ENSG00000148719:ENSG00000007933:ENSG00000009724:ENSG00000196652:ENSG00000185989:ENSG00000106261:ENSG00000137098:ENSG00000133687:ENSG00000174004:ENSG00000083123:ENSG00000160908:ENSG00000140987:ENSG00000172164:ENSG00000125744:ENSG00000169992:ENSG00000125779:ENSG00000186812:ENSG00000009950:ENSG00000103319:ENSG00000118507:ENSG00000196275:ENSG00000146386:ENSG00000137338:ENSG00000177352:ENSG00000103489:ENSG00000158528:ENSG00000197037:ENSG00000040199:ENSG00000167702:ENSG00000248144:ENSG00000238083:ENSG00000176834
DEG.down	Heart_Left_Ventricle	9443	94	1.88E-07	1.01E-05	cardiac	ENSG00000115145:ENSG00000130147:ENSG00000155100:ENSG00000171862:ENSG00000138593:ENSG00000050405:ENSG00000164031:ENSG00000170921:ENSG00000179456:ENSG00000197157:ENSG00000138074:ENSG00000102100:ENSG00000134910:ENSG00000089195:ENSG00000006534:ENSG00000106853:ENSG00000108262:ENSG00000139436:ENSG00000103174:ENSG00000117448:ENSG00000119711:ENSG00000119772:ENSG00000104064:ENSG00000092969:ENSG00000114302:ENSG00000188322:ENSG00000140474:ENSG00000157106:ENSG00000112685:ENSG00000111860:ENSG00000185104:ENSG00000116922:ENSG00000139684:ENSG00000160917:ENSG00000183354:ENSG00000123607:ENSG00000080845:ENSG00000167535:ENSG00000149187:ENSG00000168300:ENSG00000100726:ENSG00000132964:ENSG00000198055:ENSG00000169057:ENSG00000115129:ENSG00000181092:ENSG00000114861:ENSG00000137166:ENSG00000145819:ENSG00000177548:ENSG00000155666:ENSG00000102908:ENSG00000127337:ENSG00000165092:ENSG00000184254:ENSG00000092439:ENSG00000110367:ENSG00000078269:ENSG00000173276:ENSG00000088387:ENSG00000141627:ENSG00000035115:ENSG00000148719:ENSG00000007933:ENSG00000130529:ENSG00000131791:ENSG00000196502:ENSG00000196652:ENSG00000185989:ENSG00000106261:ENSG00000137098:ENSG00000130988:ENSG00000133687:ENSG00000174004:ENSG00000160908:ENSG00000172164:ENSG00000125744:ENSG00000169992:ENSG00000125779:ENSG00000186812:ENSG00000009950:ENSG00000103319:ENSG00000118507:ENSG00000196275:ENSG00000146386:ENSG00000137338:ENSG00000177352:ENSG00000158528:ENSG00000197037:ENSG00000008394:ENSG00000040199:ENSG00000167702:ENSG00000248144:ENSG00000176834
DEG.twoside	Heart_Atrial_Appendage	9152	92	1.80E-07	9.75E-06	cardiac	ENSG00000115145:ENSG00000130147:ENSG00000155100:ENSG00000171862:ENSG00000178053:ENSG00000138593:ENSG00000050405:ENSG00000164031:ENSG00000170921:ENSG00000179456:ENSG00000138587:ENSG00000138074:ENSG00000196911:ENSG00000102100:ENSG00000089195:ENSG00000006534:ENSG00000106853:ENSG00000108262:ENSG00000139436:ENSG00000103174:ENSG00000128918:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000104064:ENSG00000114302:ENSG00000157106:ENSG00000112685:ENSG00000111860:ENSG00000116922:ENSG00000160917:ENSG00000183354:ENSG00000123607:ENSG00000080845:ENSG00000130649:ENSG00000167535:ENSG00000149187:ENSG00000168300:ENSG00000100726:ENSG00000132964:ENSG00000198055:ENSG00000169057:ENSG00000115129:ENSG00000114861:ENSG00000137166:ENSG00000155666:ENSG00000102908:ENSG00000127337:ENSG00000184254:ENSG00000118777:ENSG00000118729:ENSG00000110367:ENSG00000173276:ENSG00000088387:ENSG00000141627:ENSG00000035115:ENSG00000148719:ENSG00000007933:ENSG00000009724:ENSG00000196652:ENSG00000185989:ENSG00000106261:ENSG00000137098:ENSG00000133687:ENSG00000174004:ENSG00000083123:ENSG00000160908:ENSG00000156096:ENSG00000140987:ENSG00000172164:ENSG00000125744:ENSG00000169992:ENSG00000125779:ENSG00000186812:ENSG00000009950:ENSG00000118298:ENSG00000103319:ENSG00000118507:ENSG00000178104:ENSG00000166816:ENSG00000196275:ENSG00000146386:ENSG00000137338:ENSG00000177352:ENSG00000103489:ENSG00000158528:ENSG00000197037:ENSG00000040199:ENSG00000167702:ENSG00000248144:ENSG00000238083:ENSG00000176834
DEG.twoside	Heart_Left_Ventricle	9979	100	3.16E-08	1.71E-06	cardiac	ENSG00000115145:ENSG00000130147:ENSG00000155100:ENSG00000171862:ENSG00000178053:ENSG00000138593:ENSG00000050405:ENSG00000164031:ENSG00000170921:ENSG00000179456:ENSG00000197157:ENSG00000138074:ENSG00000102100:ENSG00000134910:ENSG00000089195:ENSG00000006534:ENSG00000106853:ENSG00000108262:ENSG00000139436:ENSG00000103174:ENSG00000117448:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000104064:ENSG00000092969:ENSG00000114302:ENSG00000188322:ENSG00000140474:ENSG00000157106:ENSG00000112685:ENSG00000111860:ENSG00000185104:ENSG00000116922:ENSG00000139684:ENSG00000160917:ENSG00000183354:ENSG00000123607:ENSG00000080845:ENSG00000167535:ENSG00000149187:ENSG00000168300:ENSG00000100726:ENSG00000132964:ENSG00000198055:ENSG00000169057:ENSG00000115129:ENSG00000181092:ENSG00000114861:ENSG00000137166:ENSG00000145819:ENSG00000177548:ENSG00000155666:ENSG00000102908:ENSG00000127337:ENSG00000165092:ENSG00000184254:ENSG00000118729:ENSG00000092439:ENSG00000110367:ENSG00000078269:ENSG00000173276:ENSG00000088387:ENSG00000141627:ENSG00000035115:ENSG00000148719:ENSG00000007933:ENSG00000130529:ENSG00000131791:ENSG00000196502:ENSG00000196652:ENSG00000185989:ENSG00000106261:ENSG00000137098:ENSG00000130988:ENSG00000133687:ENSG00000174004:ENSG00000160908:ENSG00000156096:ENSG00000172164:ENSG00000125744:ENSG00000169992:ENSG00000125779:ENSG00000186812:ENSG00000009950:ENSG00000103319:ENSG00000118507:ENSG00000178104:ENSG00000166816:ENSG00000196275:ENSG00000146386:ENSG00000137338:ENSG00000177352:ENSG00000158528:ENSG00000197037:ENSG00000008394:ENSG00000040199:ENSG00000167702:ENSG00000248144:ENSG00000176834
DEG.up	Colon_Transverse	1602	23	0.000213257	0.011515897	cardiac	ENSG00000106258:ENSG00000132964:ENSG00000115129:ENSG00000128573:ENSG00000172955:ENSG00000118729:ENSG00000197165:ENSG00000197408:ENSG00000130529:ENSG00000196502:ENSG00000196620:ENSG00000149054:ENSG00000242515:ENSG00000166816:ENSG00000146386:ENSG00000135220:ENSG00000241635:ENSG00000242366:ENSG00000197888:ENSG00000040199:ENSG00000248144:ENSG00000136883:ENSG00000176834
DEG.down	Skin_Not_Sun_Exposed_Suprapubic	2691	39	7.74E-07	4.18E-05	epidermal	ENSG00000178053:ENSG00000138587:ENSG00000125967:ENSG00000076555:ENSG00000006534:ENSG00000128918:ENSG00000122729:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000092969:ENSG00000188322:ENSG00000111860:ENSG00000115129:ENSG00000145819:ENSG00000134769:ENSG00000165092:ENSG00000008300:ENSG00000184254:ENSG00000118729:ENSG00000078269:ENSG00000007933:ENSG00000196502:ENSG00000137098:ENSG00000130988:ENSG00000147576:ENSG00000133687:ENSG00000174004:ENSG00000271303:ENSG00000125744:ENSG00000009950:ENSG00000112425:ENSG00000118507:ENSG00000178104:ENSG00000166816:ENSG00000137338:ENSG00000040199:ENSG00000248144:ENSG00000136883
DEG.down	Skin_Sun_Exposed_Lower_leg	2474	32	8.28E-05	0.004471424	epidermal	ENSG00000178053:ENSG00000138587:ENSG00000125967:ENSG00000076555:ENSG00000128918:ENSG00000122729:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000111860:ENSG00000115129:ENSG00000145819:ENSG00000134769:ENSG00000165092:ENSG00000184254:ENSG00000196502:ENSG00000137098:ENSG00000130988:ENSG00000147576:ENSG00000133687:ENSG00000174004:ENSG00000271303:ENSG00000009950:ENSG00000112425:ENSG00000118507:ENSG00000178104:ENSG00000166816:ENSG00000137338:ENSG00000008394:ENSG00000040199:ENSG00000248144:ENSG00000136883
DEG.twoside	Skin_Not_Sun_Exposed_Suprapubic	5432	59	1.04E-05	0.000559154	epidermal	ENSG00000178053:ENSG00000138587:ENSG00000125967:ENSG00000143627:ENSG00000076555:ENSG00000006534:ENSG00000106258:ENSG00000162877:ENSG00000128918:ENSG00000122729:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000092969:ENSG00000188322:ENSG00000157106:ENSG00000111860:ENSG00000130649:ENSG00000115129:ENSG00000108602:ENSG00000145819:ENSG00000177548:ENSG00000134769:ENSG00000165092:ENSG00000008300:ENSG00000184254:ENSG00000118729:ENSG00000078269:ENSG00000107104:ENSG00000173276:ENSG00000035115:ENSG00000108242:ENSG00000007933:ENSG00000130529:ENSG00000196502:ENSG00000106261:ENSG00000137098:ENSG00000130988:ENSG00000147576:ENSG00000114771:ENSG00000133687:ENSG00000174004:ENSG00000271303:ENSG00000125744:ENSG00000009950:ENSG00000103319:ENSG00000112425:ENSG00000118507:ENSG00000178104:ENSG00000166816:ENSG00000137338:ENSG00000147160:ENSG00000168671:ENSG00000167165:ENSG00000197037:ENSG00000040199:ENSG00000167702:ENSG00000248144:ENSG00000136883
DEG.twoside	Skin_Sun_Exposed_Lower_leg	5275	54	0.000145459	0.007854812	epidermal	ENSG00000130147:ENSG00000178053:ENSG00000138587:ENSG00000125967:ENSG00000076555:ENSG00000106258:ENSG00000162877:ENSG00000128918:ENSG00000122729:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000157106:ENSG00000111860:ENSG00000080845:ENSG00000130649:ENSG00000115129:ENSG00000108602:ENSG00000145819:ENSG00000177548:ENSG00000134769:ENSG00000102908:ENSG00000165092:ENSG00000184254:ENSG00000107104:ENSG00000088387:ENSG00000035115:ENSG00000108242:ENSG00000130529:ENSG00000196502:ENSG00000106261:ENSG00000137098:ENSG00000130988:ENSG00000147576:ENSG00000114771:ENSG00000133687:ENSG00000174004:ENSG00000271303:ENSG00000009950:ENSG00000103319:ENSG00000112425:ENSG00000118507:ENSG00000178104:ENSG00000166816:ENSG00000137338:ENSG00000147160:ENSG00000168671:ENSG00000167165:ENSG00000197037:ENSG00000008394:ENSG00000040199:ENSG00000167702:ENSG00000248144:ENSG00000136883
DEG.down	Pancreas	9586	96	8.64E-08	4.67E-06	gastro	ENSG00000115145:ENSG00000155100:ENSG00000171862:ENSG00000178053:ENSG00000138593:ENSG00000197894:ENSG00000050405:ENSG00000164031:ENSG00000170921:ENSG00000165458:ENSG00000138587:ENSG00000125967:ENSG00000138074:ENSG00000196911:ENSG00000076555:ENSG00000089195:ENSG00000006534:ENSG00000106853:ENSG00000108262:ENSG00000139436:ENSG00000111275:ENSG00000103174:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000104064:ENSG00000092969:ENSG00000114302:ENSG00000188322:ENSG00000157106:ENSG00000112685:ENSG00000111860:ENSG00000185104:ENSG00000116922:ENSG00000139684:ENSG00000110422:ENSG00000183354:ENSG00000123607:ENSG00000080845:ENSG00000115306:ENSG00000167535:ENSG00000149187:ENSG00000100726:ENSG00000132964:ENSG00000198055:ENSG00000169057:ENSG00000181092:ENSG00000128573:ENSG00000114861:ENSG00000145819:ENSG00000177548:ENSG00000134769:ENSG00000102908:ENSG00000184254:ENSG00000092439:ENSG00000110367:ENSG00000078269:ENSG00000188536:ENSG00000107104:ENSG00000197165:ENSG00000173276:ENSG00000088387:ENSG00000148719:ENSG00000007933:ENSG00000130529:ENSG00000196502:ENSG00000009724:ENSG00000196652:ENSG00000185989:ENSG00000116353:ENSG00000144306:ENSG00000137098:ENSG00000133687:ENSG00000083123:ENSG00000160908:ENSG00000271303:ENSG00000140987:ENSG00000125744:ENSG00000169992:ENSG00000125779:ENSG00000186812:ENSG00000103319:ENSG00000112425:ENSG00000178104:ENSG00000196275:ENSG00000146386:ENSG00000137338:ENSG00000177352:ENSG00000103489:ENSG00000197037:ENSG00000008394:ENSG00000040199:ENSG00000167702:ENSG00000140043:ENSG00000238083:ENSG00000176834
