Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1900	22	0.00453211228715536	0.135963368614661	ENSG00000171862:ENSG00000050405:ENSG00000149124:ENSG00000138074:ENSG00000076555:ENSG00000128918:ENSG00000122729:ENSG00000110422:ENSG00000181092:ENSG00000184254:ENSG00000196616:ENSG00000088387:ENSG00000007933:ENSG00000185989:ENSG00000187758:ENSG00000114771:ENSG00000133687:ENSG00000174004:ENSG00000009950:ENSG00000103319:ENSG00000008394:ENSG00000248144
DEG.up	Adrenal_Gland	1540	18	0.00911782432136613	0.273534729640984	ENSG00000125967:ENSG00000006534:ENSG00000106853:ENSG00000106258:ENSG00000122729:ENSG00000177548:ENSG00000173276:ENSG00000171724:ENSG00000196502:ENSG00000130988:ENSG00000114771:ENSG00000271303:ENSG00000172164:ENSG00000009950:ENSG00000118507:ENSG00000158528:ENSG00000008394:ENSG00000176834
DEG.up	Bladder	842	12	0.00757014228326621	0.227104268497986	ENSG00000050405:ENSG00000111860:ENSG00000132964:ENSG00000114861:ENSG00000118729:ENSG00000078269:ENSG00000107104:ENSG00000131791:ENSG00000134253:ENSG00000169992:ENSG00000103319:ENSG00000008394
DEG.up	Blood	2250	9	0.951174774146587	1	ENSG00000171862:ENSG00000006534:ENSG00000074966:ENSG00000198055:ENSG00000145819:ENSG00000174004:ENSG00000160908:ENSG00000146386:ENSG00000197888
DEG.up	Blood_Vessel	2696	29	0.00331508242994344	0.0994524728983032	ENSG00000115145:ENSG00000171862:ENSG00000050405:ENSG00000164031:ENSG00000134910:ENSG00000092969:ENSG00000114302:ENSG00000110422:ENSG00000080845:ENSG00000169057:ENSG00000114861:ENSG00000137166:ENSG00000118729:ENSG00000078269:ENSG00000107104:ENSG00000196616:ENSG00000173276:ENSG00000171724:ENSG00000141627:ENSG00000130529:ENSG00000131791:ENSG00000130988:ENSG00000147576:ENSG00000133687:ENSG00000083123:ENSG00000169992:ENSG00000103319:ENSG00000112425:ENSG00000178104
DEG.up	Brain	3208	21	0.466892683622648	1	ENSG00000160716:ENSG00000179456:ENSG00000103174:ENSG00000119711:ENSG00000188322:ENSG00000186895:ENSG00000155886:ENSG00000075461:ENSG00000167535:ENSG00000134769:ENSG00000008300:ENSG00000118777:ENSG00000050438:ENSG00000078269:ENSG00000171724:ENSG00000130988:ENSG00000146005:ENSG00000148826:ENSG00000125744:ENSG00000118298:ENSG00000158528
DEG.up	Breast	1964	19	0.0430177386328757	1	ENSG00000130147:ENSG00000050405:ENSG00000149124:ENSG00000138074:ENSG00000076555:ENSG00000122729:ENSG00000075461:ENSG00000181092:ENSG00000184254:ENSG00000088387:ENSG00000185989:ENSG00000114771:ENSG00000198099:ENSG00000133687:ENSG00000009950:ENSG00000177352:ENSG00000008394:ENSG00000248144:ENSG00000136883
DEG.up	Cervix_Uteri	3005	32	0.00235625213389222	0.0706875640167666	ENSG00000115145:ENSG00000171862:ENSG00000050405:ENSG00000138587:ENSG00000196911:ENSG00000134910:ENSG00000106853:ENSG00000128918:ENSG00000104064:ENSG00000092969:ENSG00000183354:ENSG00000123607:ENSG00000167535:ENSG00000168300:ENSG00000100726:ENSG00000137166:ENSG00000102908:ENSG00000184254:ENSG00000118777:ENSG00000092439:ENSG00000141627:ENSG00000131791:ENSG00000185989:ENSG00000106261:ENSG00000169992:ENSG00000186812:ENSG00000103319:ENSG00000196275:ENSG00000177352:ENSG00000103489:ENSG00000197037:ENSG00000176834
DEG.up	Colon	1574	22	0.000424228926245185	0.0127268677873556	ENSG00000076555:ENSG00000106258:ENSG00000132964:ENSG00000115129:ENSG00000128573:ENSG00000114861:ENSG00000172955:ENSG00000118729:ENSG00000197165:ENSG00000197408:ENSG00000196620:ENSG00000242515:ENSG00000118298:ENSG00000112425:ENSG00000137338:ENSG00000135220:ENSG00000242366:ENSG00000197888:ENSG00000103489:ENSG00000158528:ENSG00000040199:ENSG00000248144
DEG.up	Esophagus	1255	13	0.0561300429304598	1	ENSG00000115129:ENSG00000108602:ENSG00000128573:ENSG00000114861:ENSG00000184254:ENSG00000118729:ENSG00000196344:ENSG00000108242:ENSG00000198099:ENSG00000242515:ENSG00000112425:ENSG00000241635:ENSG00000244122
DEG.up	Fallopian_Tube	485	4	0.367618147589845	1	ENSG00000134910:ENSG00000185989:ENSG00000169992:ENSG00000177352
DEG.up	Heart	613	8	0.0418105795606107	1	ENSG00000178053:ENSG00000128918:ENSG00000161647:ENSG00000118729:ENSG00000156096:ENSG00000118298:ENSG00000178104:ENSG00000166816
DEG.up	Kidney	1348	20	0.000370605601605812	0.0111181680481744	ENSG00000149124:ENSG00000143627:ENSG00000106853:ENSG00000171234:ENSG00000128918:ENSG00000119711:ENSG00000115129:ENSG00000172955:ENSG00000035115:ENSG00000197408:ENSG00000007933:ENSG00000130988:ENSG00000009950:ENSG00000166816:ENSG00000135220:ENSG00000241635:ENSG00000241119:ENSG00000167165:ENSG00000173610:ENSG00000136883
