Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
alcohol intake custom,alcohol_intake_custom,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,393099,,3.22614846294822e-179,0.201374178215179,,,continuous-alcohol_intake_custom-both_sexes--custom
IGF-1,30770,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,374755,,1.3670373520358e-47,-0.105022130252968,,,continuous-30770-both_sexes--irnt
Frequency of drinking alcohol,20414,continuous,,Online follow-up > Mental health > Alcohol use,,128140,,4.78091117125762e-45,0.224600845920831,,,continuous-20414-both_sexes--
Frequency of consuming six or more units of alcohol,20416,continuous,,Online follow-up > Mental health > Alcohol use,,117773,,4.03633623757615e-39,0.199433118478754,,,continuous-20416-both_sexes--
Alkaline phosphatase,30610,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376833,,2.75775347665635e-30,0.0821295454041094,,,continuous-30610-both_sexes--irnt
Urea,30670,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376551,,9.98471984102591e-29,-0.0804041516023104,,,continuous-30670-both_sexes--irnt
Total protein,30860,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,344688,,2.03073284047522e-24,0.0796466615984095,,,continuous-30860-both_sexes--irnt
M10 Gout,131858,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,13596,381245,9.71573523278272e-24,-0.388942391070321,,,icd_first_occurrence-131858-both_sexes--
F10 Mental and behavioural disorders due to use of alcohol,130854,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,7757,387084,4.2829504066162e-22,0.506401117293763,,,icd_first_occurrence-130854-both_sexes--
Urate,30880,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376357,,3.04132270239288e-21,-0.0607307410690565,,,continuous-30880-both_sexes--irnt
Gout,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,5204,175991,6.02296639230349e-21,-0.566325691294348,,,categorical-20002-both_sexes-1466-
"Ever had known person concerned about, or recommend reduction of, alcohol consumption",20405,continuous,,Online follow-up > Mental health > Alcohol use,,128101,,1.12326031413669e-20,0.0524760997923882,,,continuous-20405-both_sexes--
Allopurinol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4133,177062,1.79614782532634e-20,-0.625120407100073,,,categorical-20003-both_sexes-1140875408-
"Systolic blood pressure, automated reading",4080,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,372551,,3.44588350373104e-18,0.0612285045754144,,,continuous-4080-both_sexes--irnt
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,12289,382000,8.16105072337964e-17,-0.34467242639752,,,categorical-20117-both_sexes-0-
LDL direct,30780,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376106,,5.96381090305957e-16,0.0600277769929204,,,continuous-30780-both_sexes--irnt
Frequency of memory loss due to drinking alcohol in last year,20408,continuous,,Online follow-up > Mental health > Alcohol use,,70805,,1.44689717440081e-15,0.0742867871469736,,,continuous-20408-both_sexes--
systolic blood pressure custom,systolic_blood_pressure_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,389886,,9.18082736935577e-14,0.0527824164283109,,,continuous-systolic_blood_pressure_custom-both_sexes--custom
Albumin,30600,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,345108,,1.59746931744202e-13,0.0570732576116964,,,continuous-30600-both_sexes--irnt
Alcohol,100022,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,2.67806821835766e-13,0.116990491230077,,,continuous-100022-both_sexes--
