Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
Leg fat percentage (left),23115,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387925,,1.11359870269406e-14,3.24492743618153,,,continuous-23115-both_sexes--irnt
Leg fat percentage (right),23111,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387945,,6.22178043337769e-14,3.1937275240996,,,continuous-23111-both_sexes--irnt
fat free mass index custom,fat_free_mass_index_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387569,,9.55904161168344e-14,3.6659134613381,,,continuous-fat_free_mass_index_custom-both_sexes--custom
appendicularFFMI custom,appendicularFFMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387704,,2.37649286481869e-13,3.66302925254446,,,continuous-appendicularFFMI_custom-both_sexes--custom
Leg predicted mass (left),23118,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387901,,8.82192782172744e-12,2.96389439431339,,,continuous-23118-both_sexes--irnt
Leg fat-free mass (left),23117,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387906,,1.00408181593203e-11,2.9755690749816,,,continuous-23117-both_sexes--irnt
Leg fat mass (left),23116,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387922,,2.08937146200033e-11,3.6143313919275,,,continuous-23116-both_sexes--irnt
Leg predicted mass (right),23114,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387931,,2.26363967224293e-11,2.88975508473051,,,continuous-23114-both_sexes--irnt
Leg fat-free mass (right),23113,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387932,,2.47978850229685e-11,2.90260765469127,,,continuous-23113-both_sexes--irnt
Arm fat percentage (left),23123,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387830,,2.7211560123551e-11,3.43481559892442,,,continuous-23123-both_sexes--irnt
Arm fat percentage (right),23119,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387894,,6.44634121521555e-11,3.38095420914803,,,continuous-23119-both_sexes--irnt
Weight,23098,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387978,,9.31290468870425e-11,3.88541825769822,,,continuous-23098-both_sexes--irnt
Leg fat mass (right),23112,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387940,,1.24608710052975e-10,3.51264112598204,,,continuous-23112-both_sexes--irnt
weight custom,weight_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393709,,1.32396728136964e-10,3.8549975744148,,,continuous-weight_custom-both_sexes--custom
Weight,21002,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393709,,1.32925817266544e-10,3.85462057174873,,,continuous-21002-both_sexes--irnt
Waist circumference,48,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394166,,2.71867113131629e-10,3.84506983185841,,,continuous-48-both_sexes--irnt
