Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
alcohol intake custom,alcohol_intake_custom,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,393099,,3.38833175711133e-33,-0.13943507978727,,,continuous-alcohol_intake_custom-both_sexes--custom
IGF-1,30770,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,374755,,1.48819510348093e-13,0.0880531228940652,,,continuous-30770-both_sexes--irnt
Frequency of drinking alcohol,20414,continuous,,Online follow-up > Mental health > Alcohol use,,128140,,1.11079443315067e-12,-0.189815265212762,,,continuous-20414-both_sexes--
Alkaline phosphatase,30610,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376833,,2.73774851215309e-10,-0.0745185840736958,,,continuous-30610-both_sexes--irnt
Allopurinol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4133,177062,3.5273703149863e-8,0.632912876520308,,,categorical-20003-both_sexes-1140875408-
Gout,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,5204,175991,6.07245819901196e-8,0.561498156585106,,,categorical-20002-both_sexes-1466-
Vitamin D,30890,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,360290,,0.00000268312749047427,0.0589947782659145,,,continuous-30890-both_sexes--irnt
Urea,30670,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376551,,0.00000273921969364318,0.055720751186096,,,continuous-30670-both_sexes--irnt
F10 Mental and behavioural disorders due to use of alcohol,130854,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,7757,387084,0.0000031872382381951,-0.415037024405534,,,icd_first_occurrence-130854-both_sexes--
M10 Gout,131858,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,13596,381245,0.00000760917621018236,0.302437370149477,,,icd_first_occurrence-131858-both_sexes--
"Ever had known person concerned about, or recommend reduction of, alcohol consumption",20405,continuous,,Online follow-up > Mental health > Alcohol use,,128101,,0.00000819476043386053,-0.0419827695059785,,,continuous-20405-both_sexes--
Frequency of consuming six or more units of alcohol,20416,continuous,,Online follow-up > Mental health > Alcohol use,,117773,,0.0000283576621825237,-0.10688665905444,,,continuous-20416-both_sexes--
Urate,30880,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376357,,0.0000341700010246118,0.0437090080596741,,,continuous-30880-both_sexes--irnt
"Systolic blood pressure, automated reading",4080,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,372551,,0.0000757838910170673,-0.045861498905143,,,continuous-4080-both_sexes--irnt
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,368383,25906,0.0001339854122061,-0.19027438298212,,,categorical-20117-both_sexes-2-
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,12289,382000,0.000147005675266802,0.268011165560081,,,categorical-20117-both_sexes-0-
systolic blood pressure custom,systolic_blood_pressure_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,389886,,0.000160464386145567,-0.0440172816618792,,,continuous-systolic_blood_pressure_custom-both_sexes--custom
Birth weight known,120,categorical,,UK Biobank Assessment Centre > Verbal interview > Early life factors,,224079,170704,0.000197934539862116,0.0985174736816406,,,categorical-120-both_sexes-1-
Total protein,30860,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,344688,,0.000226037083026105,-0.0472070481888161,,,continuous-30860-both_sexes--irnt
A54 Gonococcal infection,130092,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,203,394638,0.000248284083881128,1.64640109097011,,,icd_first_occurrence-130092-both_sexes--
W79.2 Excision of bunion NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,396,213217,0.000261098498093821,1.27299507320185,,,categorical-41200-both_sexes-W792-
Rectal or colon adenoma/polyps,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1185,393598,0.000454169918237208,0.757519044249122,,,categorical-20002-both_sexes-1460-
Apolipoprotein A,30630,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,343018,,0.000498758888161582,0.0411309770876922,,,continuous-30630-both_sexes--irnt
systolic blood pressure adjBMI custom,systolic_blood_pressure_adjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,388715,,0.000554205665159671,-0.0402884768451849,,,continuous-systolic_blood_pressure_adjBMI_custom-both_sexes--custom
LDL direct,30780,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376106,,0.000622378728392166,-0.041714644143457,,,continuous-30780-both_sexes--irnt
Voltarol emulgel,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,221,394562,0.000681304473597022,1.55793630094326,,,categorical-20003-both_sexes-1140877892-
sitting height female custom,sitting_height_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213165,,0.00100940093270594,-0.0609140703955947,,,continuous-sitting_height_female_custom-females--custom
Mean platelet (thrombocyte) volume,30100,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383461,,0.00123585523720401,0.0467755549748027,,,continuous-30100-both_sexes--irnt
Neuroticism score,20127,continuous,,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,,320534,,0.00125686037800411,0.0434871901841179,,,continuous-20127-both_sexes--irnt
W77.1 Repair of capsule of joint for stabilisation of joint NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,221,394620,0.00220066955694174,1.45993390421562,,,categorical-41200-both_sexes-W771-
Gamma glutamyltransferase,30730,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376608,,0.00226466698081625,-0.0349275668328924,,,continuous-30730-both_sexes--irnt
Trunk fat mass,23128,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387722,,0.00235674581833992,-0.0371429717355694,,,continuous-23128-both_sexes--irnt
P96 Other conditions originating in the perinatal period,132430,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period,,157,213456,0.00240047409898028,1.68096518360217,,,icd_first_occurrence-132430-both_sexes--
L21 Seborrhoeic dermatitis,131722,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,7967,386874,0.00299832795417453,0.263117480538022,,,icd_first_occurrence-131722-both_sexes--
Indomethacin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,240,394543,0.0031328861826885,1.39853378730333,,,categorical-20003-both_sexes-1140871336-
Trunk fat percentage,23127,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387739,,0.00320532883458835,-0.0326535566104943,,,continuous-23127-both_sexes--irnt
Hospitalized vs non-hospitalized (among COVID-19 positive),COVID19,categorical,,,,2315,9988,0.00336805915455239,0.544567075842074,,,categorical-COVID19-both_sexes-B1_v2-04162021
Alcohol,100022,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.00339897220969831,-0.07730857353377,,,continuous-100022-both_sexes--
Mean sphered cell volume,30270,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377155,,0.00348133161975571,-0.0353329770124604,,,continuous-30270-both_sexes--irnt
Hospitalized vs non-hospitalized (controls include untested),COVID19,categorical,,,,2315,392526,0.0035597804434171,0.47300991629189,,,categorical-COVID19-both_sexes-B2_v2-04162021
height female custom,height_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213192,,0.00386655117642084,-0.0546713543742336,,,continuous-height_female_custom-females--custom
M30.1 Endoscopic retrograde pyelography,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,234,394607,0.00388197025735112,1.3618931116019,,,categorical-41200-both_sexes-M301-
U21.6 Ultrasound scan NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,226,394615,0.00391149615843321,1.35975422990314,,,categorical-41210-both_sexes-U216-
L86.2 Ultrasound guided foam sclerotherapy for varicose vein of leg,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,394,394447,0.00391282778307395,1.09466057031088,,,categorical-41200-both_sexes-L862-
Total thigh muscle volume,22409,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5055,,0.00391370076976214,-0.180934807433077,,,continuous-22409-both_sexes--irnt
K90 Intestinal malabsorption,131688,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,3367,391474,0.00407987819952802,0.378120708202815,,,icd_first_occurrence-131688-both_sexes--
Whole body fat mass,23100,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387351,,0.00422588999207827,-0.0339089301172255,,,continuous-23100-both_sexes--irnt
"H93 Other disorders of ear, not elsewhere classified",131264,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,11230,383611,0.00422904941795489,0.212994606330491,,,icd_first_occurrence-131264-both_sexes--
X36.2 Venesection,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,946,393895,0.00449318675990405,-0.723774197231042,,,categorical-41200-both_sexes-X362-
T10.2 Endoscopic pleurodesis using talc,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,173,394668,0.00488831630200219,1.5340243957804,,,categorical-41200-both_sexes-T102-
J32 Chronic sinusitis,131468,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,10141,384700,0.00495912752250178,0.221316598976476,,,icd_first_occurrence-131468-both_sexes--
