Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ABI3,ENSG00000108798,0.0000879042449162259,0.0000753655229359662,0.00171069952563996,0.0266797432478328,synonymous,17049206684,17,49206684,
FKBP1A,ENSG00000088832,0.000104258634023968,0.000580985393079048,0.000124439317920166,0.0690069548333936,synonymous,20001369939,20,1369939,
AMBN,ENSG00000178522,0.00015040218476936,0.0000944157242468435,0.00693653522490734,0.0305998995509479,synonymous,4070592283,4,70592283,
CD84,ENSG00000066294,0.000417966189393493,0.0547542549510603,0.00031915002352223,-0.00584256639315003,synonymous,1160548248,1,160548248,
RSPRY1,ENSG00000159579,0.00044333291533416,0.086885656469032,0.000309880682558439,0.0138680057460323,synonymous,16057185438,16,57185438,
NCR1,ENSG00000189430,0.00046432426123133,0.000432926736788852,0.000823731924635585,0.0130793590548073,synonymous,19054906085,19,54906085,
SLC4A11,ENSG00000088836,0.000551159676400625,0.000271660676257279,0.00745406930865544,0.00840334016299089,synonymous,20003223322,20,3223322,
MTMR6,ENSG00000139505,0.000555242441379611,0.130516972661421,0.000327390322873433,0.0119727715130481,synonymous,13025249135,13,25249135,
NLRP12,ENSG00000142405,0.000559172605729796,0.00717569422606323,0.000275059827566149,-0.00711874117911876,synonymous,19053794017,19,53794017,
LDHC,ENSG00000166796,0.000591868810679408,0.000963086782689082,0.000601492760925249,0.0184514974802385,synonymous,11018407319,11,18407319,
GPATCH8,ENSG00000186566,0.000738482097925042,0.000312156180599543,0.0841007025278173,0.0224728070420302,synonymous,17044397536,17,44397536,
FAM9C,ENSG00000187268,0.000741092958643441,0.000701529574921866,0.00223904158073651,0.0634667628943599,synonymous,23013038382,X,13038382,
AL136531.2,ENSG00000274322,0.000808616158841868,0.0193554252729384,0.000404195154073861,0.0439756051121632,synonymous,20001313375,20,1313375,
MRTFA,ENSG00000196588,0.000838391212488854,0.140626390943475,0.000383320296110323,0.00339054341092442,synonymous,22040405291,22,40405291,
AC018362.3,ENSG00000285942,0.0008758174739254,0.000543932960451965,0.0106910898224472,0.0322454666648208,synonymous,15042511809,15,42511809,
STAT4,ENSG00000138378,0.00088053744544192,0.00132552081834203,0.00127900637712663,-0.01379800354387,synonymous,2191029776,2,191029776,
MRPL43,ENSG00000055950,0.00092968491344092,0.142903213516192,0.000443921413725401,0.0182056079356226,synonymous,10100977586,10,100977586,
Z84488.1,ENSG00000285446,0.000955723612816151,0.000860082335786383,0.00452318104953908,0.0113430637909576,synonymous,6116399137,6,116399137,
PPP1CC,ENSG00000186298,0.000977971028426894,0.00531374861523926,0.00118315349049047,0.0323998688180436,synonymous,12110720064,12,110720064,
NXF3,ENSG00000147206,0.000986966331687156,0.573478433136861,0.000460540549722221,-0.00435918369907027,synonymous,23103076220,X,103076220,
CPXCR1,ENSG00000147183,0.00100021605145661,0.00131065079840431,0.00143024383747836,0.0402938360256429,synonymous,23088753418,X,88753418,
