	Gene Name	Gene Id	P‑Value SKATO	P‑Value Burden	P‑Value SKAT	BETA Burden	Burden Set	Chrom : Position	Chrom	Position
0	TUBB1	ENSG00000101162	2.0197e-320	0.0	2.0197e-320	0.0171458984077495	missense|LC	20059019424.0	20	59019424.0
1	DENND2C	ENSG00000175984	3.93519244423505e-78	4.39938616376411e-34	1.99862197073692e-74	-0.0031487913426741	missense|LC	1114581224.0	1	114581224.0
2	DOCK8	ENSG00000107099	2.22107992876134e-51	9.565234123976181e-15	1.05610060586702e-49	0.0017261874152146	missense|LC	9000214865.0	9	214865.0
4	GP9	ENSG00000169704	7.49069879401868e-31	8.27641635837805e-26	5.80817544224488e-28	0.0075163775403068	missense|LC	3129061679.0	3	129061679.0
5	PLEK	ENSG00000115956	3.7184257476562296e-26	3.4692104197297502e-15	5.31203678236604e-27	0.0034425182034189	missense|LC	2068365290.0	2	68365290.0
6	NELFCD	ENSG00000101158	4.83350398398336e-26	5.38422406659578e-08	6.90500569140479e-27	0.0037433727503754	missense|LC	20058981217.0	20	58981217.0
7	GFI1B	ENSG00000165702	6.70324791174633e-23	9.57606844535191e-24	7.591258847075399e-12	0.0061046594515625	missense|LC	9132986657.0	9	132986657.0
8	MYOC	ENSG00000034971	1.10769984196416e-22	2.02508323179654e-18	5.6887516128728e-22	0.0036701939943939	missense|LC	1171635836.0	1	171635836.0
10	CD36	ENSG00000135218	5.243022600931659e-18	1.65825084908362e-15	4.1677100138e-06	0.0048451954827597	missense|LC	7080646654.0	7	80646654.0
11	PRELID3B	ENSG00000101166	2.04358854099307e-16	5.91331822397123e-08	2.91941220141867e-17	0.0033127213222494	missense|LC	20059030193.0	20	59030193.0
12	FMO4	ENSG00000076258	3.71286370747533e-16	7.79123960789921e-10	1.72716844049487e-16	0.0022333549592169	missense|LC	1171319750.0	1	171319750.0
14	SNAP29	ENSG00000099940	2.91688195174349e-13	2.5616171251597098e-11	5.06854273659034e-14	-0.003834717844366	missense|LC	22020858500.0	22	20858500.0
16	AC069368.1	ENSG00000249240	6.567096259841169e-12	1.1034339636780002e-11	1.5014149416458201e-09	0.0047382856937897	missense|LC	15064841897.0	15	64841897.0
19	PLEKHO2	ENSG00000241839	2.3951708870769e-11	1.0625175512732802e-09	6.80891730775457e-08	0.0036023597362653	missense|LC	15064841897.0	15	64841897.0
20	NPC1	ENSG00000141458	6.05703490448798e-11	8.6529070064114e-12	0.0005908886198104	0.0022885483325368	missense|LC	18023526527.0	18	23526527.0
21	FBXW9	ENSG00000132004	8.121331736523439e-11	1.1462425993891902e-09	5.204931948245701e-10	-0.0041322987536344	missense|LC	19012689183.0	19	12689183.0
25	GRTP1	ENSG00000139835	1.7830873667984901e-10	3.35449339416982e-08	4.97355597817162e-08	-0.0028901997687811	missense|LC	13113320246.0	13	113320246.0
27	MOB3C	ENSG00000142961	2.15209960963136e-10	7.80722594740447e-11	1.07132656796e-05	0.0039713808854017	missense|LC	1046609552.0	1	46609552.0
29	EIF2AK4	ENSG00000128829	2.5233304334904e-10	1.20856141538894e-07	2.96269275779082e-08	-0.0028678665184899	missense|LC	15039934076.0	15	39934076.0
34	RIPOR3	ENSG00000042062	1.92337701321321e-09	5.29322073949956e-08	4.20854607607879e-07	-0.0010383299823351	missense|LC	20050581113.0	20	50581113.0
39	HEATR6	ENSG00000068097	1.25519458442856e-08	3.25640690220942e-08	6.0339666969e-06	-0.0025762203867867	missense|LC	17060043514.0	17	60043514.0
19403	TUBB1	ENSG00000101162	4.38954103310358e-225	1.9384080575663198e-221	3.23352857135521e-121	0.0770125854217845	pLoF	20059019424.0	20	59019424.0
19404	CALR	ENSG00000179218	2.414577012328e-40	2.21870281157228e-24	8.880899162981589e-40	0.0433867714767593	pLoF	19012933612.0	19	12933612.0
19405	TET2	ENSG00000168769	2.44892412271123e-23	1.4947868949887699e-18	0.0002353825084429	0.0147688338005249	pLoF	4105233891.0	4	105233891.0
19406	GP1BA	ENSG00000185245	2.26813907827392e-21	3.24019868324846e-22	2.21946725907534e-20	0.0136097879015345	pLoF	17004932242.0	17	4932242.0
19407	APOA5	ENSG00000110243	2.98840995866879e-18	1.4582662946016799e-18	1.7995837984791602e-15	0.0169783257076304	pLoF	11116784373.0	11	116784373.0
19408	MTMR2	ENSG00000087053	4.46353974737907e-17	2.38870791842999e-15	6.3764853533986595e-18	0.001501631097369	pLoF	11095827883.0	11	95827883.0
19409	APOC3	ENSG00000110245	7.30755225712837e-17	1.04393603673262e-17	1.2475433738635499e-16	-0.0076922905018153	pLoF	11116830486.0	11	116830486.0
19410	CD36	ENSG00000135218	9.15087753631349e-17	1.21254861067626e-15	1.79910682309493e-10	0.0080089731663376	pLoF	7080646654.0	7	80646654.0
19411	C4B	ENSG00000224389	1.57995826612976e-16	1.85410214778603e-16	2.25708323732823e-17	0.0045714631187987	pLoF	6032009810.0	6	32009810.0
19412	SLFN14	ENSG00000236320	6.006311828399549e-13	5.11504228912109e-13	1.6871360579807901e-09	-0.0146653308101479	pLoF	17035548159.0	17	35548159.0
19413	CHEK2	ENSG00000183765	2.10500143276296e-12	3.00714490394709e-13	2.90116600280261e-10	0.0057044065323538	pLoF	22028687869.0	22	28687869.0
19414	SLFN12L	ENSG00000205045	1.0077864498267498e-11	1.4396949283239299e-12	4.44919770202337e-12	0.0044542058093914	pLoF	17035474829.0	17	35474829.0
19415	DOCK5	ENSG00000147459	1.0695701726955198e-11	8.19984071293002e-12	2.74782305693e-05	-0.0124841913626142	pLoF	8025184800.0	8	25184800.0
19416	MPIG6B	ENSG00000204420	5.0246675288673394e-11	6.48024400728403e-11	8.09654722822017e-07	0.020129914080555	pLoF	6031719038.0	6	31719038.0
19417	STAB1	ENSG00000010327	2.49200327040455e-10	6.59275119741048e-10	1.05356690676e-05	0.0054640677852437	pLoF	3052490593.0	3	52490593.0
19418	PLEKHO2	ENSG00000241839	6.58010201881609e-10	2.72636814235838e-08	2.46943969828273e-07	0.0295563931087654	pLoF	15064841897.0	15	64841897.0
19419	RIPOR3	ENSG00000042062	9.6015939643479e-10	1.4885908267725302e-09	2.323287877e-06	-0.0077509304013451	pLoF	20050581113.0	20	50581113.0
19420	CKAP2L	ENSG00000169607	3.0612058443679803e-09	3.3215940589944203e-09	0.0004823833375837	0.0131490291491091	pLoF	2112738795.0	2	112738795.0
19421	PDE3B	ENSG00000152270	6.447570477519091e-09	2.97856963560436e-08	1.65831251175419e-07	-0.0065177436427948	pLoF	11014643928.0	11	14643928.0
19422	TADA1	ENSG00000152382	1.40994848019105e-08	1.94915366069637e-08	1.89770556935365e-07	0.0117899738927923	pLoF	1166857473.0	1	166857473.0
19423	DENND2C	ENSG00000175984	4.01947684134948e-08	4.79805638553543e-08	8.74219507394e-05	-0.0119738566552234	pLoF	1114581224.0	1	114581224.0
19424	HEATR6	ENSG00000068097	1.14579804644244e-07	3.81932682147479e-08	0.0002453699969592	-0.0064087773272693	pLoF	17060043514.0	17	60043514.0
19426	NPC1	ENSG00000141458	3.47810377276936e-07	5.2759356883314e-08	0.0158427102935854	0.0116721622426314	pLoF	18023526527.0	18	23526527.0
19427	SEC23IP	ENSG00000107651	7.23155957005339e-07	7.82587858849659e-07	0.003799731104401	0.0090155586823588	pLoF	10119892680.0	10	119892680.0
19428	DENND4B	ENSG00000198837	1.2222522394e-06	3.21126912616876e-07	0.003391813165031	-0.0156828090695503	pLoF	1153930173.0	1	153930173.0
37761	GFI1B	ENSG00000165702	5.1967362238133205e-145	1.48144299108297e-75	7.42390889116189e-146	0.0079950057761145	synonymous	9132986657.0	9	132986657.0
37762	RIN2	ENSG00000132669	3.9464272584271204e-85	2.14751441749585e-23	5.63775322632446e-86	0.0030975696143328	synonymous	20019886667.0	20	19886667.0
37763	AL162417.1	ENSG00000285245	5.13823822124376e-71	2.8918960010905404e-17	7.34034031606251e-72	0.0026656204726753	synonymous	9133098506.0	9	133098506.0
37764	RALGDS	ENSG00000160271	3.4397925623702e-67	2.52610815663667e-25	4.91398937481457e-68	0.0038173757961354	synonymous	9133098506.0	9	133098506.0
37766	DOCK8	ENSG00000107099	1.51513181843697e-21	1.29758999258097e-14	1.8745162895403502e-20	0.0025393122173968	synonymous	9000214865.0	9	214865.0
37768	PI4KA	ENSG00000241973	2.4117923722857602e-14	8.07531903124215e-07	3.4454176746939503e-15	-0.0008679392898408	synonymous	22020702693.0	22	20702693.0
37769	EHD3	ENSG00000013016	2.91903117876087e-13	3.58151049658357e-11	4.24070975312035e-13	0.0031311231600422	synonymous	2031234522.0	2	31234522.0
37770	SERPIND1	ENSG00000099937	5.3981523318712e-13	1.50853413372871e-10	7.711646188387431e-14	-0.0038620724972484	synonymous	22020779120.0	22	20779120.0
37772	ARFGAP3	ENSG00000242247	2.74265610222812e-10	3.76774127452961e-08	1.77656208602366e-10	-0.0030186570649204	synonymous	22042793003.0	22	42793003.0
37773	CXCL16	ENSG00000161921	9.548285495597501e-10	1.97254284316172e-09	3.68931980521126e-08	0.003867091118287	synonymous	17004731413.0	17	4731413.0
37774	FAM124B	ENSG00000124019	1.0705805131294702e-09	5.14048215771723e-07	3.79827419516587e-08	0.002647741910745	synonymous	2224379461.0	2	224379461.0
37779	HEATR9	ENSG00000270379	6.4179257242003e-08	4.69565806682226e-07	1.58540172434662e-07	-0.0039967353065728	synonymous	17035855011.0	17	35855011.0
