Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
GFI1B,ENSG00000165702,5.19673622381332e-145,1.48144299108297e-75,7.42390889116189e-146,0.00799500577611451,synonymous,9132986657,9,132986657,
RIN2,ENSG00000132669,3.94642725842712e-85,2.14751441749585e-23,5.63775322632446e-86,0.00309756961433282,synonymous,20019886667,20,19886667,
AL162417.1,ENSG00000285245,5.13823822124376e-71,2.89189600109054e-17,7.34034031606251e-72,0.00266562047267536,synonymous,9133098506,9,133098506,
RALGDS,ENSG00000160271,3.4397925623702e-67,2.52610815663667e-25,4.91398937481457e-68,0.00381737579613542,synonymous,9133098506,9,133098506,
PRRC2C,ENSG00000117523,1.12998136667417e-28,0.0348421353782471,1.61425909524881e-29,0.000655577665387918,synonymous,1171512070,1,171512070,
DOCK8,ENSG00000107099,1.51513181843697e-21,1.29758999258097e-14,1.87451628954035e-20,0.00253931221739687,synonymous,9000214865,9,214865,
TUBA1A,ENSG00000167552,4.73672429628218e-15,0.00375600804491505,6.76674899468882e-16,0.0010506224182158,synonymous,12049184963,12,49184963,
PI4KA,ENSG00000241973,2.41179237228576e-14,8.07531903124215e-7,3.44541767469395e-15,-0.000867939289840807,synonymous,22020702693,22,20702693,
EHD3,ENSG00000013016,2.91903117876087e-13,3.58151049658357e-11,4.24070975312035e-13,0.00313112316004228,synonymous,2031234522,2,31234522,
SERPIND1,ENSG00000099937,5.3981523318712e-13,1.50853413372871e-10,7.71164618838743e-14,-0.00386207249724844,synonymous,22020779120,22,20779120,
CFB,ENSG00000243649,1.75496284171572e-11,0.0000427470748651793,1.67019827967962e-8,-0.00137692809531236,synonymous,6031942854,6,31942854,
ARFGAP3,ENSG00000242247,2.74265610222812e-10,3.76774127452961e-8,1.77656208602366e-10,-0.00301865706492041,synonymous,22042793003,22,42793003,
CXCL16,ENSG00000161921,9.5482854955975e-10,1.97254284316172e-9,3.68931980521126e-8,0.00386709111828708,synonymous,17004731413,17,4731413,
FAM124B,ENSG00000124019,1.07058051312947e-9,5.14048215771723e-7,3.79827419516587e-8,0.00264774191074509,synonymous,2224379461,2,224379461,
