	Gene Name	Gene Id	P‑Value SKATO	P‑Value Burden	P‑Value SKAT	BETA Burden	Burden Set	Chrom : Position	Chrom	Position	burden_FDR	skato_FDR	skat_FDR
0	LRP5	ENSG00000162337	1.16962169875894e-53	1.3724572483717e-50	6.6777049082554596e-40	-0.0049752008012425	missense|LC	11068312660.0	11	68312660.0	7.698798934741051e-46	6.560992919188274e-49	3.7458585682859e-35
1	MEPE	ENSG00000152595	4.782297147293231e-15	3.6379851226237096e-12	2.55211900085006e-13	-0.004251026697519	missense|LC	4087834657.0	4	87834657.0	4.08145550907154e-08	8.942098615913792e-11	4.772037178422803e-09
2	FBXW5	ENSG00000159069	2.3198318812785202e-14	7.72419067204094e-13	1.135957269708e-09	0.0027959201999437	missense|LC	9136940787.0	9	136940787.0	1.0832211893703412e-08	3.2532742345079645e-10	1.2744304608854052e-05
3	WNT1	ENSG00000125084	1.91384326997274e-12	2.73406181424678e-13	5.08842812330101e-08	-0.0052518425076419	missense|LC	12048978613.0	12	48978613.0	5.112239915672437e-09	2.1471407645824173e-08	0.00029534637678746444
4	INSC	ENSG00000188487	2.15163886707614e-10	5.56162351726222e-11	1.82678383531254e-08	0.0023889937467234	missense|LC	11015112403.0	11	15112403.0	4.456846731440346e-07	1.508882884193598e-06	0.00014639062748836702
5	LIF	ENSG00000128342	2.15189643881786e-10	1.0455943968591001e-10	6.01716147366362e-10	-0.0049456019591423	missense|LC	22030243549.0	22	30243549.0	7.331577211476403e-07	1.508882884193598e-06	8.438316821629019e-06
6	CPT1A	ENSG00000110090	3.9663543560664e-09	1.72042020629704e-08	2.7666516404e-06	-0.0031125251708434	missense|LC	11068750116.0	11	68750116.0	0.0001072299683024805	2.4721405289282745e-05	0.005969050914163
7	GREM2	ENSG00000180875	2.88711686780019e-08	6.58840171308128e-08	1.19010121757412e-07	-0.0056339766328316	missense|LC	1240492867.0	1	240492867.0	0.0002842895339194572	0.0001360764029612048	0.0005563227316651688
8	PDLIM5	ENSG00000163110	2.99667932645199e-08	0.0014231474252335	9.9889310881733e-09	-0.0014667721120309	missense|LC	4094455268.0	4	94455268.0	0.24550322947680914	0.0001360764029612048	9.33881815651802e-05
9	DLX3	ENSG00000064195	3.15356669666755e-08	4.93057716877132e-08	1.5435294021e-06	0.0046754998887047	missense|LC	17049991449.0	17	49991449.0	0.00024592632050866387	0.0001360764029612048	0.003935649173218159
