Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
USP43,ENSG00000154914,2.70089359766246e-8,0.00000334329832618607,1.9048398436361e-7,0.00240462146493613,synonymous,17009641680,17,9641680,
CCDC42,ENSG00000161973,0.00000453863107796604,0.00000425920894664422,0.0000270906189121511,0.00438775948250456,synonymous,17008730065,17,8730065,
VPS9D1,ENSG00000075399,0.00000823224966506331,0.00000261672510992739,0.0106114115085099,-0.00491985119639748,synonymous,16089707796,16,89707796,
COL12A1,ENSG00000111799,0.0000155471102082361,0.867247088773126,0.00000427884478448881,-0.000107132275355936,synonymous,6075086473,6,75086473,
PIAS3,ENSG00000131788,0.0000253993619990789,0.0000234894515148687,0.000167965123587743,-0.00353519669621463,synonymous,1145845556,1,145845556,
H3C11,ENSG00000275379,0.0000574641505093343,0.0000516979421988362,0.00126884630914204,-0.004464462316683,synonymous,6027866825,6,27866825,
AP4E1,ENSG00000081014,0.0000610061269666895,0.0234251211388056,0.0000265351517340084,-0.00300415465729686,synonymous,15050908656,15,50908656,
HERC6,ENSG00000138642,0.0000617696210470919,0.0000257782861691203,0.00310442563012758,-0.00452442455805521,synonymous,4088378861,4,88378861,
TXNL4A,ENSG00000141759,0.0000772030401462453,0.000171953413923953,0.000208661397716803,0.00985505208886569,synonymous,18079966563,18,79966563,
POC1A,ENSG00000164087,0.000133316104543035,0.0636203487931126,0.0000804466607362553,-0.00445440950853062,synonymous,3052075849,3,52075849,
SNRPA,ENSG00000077312,0.000153448022869318,0.000140916521779166,0.001472448702178,0.00769200681310085,synonymous,19040749395,19,40749395,
MYPN,ENSG00000138347,0.000154855749011862,0.0292583864934479,0.0000926068873978725,0.00148612458596289,synonymous,10068121378,10,68121378,
AMMECR1L,ENSG00000144233,0.000171144299658477,0.000275832016762956,0.000317822078262253,-0.00809227620031834,synonymous,2127857741,2,127857741,
DDX50,ENSG00000107625,0.000185456595564348,0.668590672731131,0.0000729154024199374,-0.00117419080732364,synonymous,10068901295,10,68901295,
TAF12,ENSG00000120656,0.000218593744763518,0.000222342152689681,0.000318265686630514,0.00492228287571527,synonymous,1028603462,1,28603462,
SERP2,ENSG00000151778,0.00023526098228277,0.000310533676676439,0.00045049171741085,0.0201248983651575,synonymous,13044373945,13,44373945,
OR52L1,ENSG00000183313,0.000253588680598327,0.506362652509138,0.00010252025807822,0.00136272850669342,synonymous,11005985860,11,5985860,
HNRNPLL,ENSG00000143889,0.000266411517198084,0.000505278271494936,0.000280449721627329,-0.0035941528113528,synonymous,2038564169,2,38564169,
IRX6,ENSG00000159387,0.000291166974018431,0.000249838221643484,0.00216841557497582,-0.00393629473923675,synonymous,16055325011,16,55325011,
UTP6,ENSG00000108651,0.000324194725604188,0.000285816421663809,0.00285693395930919,-0.00928744998279184,synonymous,17031856774,17,31856774,
FAH,ENSG00000103876,0.000326177590217913,0.000183697316398446,0.0217512961596628,-0.00431301760887018,synonymous,15080152990,15,80152990,
H4C1,ENSG00000278637,0.000329938602686819,0.000388802676767996,0.000338418515632988,0.00435613708590894,synonymous,6026017008,6,26017008,
GPR162,ENSG00000250510,0.000347964916177834,0.596060465419024,0.000176266233763989,-0.000448706269244379,synonymous,12006817071,12,6817071,
TMEM63B,ENSG00000137216,0.000370269360784992,0.000315535027894498,0.00343790690329748,-0.00294187687949849,synonymous,6044132171,6,44132171,
FN3KRP,ENSG00000141560,0.000383837574354451,0.09296898799055,0.000227824431757173,0.00222872601399094,synonymous,17082716660,17,82716660,
KRTAP10-9,ENSG00000221837,0.000397615158915787,0.000222719467918076,0.0705035101545537,-0.00502856332911806,synonymous,21044627038,21,44627038,
CDH16,ENSG00000166589,0.00040750583859317,0.000232010747586386,0.0358814270113729,-0.0037911663949941,synonymous,16066908343,16,66908343,
SMYD1,ENSG00000115593,0.000425390171806428,0.00170320020962955,0.000305177242354127,0.00202126256073028,synonymous,2088067742,2,88067742,
TMEM37,ENSG00000171227,0.000430461586718778,0.0395049544042748,0.000224009673394865,0.00449682693891237,synonymous,2119429866,2,119429866,
CMYA5,ENSG00000164309,0.000439346775021887,0.52094814895735,0.000204816656560913,0.000301159450380283,synonymous,5079685165,5,79685165,
H3C1,ENSG00000275714,0.000496631338002262,0.000468787420779604,0.0020240254897208,0.00203937670709981,synonymous,6026017008,6,26017008,
APLNR,ENSG00000134817,0.000499447313593082,0.249317018803841,0.000221290907655658,0.00142624618381407,synonymous,11057235767,11,57235767,
AAR2,ENSG00000131043,0.000523197989010127,0.000284671992886953,0.0317522496577122,-0.00619943465332159,synonymous,20036239759,20,36239759,
OR2W3,ENSG00000238243,0.000525042169150725,0.0895754569012409,0.000238662047507554,-0.00385149682760606,synonymous,1247895576,1,247895576,
GNL1,ENSG00000204590,0.000525662764531254,0.000325016042726611,0.00668612305835881,-0.0028276562831984,synonymous,6030546028,6,30546028,
FAM185A,ENSG00000222011,0.000533006459369378,0.000388050996716349,0.0254723871458779,-0.0100909138287468,synonymous,7102749085,7,102749085,
TUSC3,ENSG00000104723,0.000544380711380743,0.295859914560809,0.000246938957287113,0.00269043589747477,synonymous,8015540284,8,15540284,
PRKD3,ENSG00000115825,0.000546498488166458,0.000324749889298315,0.000973360772157372,0.00281525997631198,synonymous,2037245970,2,37245970,
ATG7,ENSG00000197548,0.000570891955738562,0.00159754789593136,0.000732538312691933,-0.00500910391998107,synonymous,3011298605,3,11298605,
GART,ENSG00000159131,0.000586551148423431,0.109457034447846,0.00043225073823927,-0.00198372217893343,synonymous,21033504045,21,33504045,
ENTPD1,ENSG00000138185,0.000599434784355313,0.00489883187043805,0.00038036080466719,-0.00536742612945166,synonymous,10095755615,10,95755615,
MARCHF3,ENSG00000173926,0.000613724876660671,0.000520445240346556,0.00853636755006593,0.00572816973870468,synonymous,5126870558,5,126870558,
SLC38A2,ENSG00000134294,0.000615510371738792,0.000702142926840676,0.000662734079813099,0.00347312542732138,synonymous,12046361063,12,46361063,
C19orf12,ENSG00000131943,0.00062341078260375,0.0005849808917755,0.00180081351716166,0.00355819044038317,synonymous,19029702616,19,29702616,
RELT,ENSG00000054967,0.000644674515898225,0.00135838227707041,0.000510557867286598,0.00238252766538702,synonymous,11073389093,11,73389093,
PTPN20,ENSG00000204179,0.00065379603788962,0.00177120663909913,0.000623561681820428,0.00626303300948957,synonymous,10046932427,10,46932427,
ALS2CL,ENSG00000178038,0.000689950581087118,0.0442068466224994,0.000331149635081851,-0.00167393140650748,synonymous,3046670908,3,46670908,
COX18,ENSG00000163626,0.000715611328430898,0.00308407783696918,0.000644357592152756,-0.00525039608958667,synonymous,4073058085,4,73058085,
HS6ST3,ENSG00000185352,0.000716111726317359,0.00174741782905929,0.000497348707598211,0.0028571285361519,synonymous,13096090839,13,96090839,
