	Gene Name	Gene Id	P‑Value SKATO	P‑Value Burden	P‑Value SKAT	BETA Burden	Burden Set	Chrom : Position	Chrom	Position	burden_FDR	skato_FDR	skat_FDR
0	TUBB1	ENSG00000101162	2.0197e-320	0.0	2.0197e-320	0.0171458984077495	missense|LC	20059019424.0	20	59019424.0	0.0	1.13705323e-315	1.13705323e-315
1	DENND2C	ENSG00000175984	3.93519244423505e-78	4.39938616376411e-34	1.99862197073692e-74	-0.0031487913426741	missense|LC	1114581224.0	1	114581224.0	6.191806071535702e-30	4.430790580662012e-74	2.250328421731528e-70
2	DOCK8	ENSG00000107099	2.22107992876134e-51	9.565234123976181e-15	1.05610060586702e-49	0.0017261874152146	missense|LC	9000214865.0	9	214865.0	2.564257073702319e-11	1.5630017093684645e-47	6.606143978721736e-46
3	SLFN14	ENSG00000236320	3.17823440134774e-50	0.308087128301801	4.54033485906821e-51	0.0003718968346778	missense|LC	17035548159.0	17	35548159.0	0.8647929743359345	1.9880562454741524e-46	3.1950903945120376e-47
4	GP9	ENSG00000169704	7.49069879401868e-31	8.27641635837805e-26	5.80817544224488e-28	0.0075163775403068	missense|LC	3129061679.0	3	129061679.0	9.318748234552182e-22	3.833671545516997e-27	2.7248571072671667e-24
5	PLEK	ENSG00000115956	3.7184257476562296e-26	3.4692104197297502e-15	5.31203678236604e-27	0.0034425182034189	missense|LC	2068365290.0	2	68365290.0	9.765306949976287e-12	1.6102785716600213e-22	2.300397959514315e-23
6	NELFCD	ENSG00000101158	4.83350398398336e-26	5.38422406659578e-08	6.90500569140479e-27	0.0037433727503754	missense|LC	20058981217.0	20	58981217.0	5.9434443583753456e-05	1.9436555270450802e-22	2.776650752921539e-23
7	GFI1B	ENSG00000165702	6.70324791174633e-23	9.57606844535191e-24	7.591258847075399e-12	0.0061046594515625	missense|LC	9132986657.0	9	132986657.0	6.738799065849707e-20	2.3585796730473945e-19	1.221043140896582e-08
8	MYOC	ENSG00000034971	1.10769984196416e-22	2.02508323179654e-18	5.6887516128728e-22	0.0036701939943939	missense|LC	1171635836.0	1	171635836.0	8.769700823111523e-15	3.668245764885665e-19	2.135064330332667e-18
9	PRRC2C	ENSG00000117523	2.25541254832725e-18	0.0584128987633082	3.22201792618178e-19	0.000385735765459	missense|LC	1171512070.0	1	171512070.0	0.6393287160968248	6.348648011658959e-15	1.0077219066125317e-15
10	CD36	ENSG00000135218	5.243022600931659e-18	1.65825084908362e-15	4.1677100138e-06	0.0048451954827597	missense|LC	7080646654.0	7	80646654.0	5.186363780603365e-12	1.3416656516574984e-14	0.0019231932020237592
11	PRELID3B	ENSG00000101166	2.04358854099307e-16	5.91331822397123e-08	2.91941220141867e-17	0.0033127213222494	missense|LC	20059030193.0	20	59030193.0	6.401963001055929e-05	4.2610334848995134e-13	7.826388033488898e-14
12	FMO4	ENSG00000076258	3.71286370747533e-16	7.79123960789921e-10	1.72716844049487e-16	0.0022333549592169	missense|LC	1171319750.0	1	171319750.0	1.253209760588291e-06	7.465110290704952e-13	4.227582682371291e-13
13	SERPIND1	ENSG00000099937	7.30493458705159e-14	0.0001672502261435	1.04356208386451e-14	-0.001570085745473	missense|LC	22020779120.0	22	20779120.0	0.05243182501214044	1.3265996853136882e-10	2.1759042457526044e-11
14	SNAP29	ENSG00000099940	2.91688195174349e-13	2.5616171251597098e-11	5.06854273659034e-14	-0.003834717844366	missense|LC	22020858500.0	22	20858500.0	4.9728054929350406e-08	4.979778735475779e-10	1.0190848230065228e-10
15	TUBA8	ENSG00000183785	5.20243691258801e-13	2.3195703999e-06	6.65430732763968e-13	0.0032372673968793	missense|LC	22018110724.0	22	18110724.0	0.0018925341275821783	8.614164437293152e-10	1.2084436762068745e-09
16	AC069368.1	ENSG00000249240	6.567096259841169e-12	1.1034339636780002e-11	1.5014149416458201e-09	0.0047382856937897	missense|LC	15064841897.0	15	64841897.0	2.2185722090421563e-08	9.729153108954693e-09	1.6254837878814372e-06
17	FAM186B	ENSG00000135436	7.329323832070519e-12	0.0050684724828495	1.04704626172436e-12	0.0007002469015261	missense|LC	12049587495.0	12	49587495.0	0.3108276637984513	1.057997291728395e-08	1.842048856134259e-09
18	PLEC	ENSG00000178209	1.25216723102087e-11	0.0004704655151772	4.3887857756107896e-12	-0.0003515375229711	missense|LC	8143916118.0	8	143916118.0	0.10594318843172332	1.678410919161474e-08	7.3669553832591066e-09
19	PLEKHO2	ENSG00000241839	2.3951708870769e-11	1.0625175512732802e-09	6.80891730775457e-08	0.0036023597362653	missense|LC	15064841897.0	15	64841897.0	1.6615708495564404e-06	3.0645667143129144e-08	5.398896023586747e-05
20	NPC1	ENSG00000141458	6.05703490448798e-11	8.6529070064114e-12	0.0005908886198104	0.0022885483325368	missense|LC	18023526527.0	18	23526527.0	1.8041952064442318e-08	7.41288900039043e-08	0.08151758900194599
21	FBXW9	ENSG00000132004	8.121331736523439e-11	1.1462425993891902e-09	5.204931948245701e-10	-0.0041322987536344	missense|LC	19012689183.0	19	12689183.0	1.7440545842652225e-06	9.54811354113905e-08	6.511601197564183e-07
22	IQGAP2	ENSG00000145703	8.1409213630331e-11	0.0002136948969838	1.1923576296905599e-11	0.001240075202349	missense|LC	5076403469.0	5	76403469.0	0.060852221795927405	9.54811354113905e-08	1.8646154855191515e-08
23	NOTCH4	ENSG00000204301	8.49040152120706e-11	0.001426097690206	1.3271412776835698e-11	0.0007210041314647	missense|LC	6032189847.0	6	32189847.0	0.1929542419599174	9.754778253865181e-08	2.0192992570203222e-08
24	JAK2	ENSG00000096968	9.980863578139601e-11	0.0259245157547032	1.4258376540199399e-11	-0.0006871200710653	missense|LC	9005021944.0	9	5021944.0	0.5342937820852756	1.1237853537170501e-07	2.112378484430541e-08
25	GRTP1	ENSG00000139835	1.7830873667984901e-10	3.35449339416982e-08	4.97355597817162e-08	-0.0028901997687811	missense|LC	13113320246.0	13	113320246.0	4.1966203247017406e-05	1.9682837154638156e-07	4.117592366222466e-05
26	PILRA	ENSG00000085514	2.13591810904745e-10	6.5298415039e-06	9.061284766065049e-11	-0.0017246723230587	missense|LC	7100373564.0	7	100373564.0	0.004653297305633648	2.2859764476116353e-07	1.27530787118791e-07
27	MOB3C	ENSG00000142961	2.15209960963136e-10	7.80722594740447e-11	1.07132656796e-05	0.0039713808854017	missense|LC	1046609552.0	1	46609552.0	1.373510622378217e-07	2.2859764476116353e-07	0.004308033699746008
28	OR2L5	ENSG00000197454	2.24872898080264e-10	0.0001716829800396	7.335164904951769e-11	0.0018593378927764	missense|LC	1248021894.0	1	248021894.0	0.0533990979408252	2.3443832487453005e-07	1.0588404580873584e-07
29	EIF2AK4	ENSG00000128829	2.5233304334904e-10	1.20856141538894e-07	2.96269275779082e-08	-0.0028678665184899	missense|LC	15039934076.0	15	39934076.0	0.00012837430566443615	2.536713096682305e-07	2.690172809441126e-05
30	GSE1	ENSG00000131149	6.42299102793231e-10	1.00209211371e-05	2.7204668888655402e-09	-0.0009118152677718	missense|LC	16085611389.0	16	85611389.0	0.006286920151616695	6.151788971903252e-07	2.784620444408424e-06
31	FMNL3	ENSG00000161791	6.4471561422863e-10	0.0045935245585586	6.43809253119772e-10	0.0011692524002131	missense|LC	12049631500.0	12	49631500.0	0.3038797321658913	6.151788971903252e-07	7.550943650600793e-07
32	NKX2-3	ENSG00000119919	1.7803822102697501e-09	0.0734445615655649	5.93460736756585e-10	0.000612715180346	missense|LC	10099533077.0	10	99533077.0	0.6669960449196012	1.542002727562402e-06	7.263056325475102e-07
33	AL669918.1	ENSG00000250264	1.8965168853761902e-09	0.0426411894650169	6.32172295125398e-10	0.000608157932972	missense|LC	6032813154.0	6	32813154.0	0.5976181695213906	1.6161247121323e-06	7.550943650600793e-07
34	RIPOR3	ENSG00000042062	1.92337701321321e-09	5.29322073949956e-08	4.20854607607879e-07	-0.0010383299823351	missense|LC	20050581113.0	20	50581113.0	5.9434443583753456e-05	1.6161247121323e-06	0.0002603610092802282
35	ZNF831	ENSG00000124203	3.5531834580296103e-09	0.000111695665382	7.19768745527555e-10	-0.0010489211313036	missense|LC	20059190908.0	20	59190908.0	0.03881562267907687	2.8990372338651154e-06	8.269555319788727e-07
36	HEATR9	ENSG00000270379	5.88488274247204e-09	0.0307864253529104	8.406975346388631e-10	-0.0006735706667827	missense|LC	17035855011.0	17	35855011.0	0.5559301695979104	4.732874910756406e-06	9.465749821512814e-07
37	OR2T12	ENSG00000177201	6.42548170226576e-09	5.6283732837e-06	6.9902726205131e-09	0.0011268257391811	missense|LC	1248294502.0	1	248294502.0	0.004224807076699452	5.0413732662901705e-06	7.027346030661179e-06
38	TAP2	ENSG00000204267	8.7406640987359e-09	0.0097290494516653	1.2486662998194102e-09	0.000818874871076	missense|LC	6032825913.0	6	32825913.0	0.3989246839523743	6.649637388736959e-06	1.3783562094300654e-06
39	HEATR6	ENSG00000068097	1.25519458442856e-08	3.25640690220942e-08	6.0339666969e-06	-0.0025762203867867	missense|LC	17060043514.0	17	60043514.0	4.166498622129175e-05	9.297853884154558e-06	0.0026959858978998358
40	GCSAML-AS1	ENSG00000284824	1.36847179144084e-08	0.0050075472352495	1.41057083791196e-08	0.0015592163269542	missense|LC	1247531464.0	1	247531464.0	0.31068921297683	1.0005306031525321e-05	1.3691535596884414e-05
41	OR2C3	ENSG00000196242	2.91533444052305e-08	0.0003106698020554	4.22048915815765e-08	0.0021027283184798	missense|LC	1247531464.0	1	247531464.0	0.07807936538532524	2.077526367064888e-05	3.54628176323584e-05
42	TSBP1	ENSG00000204296	3.43179733042364e-08	0.0072371499857961	2.11814723538595e-08	0.0007431489641852	missense|LC	6032292959.0	6	32292959.0	0.3586530217872914	2.4149986788857456e-05	1.9548415559102103e-05
43	CFB	ENSG00000243649	6.37064655473196e-08	1.0958394818e-06	9.57759845876538e-08	-0.0020231417213124	missense|LC	6031942854.0	6	31942854.0	0.0010282079217815768	4.301309101134575e-05	7.386165211412528e-05
44	TNFRSF13B	ENSG00000240505	7.0680154728997e-08	8.5285584007e-06	3.7342585579303e-08	0.0014224344809596	missense|LC	17016939443.0	17	16939443.0	0.005714449408095099	4.681271377386287e-05	3.234270062089263e-05
45	AL645922.1	ENSG00000244255	7.42004253595496e-08	8.9183530633e-06	6.62348905722254e-08	-0.0016087765583243	missense|LC	6031927426.0	6	31927426.0	0.005782566377772205	4.8014498235247863e-05	5.326893763635105e-05
46	SVEP1	ENSG00000165124	9.93993451992026e-08	0.178222066703041	1.99796036381983e-08	0.0002142275513897	missense|LC	9110366439.0	9	110366439.0	0.7914023543720445	6.358960155317624e-05	1.8746529100327495e-05
47	ACTN4	ENSG00000130402	1.20767040812098e-07	9.1268706114e-06	1.55542771218542e-07	-0.0017867223761499	missense|LC	19038647600.0	19	38647600.0	0.0058388117592043836	7.554246773998534e-05	0.00011675455188387013
48	WAS	ENSG00000015285	1.23822902153847e-07	0.126618833407179	3.51046336411253e-08	-0.0004969650946928	missense|LC	23048683726.0	X	48683726.0	0.7478242199248799	7.660283431379257e-05	3.1369612064990966e-05
49	PRRC2A	ENSG00000204469	1.89511589865354e-07	2.94021546909e-05	3.02212703973126e-07	-0.0008549354036695	missense|LC	6031615716.0	6	31615716.0	0.014799352355398952	0.00011471972015752511	0.0002025436737568461
50	KLHL20	ENSG00000076321	1.92509835295063e-07	2.7233657338e-06	4.04166145440144e-07	0.0037578301513598	missense|LC	1173715969.0	1	173715969.0	0.0021902474387962656	0.00011529495954900174	0.00025565552235779534
51	CRLF3	ENSG00000176390	2.82757331548922e-07	2.7845944182e-06	5.03446818789222e-07	-0.0039674957395392	missense|LC	17030784119.0	17	30784119.0	0.0022079480557944424	0.00016756199467589118	0.00030151644209975355
52	IQCC	ENSG00000160051	3.01538530478318e-07	5.50122759218e-05	7.95061785519025e-07	0.001256820081678	missense|LC	1032201850.0	1	32201850.0	0.023641420592134154	0.00017683036094101948	0.0004345591586346073
53	GP1BB	ENSG00000203618	3.59687853834778e-07	2.2369304067e-06	5.71698000717547e-07	0.0024358850063177	missense|LC	22019718541.0	22	19718541.0	0.0018519481044998512	0.0002004885852211534	0.000331802910787585
54	MEPCE	ENSG00000146834	4.0314037796918e-07	0.0526912337270833	3.7758080762007e-07	-0.0008252069609062	missense|LC	7100429934.0	7	100429934.0	0.6245942108702645	0.00022250582214246005	0.0002443295026044492
55	CUL4A	ENSG00000139842	4.07123383561192e-07	3.1675243754e-05	3.12077919284448e-07	-0.0017858910182275	missense|LC	13113207970.0	13	113207970.0	0.015642291207183665	0.0002225225740227614	0.00020636154672149583
56	MTMR2	ENSG00000087053	4.29274087276887e-07	0.0077938916840215	2.26989038898395e-07	0.0012541956342692	missense|LC	11095827883.0	11	95827883.0	0.3672392797035136	0.0002323734931867972	0.00015973502403578678
57	GNB1	ENSG00000078369	5.1728326433409e-07	0.0008968831779633	4.01268072325323e-07	0.0071813943292684	missense|LC	1001787326.0	1	1787326.0	0.15978427933480982	0.0002773475803068216	0.00025565552235779534
58	NLRP3	ENSG00000162711	5.99438909509864e-07	1.75462565475e-05	7.44049294398863e-07	0.0018016590147407	missense|LC	1247418709.0	1	247418709.0	0.009965836249917462	0.00031538889989417583	0.00041066414830169404
59	GPSM3	ENSG00000213654	6.19521212552598e-07	1.17709235125e-05	5.97809129976312e-07	-0.002426469863597	missense|LC	6032186341.0	6	32186341.0	0.0069754492735074995	0.00032293690465808896	0.0003399480867704691
60	ZNF672	ENSG00000171161	6.65167322555504e-07	7.06987553258e-05	6.29355712544744e-07	0.0020335285824335	missense|LC	1248847146.0	1	248847146.0	0.028227856940259307	0.00033735968250366856	0.0003543083854913145
61	EP300	ENSG00000100393	9.92299436730626e-07	0.0009540527723047	4.71067569396411e-07	-0.0007953304045623	missense|LC	22041092915.0	22	41092915.0	0.1647555488418334	0.0004900305385054741	0.00028825751037293206
62	CIB3	ENSG00000141977	1.0108954857e-06	7.46407656369e-05	9.34096900162551e-07	0.0036397611594449	missense|LC	19016157142.0	19	16157142.0	0.029180910993476104	0.0004948728970300253	0.0004961023885702937
