GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	728532	749137	6	2	361193	-0.87619	0.80954	AL669831.1
ENSG00000269308	1	808043	829983	31	16	361193	-0.20085	0.57959	AL645608.2
ENSG00000187634	1	850260	889955	146	39	361193	2.5306	0.0056929	SAMD11
ENSG00000268179	1	851264	876445	101	27	361193	2.0935	0.018154	AL645608.1
ENSG00000188976	1	869584	904689	123	35	361194	3.1706	0.00076069	NOC2L
ENSG00000187961	1	885967	911095	109	37	361194	3.2048	0.00067585	KLHL17
ENSG00000187583	1	891877	921245	134	42	361194	2.637	0.0041817	PLEKHN1
ENSG00000187642	1	900579	927497	106	36	361194	1.6986	0.044695	C1orf170
ENSG00000188290	1	924342	945552	73	18	361194	1.1905	0.11693	HES4
ENSG00000187608	1	938803	959920	80	18	361194	0.33779	0.36776	ISG15
ENSG00000188157	1	945503	1001496	231	45	361194	-0.31334	0.62299	AGRN
ENSG00000237330	1	996346	1019687	59	23	361194	-0.042621	0.517	RNF223
ENSG00000131591	1	1007198	1061741	248	22	361194	-0.3041	0.61947	C1orf159
ENSG00000162571	1	1099264	1143315	249	30	361194	0.082659	0.46706	TTLL10
ENSG00000186891	1	1128888	1152071	121	19	361194	0.65292	0.2569	TNFRSF18
ENSG00000186827	1	1136706	1159518	130	14	361194	1.1463	0.12584	TNFRSF4
ENSG00000078808	1	1142288	1177411	223	15	361194	1.311	0.094935	SDF4
ENSG00000176022	1	1157629	1180421	154	10	361194	1.3581	0.087216	B3GALT6
ENSG00000184163	1	1167826	1192102	123	17	361194	0.91804	0.1793	FAM132A
ENSG00000160087	1	1179289	1219265	206	27	361194	0.2687	0.39408	UBE2J2
ENSG00000162572	1	1205816	1237409	175	30	361194	0.91901	0.17904	SCNN1D
ENSG00000131584	1	1217756	1254989	145	36	361194	1.6224	0.052358	ACAP3
ENSG00000169972	1	1233947	1257057	57	22	361194	1.6111	0.053584	PUSL1
ENSG00000127054	1	1236965	1270071	97	35	361194	1.3952	0.081481	CPSF3L
ENSG00000224051	1	1250136	1274277	77	29	361194	0.43547	0.33161	GLTPD1
ENSG00000169962	1	1256694	1280686	83	25	361194	0.63944	0.26127	TAS1R3
ENSG00000107404	1	1260656	1294730	108	26	361194	0.42048	0.33707	DVL1
ENSG00000162576	1	1278069	1307157	122	12	361194	2.7155	0.0033088	MXRA8
ENSG00000175756	1	1299110	1320875	112	9	361193	2.7664	0.0028343	AURKAIP1
ENSG00000221978	1	1311091	1344708	89	17	361194	2.0091	0.022264	CCNL2
ENSG00000224870	1	1324902	1347426	77	14	361194	1.4124	0.078922	RP4-758J18.2
ENSG00000242485	1	1327288	1352693	96	12	361194	1.0892	0.13803	MRPL20
ENSG00000235098	1	1343800	1367149	122	13	361194	0.24939	0.40153	ANKRD65
ENSG00000205116	1	1351508	1373167	101	15	361194	0.52483	0.29985	TMEM88B
ENSG00000179403	1	1360241	1388262	112	19	361193	1.3646	0.086188	VWA1
ENSG00000215915	1	1375069	1415538	156	25	361193	0.81694	0.20698	ATAD3C
ENSG00000160072	1	1397143	1443228	182	19	361194	-0.50405	0.69289	ATAD3B
ENSG00000197785	1	1437531	1480067	173	19	361194	-0.12746	0.55071	ATAD3A
ENSG00000205090	1	1460554	1485833	105	14	361194	-0.2499	0.59867	TMEM240
ENSG00000160075	1	1467053	1520249	197	16	361193	-1.9364	0.97359	SSU72
ENSG00000215014	1	1500355	1521373	87	8	361193	-1.8761	0.96968	AL645728.1
ENSG00000228594	1	1523392	1545476	49	7	361187	1.145	0.1261	C1orf233
ENSG00000197530	1	1540795	1575990	54	9	361192	1.3346	0.090999	MIB2
ENSG00000189409	1	1557474	1580639	23	5	361190	1.13	0.12925	MMP23B
ENSG00000248333	1	1560603	1600473	39	7	361190	1.5043	0.066248	CDK11B
ENSG00000189339	1	1582939	1634167	84	14	361191	1.0287	0.1518	SLC35E2B
ENSG00000008128	1	1624169	1665766	79	12	361191	1.399	0.080904	CDK11A
ENSG00000215790	1	1646277	1687431	102	15	361188	-1.4637	0.92836	SLC35E2
ENSG00000008130	1	1672671	1721896	121	28	361192	-0.97316	0.83476	NADK
ENSG00000078369	1	1706729	1832495	244	43	361193	-0.443	0.67112	GNB1
ENSG00000169885	1	1836266	1858735	70	14	361194	-1.5798	0.94293	CALML6
ENSG00000178821	1	1839029	1860712	68	12	361194	-1.422	0.92248	TMEM52
