GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,GENE_NAME
79501,1,59091,80008,6,3,436159,-0.39952,0.65525,OR4F5
100996442,1,131934,184394,5,3,437867,0.2343,0.40738,LOC100996442
105378947,1,576287,621297,7,4,444770,-0.45845,0.6766800000000001,LOC105378947
81399,1,675716,696654,2,1,405668,0.83144,0.20285999999999998,OR4F16
105378580,1,793398,815130,71,19,473562,0.5222399999999999,0.30075,LOC105378580
148398,1,915741,954581,269,40,560156,-0.98718,0.8382200000000001,SAMD11
26155,1,934203,969299,210,41,557196,-0.33119,0.62975,NOC2L
339451,1,949952,975720,179,40,556874,-0.081256,0.53238,KLHL17
84069,1,956497,985108,183,51,563293,1.3308,0.09163099999999999,PLEKHN1
84808,1,965199,992117,167,43,576144,1.8222,0.034213,PERM1
57801,1,988962,1011285,138,26,581583,1.8658,0.031037000000000002,HES4
9636,1,1003467,1024540,124,26,577114,1.2063,0.11384000000000001,ISG15
375790,1,1010101,1066119,349,42,570024,1.0428,0.14851,AGRN
105369174,1,1051207,1076390,141,37,576987,1.7459,0.040411,LOC105369174
105378948,1,1055635,1079326,110,32,572667,1.9232,0.027226999999999998,LOC105378948
401934,1,1061746,1084307,103,24,584540,2.0157,0.021914,RNF223
54991,1,1071818,1126356,281,34,599251,1.3641,0.086264,C1orf159
254173,1,1163898,1207935,303,43,595235,0.39788,0.34536,TTLL10
8784,1,1193508,1216709,125,23,605503,-1.0364,0.8499899999999999,TNFRSF18
7293,1,1201326,1224638,145,21,606670,0.2935,0.38456999999999997,TNFRSF4
51150,1,1206908,1242067,240,24,612398,0.8893399999999999,0.18691,SDF4
126792,1,1222249,1245041,167,17,613626,1.2228,0.11069000000000001,B3GALT6
388581,1,1232446,1257218,133,27,592207,2.0182,0.021784,FAM132A
118424,1,1243912,1283854,206,36,600934,2.3979,0.008243799999999999,UBE2J2
6339,1,1270415,1302029,172,39,589220,2.2442,0.01241,SCNN1D
116983,1,1282384,1317925,172,48,574459,0.98698,0.16183,ACAP3
126789,1,1298571,1321677,94,28,588961,0.75332,0.22563000000000002,PUSL1
54973,1,1301585,1334687,150,35,582759,0.35219,0.36235,CPSF3L
80772,1,1314756,1338896,117,29,584567,0.1421,0.4435,CPTP
83756,1,1318999,1345320,136,28,579960,0.083608,0.46668000000000004,TAS1R3
1855,1,1325278,1359158,167,30,581075,0.26456,0.39566999999999997,DVL1
54587,1,1342689,1373541,181,24,587979,0.18031,0.42845,MXRA8
54998,1,1363730,1385438,162,19,589433,-0.089779,0.53577,AURKAIP1
81669,1,1375711,1409338,154,26,582908,-0.16967000000000002,0.5673699999999999,CCNL2
55052,1,1391896,1417834,116,22,576937,0.5412600000000001,0.29416,MRPL20
441869,1,1408420,1431820,147,23,577649,1.1912,0.11678,ANKRD65
643965,1,1416128,1437787,127,25,574607,1.2506,0.10555,TMEM88B
64856,1,1425523,1452882,127,26,582812,0.1934,0.42332,VWA1
219293,1,1431301,1480158,263,35,558985,0.10107999999999999,0.45974,ATAD3C
83858,1,1461732,1519479,345,34,550832,0.42651999999999995,0.33487,ATAD3B
55210,1,1502143,1544687,257,34,551093,0.22254000000000002,0.41195,ATAD3A
339453,1,1524778,1550360,151,37,561214,0.13213,0.44743999999999995,TMEM240
29101,1,1531673,1584882,280,30,580769,0.18734,0.4257,SSU72
643988,1,1588008,1610096,90,20,563545,0.9100600000000001,0.1814,C1orf233
142678,1,1604975,1640610,108,24,557309,1.1516,0.12473,MIB2
8510,1,1622181,1644654,49,18,535916,0.75613,0.22479000000000002,MMP23B
984,1,1625226,1669839,79,23,510496,1.1075,0.13402999999999998,CDK11B
728661,1,1650025,1702804,159,41,530395,0.70913,0.23911999999999997,SLC35E2B
728642,1,1692730,1734352,196,22,532659,-0.061127999999999995,0.52437,CDK11A
9906,1,1714838,1755999,229,29,547635,0.34276999999999996,0.36589,SLC35E2
65220,1,1741232,1790514,180,33,582647,0.98518,0.16227,NADK
2782,1,1775285,1901117,364,52,588887,0.30391999999999997,0.38059,GNB1
105378949,1,1875960,1903010,90,26,578487,-0.19035,0.57548,LOC105378949
163688,1,1903752,1927294,109,18,604324,1.1175,0.13189,CALML6
339456,1,1907589,1929301,104,16,609391,1.1347,0.12825999999999999,TMEM52
85452,1,1911951,2013837,596,55,597425,1.0852,0.13892000000000002,CFAP74
2563,1,2009329,2040753,151,34,598236,0.81808,0.20665999999999998,GABRD
5590,1,2040470,2195395,727,63,608154,-1.7589,0.9607100000000001,PRKCZ
100506504,1,2171811,2194360,77,28,607413,-1.2158,0.8879799999999999,LOC100506504
199990,1,2174460,2222720,179,49,605486,-1.4695,0.92916,C1orf86
105378592,1,2198942,2225211,111,39,602465,-1.3874,0.91733,LOC105378592
6497,1,2218695,2320213,460,86,615082,0.34514,0.36499000000000004,SKI
105378594,1,2270383,2294676,132,47,622782,1.4381,0.075197,LOC105378594
79906,1,2311253,2401751,533,77,622533,0.12476,0.45036000000000004,MORN1
11079,1,2381314,2415444,153,45,624931,1.082,0.13963,RER1
5192,1,2394802,2423780,149,44,623646,0.94705,0.17181,PEX10
9651,1,2405782,2515530,640,116,620192,3.3878,0.00035222,PLCH2
55229,1,2498531,2536628,194,37,619629,3.4624,0.00026766,PANK4
388585,1,2518745,2540245,109,34,604418,3.0189999999999997,0.0012679,HES5
8764,1,2546365,2575622,136,25,601705,2.4029,0.0081324,TNFRSF14
127281,1,2576460,2601469,136,21,612499,1.7117,0.04348,FAM213B
79258,1,2580639,2643042,322,27,618433,1.7765,0.037826,MMEL1
100287898,1,2626988,2799665,269,29,565783,1.5595,0.05943300000000001,TTC34
140625,1,3011482,3032903,120,25,610469,1.2778,0.10066,ACTRT2
63976,1,3058227,3448621,2425,263,615034,2.1178,0.017097,PRDM16
27237,1,3444583,3491115,246,36,615111,1.2151,0.11216,ARHGEF16
1953,1,3477942,3634757,929,128,614630,0.76759,0.22136,MEGF6
127262,1,3614992,3640131,120,24,622878,0.31944,0.3747,TPRG1L
49856,1,3620767,3660107,151,36,620388,1.0024,0.15807000000000002,WRAP73
7161,1,3642565,3746201,524,90,616673,0.87326,0.19125999999999999,TP73
148870,1,3742398,3781645,237,49,620212,-0.38611999999999996,0.6502899999999999,CCDC27
388588,1,3762761,3785982,178,31,622517,0.71386,0.23765999999999998,SMIM1
57470,1,3770220,3806504,265,31,626790,1.5383,0.061983,LRRC47
9731,1,3802081,3867387,505,26,635705,1.449,0.07367,CEP104
1677,1,3847143,3895429,388,48,630012,0.62454,0.26614,DFFB
339448,1,3879133,3910293,197,33,625288,-0.32177,0.6261899999999999,C1orf174
55966,1,4645045,4802534,961,123,639740,1.619,0.052724,AJAP1
261734,1,5852808,6002505,709,40,625738,1.7284,0.041957,NPHP4
8514,1,5982298,6111193,577,92,619047,2.2439,0.012421,KCNAB2
26038,1,6091787,6190134,473,63,618111,1.4725,0.07044299999999999,CHD5
6146,1,6175020,6209619,116,24,622845,1.2595,0.10392,RPL22
388591,1,6195775,6231299,136,26,620566,0.9672799999999999,0.1667,RNF207
23463,1,6211193,6245984,133,26,613984,0.5008,0.30826,ICMT
390992,1,6234158,6255578,77,20,614834,0.75434,0.22532,HES3
387509,1,6237346,6270990,134,22,620486,1.0283,0.1519,GPR153
11332,1,6254272,6403766,792,45,623059,0.91609,0.17981,ACOT7
54626,1,6405232,6434664,144,20,631625,1.8095,0.035188,HES2
83715,1,6414776,6470944,255,31,617998,1.2864,0.09915700000000001,ESPN
8718,1,6451151,6476195,104,30,604880,1.2468,0.10624000000000001,TNFRSF25
57449,1,6456092,6530061,338,55,609670,2.032,0.021075,PLEKHG5
79707,1,6511347,6564598,274,15,620873,2.1784,0.014687,NOL9
80835,1,6545278,6589757,191,28,617727,1.9595,0.025029,TAS1R1
3104,1,6569991,6599280,107,42,614668,2.0238,0.021498,ZBTB48
9903,1,6580724,6612898,109,37,617235,2.0619,0.019611,KLHL21
148479,1,6603696,6634033,92,23,620095,2.1295,0.016606,PHF13
90326,1,6614865,6645586,115,26,622257,2.1178,0.017095,THAP3
55735,1,6624168,6711906,309,33,624105,2.7101,0.0033633,DNAJC11
23261,1,6775324,7779706,4221,317,625691,0.63925,0.26133,CAMTA1
9341,1,7761269,7791432,120,29,629214,2.2516,0.012173999999999999,VAMP3
8863,1,7774380,7855181,397,38,636479,2.4346,0.007453699999999999,PER3
10911,1,7837612,7923610,459,47,633542,0.9483,0.17149,UTS2
3604,1,7905871,7953165,154,29,616140,0.65932,0.25485,TNFRSF9
11315,1,7951654,7995283,145,29,612480,-0.61488,0.73068,PARK7
54206,1,8001719,8036333,82,17,632182,-0.39953,0.65525,ERRFI1
50651,1,8308085,8354167,186,34,623426,0.10235,0.45924,SLC45A1
473,1,8342404,8827691,1183,50,617795,0.053997,0.47847,RERE
2023,1,8851000,8889092,113,22,614967,-0.64636,0.74098,ENO1
765,1,8935785,8985092,270,58,625910,0.5653699999999999,0.28591,CA6
155184,1,8950853,9036384,450,102,628929,1.0656,0.1433,SLC2A7
6518,1,9026943,9081704,289,32,622993,1.1786,0.11929000000000001,SLC2A5
80045,1,9093391,9139170,204,39,624810,2.293,0.010923,GPR157
9563,1,9224776,9281337,289,39,628111,1.6293,0.051624,H6PD
80176,1,9282882,9379532,616,106,627851,0.9188700000000001,0.17908,SPSB1
84275,1,9529469,9592773,173,32,607950,1.9469999999999998,0.025769,SLC25A33
199953,1,9578853,9624877,132,27,617766,2.1634,0.015257,TMEM201
5293,1,9619889,9739114,519,70,605334,0.73052,0.23254,PIK3CD
22883,1,9719021,9834526,529,28,612212,-0.7812,0.78266,CLSTN1
56998,1,9838276,9920258,267,43,597205,-0.51276,0.69594,CTNNBIP1
84328,1,9912110,9953402,135,27,620856,-0.32875,0.62883,LZIC
64802,1,9932923,9995501,204,39,618998,-0.73682,0.7693800000000001,NMNAT1
105376719,1,9986423,10008089,78,16,617346,-0.04598,0.5183399999999999,LOC105376719
116362,1,9987197,10026020,129,23,614582,-0.28213,0.6110800000000001,RBP7
10277,1,10022983,10191239,620,47,613379,-1.3318,0.90853,UBE4B
23095,1,10200706,10391603,827,29,633022,-0.90065,0.81611,KIF1B
5226,1,10388992,10430511,169,30,633568,0.95442,0.16994,PGD
