	Gene Name	Gene Id	P‑Value SKATO	P‑Value Burden	P‑Value SKAT	BETA Burden	Burden Set	Chrom : Position	Chrom	Position	burden_FDR	skato_FDR	skat_FDR
0	ADAMTS6	ENSG00000049192	8.96253253723778e-07	2.45371510221304e-07	0.0074591331934311	-0.003587398248197	missense|LC	5065151775.0	5	65151775.0	0.006809795523171849	0.02487371655059601	0.4328401303765461
1	CPO	ENSG00000144410	1.884928333e-06	0.0079140632614005	6.55848053754404e-07	0.0036140889925627	missense|LC	2206939552.0	2	206939552.0	0.5764488505495857	0.034874944017165996	0.03640350207169195
2	PPIP5K1	ENSG00000168781	4.2663181906e-06	0.0009563454673724	3.1760844242e-06	0.0050210091979978	missense|LC	15043528462.0	15	43528462.0	0.39320675194053656	0.047361251497488724	0.044072935512411295
3	C1QTNF3-AMACR	ENSG00000273294	1.27650316347e-05	1.22990989006e-05	7.99297343083e-05	0.0096681217656001	missense|LC	5033982176.0	5	33982176.0	0.09176161880572059	0.0638867006834078	0.18244660292819373
4	NFIB	ENSG00000147862	1.3770398378e-05	2.39812794015e-05	5.14420351145e-05	0.004814892634689	missense|LC	9014088117.0	9	14088117.0	0.09507892103283277	0.0638867006834078	0.1684705847108384
5	CCDC39	ENSG00000284862	2.29880652159e-05	0.0054610180374234	1.0508134222e-05	0.0013445696048312	missense|LC	3180608998.0	3	180608998.0	0.5530935696144202	0.08808674624331193	0.09721074968772199
6	MAGEA11	ENSG00000185247	2.49360267203e-05	0.0001059509555658	2.7353802396e-05	-0.0029961115113708	missense|LC	23149711746.0	X	149711746.0	0.22618898998597287	0.08808674624331193	0.1684705847108384
7	FYTTD1	ENSG00000122068	2.7815006329e-05	1.95809970449e-05	0.0075887995463986	-0.0070729782514745	missense|LC	3197749204.0	3	197749204.0	0.09176161880572059	0.08808674624331193	0.434240627118527
8	ZMIZ2	ENSG00000122515	3.33505006849e-05	0.00164158250777	2.89546963793e-05	0.0022434987811942	missense|LC	7044756131.0	7	44756131.0	0.43680421465358615	0.0916603732341723	0.1684705847108384
9	NWD2	ENSG00000174145	3.42797122951e-05	0.0015872351174419	3.51565264022e-05	0.0020419452411762	missense|LC	4037244945.0	4	37244945.0	0.43680421465358615	0.0916603732341723	0.1684705847108384
10	MAP3K10	ENSG00000130758	4.67477612671e-05	2.58191636712e-05	0.0530028652638717	-0.0029547461101733	missense|LC	19040191981.0	19	40191981.0	0.0955412332489085	0.0986789575088394	0.5896223631798716
11	TMEM132C	ENSG00000181234	4.78464595697e-05	1.98382053412e-05	0.0258416697793613	0.0022575450841713	missense|LC	12128267406.0	12	128267406.0	0.09176161880572059	0.0986789575088394	0.5242390575294629
12	ZFAT	ENSG00000066827	5.15077367645e-05	6.43486613361e-05	0.0003830359324736	0.0021497965230687	missense|LC	8134478341.0	8	134478341.0	0.17858683980607834	0.0986789575088394	0.23492217600043555
13	ZNF473	ENSG00000142528	5.15564041321e-05	0.0001369536104102	0.0001979661990783	-0.0020018639312973	missense|LC	19050030957.0	19	50030957.0	0.2714909678367343	0.0986789575088394	0.18434795237714405
14	NPPA	ENSG00000175206	5.38219972552e-05	0.0006410741833055	4.99539757941e-05	0.0041787954024828	missense|LC	1011845937.0	1	11845937.0	0.3398695777955648	0.09958145932157104	0.1684705847108384
15	MXD3	ENSG00000213347	6.11950138953e-05	0.004325404250188	6.02693262647e-05	-0.0027237237518894	missense|LC	5177302206.0	5	177302206.0	0.5458547935490051	0.10957065939588781	0.1684705847108384
