Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
GCK,ENSG00000106633,8.97478765250285e-25,9.20860528833246e-24,1.16596373733472e-13,0.177681248339761,pLoF,7044139451,7,44139451,
HNF1A,ENSG00000135100,2.83842171988624e-10,3.27708442363661e-10,0.000289202043653125,0.0946957997370611,pLoF,12120978750,12,120978750,
GIGYF1,ENSG00000146830,6.05422743271689e-7,5.28409420663678e-7,0.000325806346373692,0.0633256307431738,pLoF,7100676229,7,100676229,
STAM2,ENSG00000115145,0.00000948745091200465,0.00000805208489440545,0.000571189482584167,0.0399175205539957,pLoF,2152120520,2,152120520,
YAP1,ENSG00000137693,0.0000170354845503429,0.000410093009777457,0.0000133637091419558,0.0588416254636271,pLoF,11102110737,11,102110737,
MAP3K15,ENSG00000180815,0.0000274960972869165,0.0000207060725164743,0.000480797027675006,-0.00940083192083391,pLoF,23019355683,X,19355683,
DPM1,ENSG00000000419,0.0000480879511561838,0.20984599635596,0.0000251741030201647,0.0189523487864196,pLoF,20050935125,20,50935125,
IRS2,ENSG00000185950,0.0000701929446367267,0.000227543273624953,0.000221416078318826,0.0892749877371032,pLoF,13109756255,13,109756255,
TM4SF20,ENSG00000168955,0.0000859982827053907,0.000202410799788222,0.000203505002665305,0.0674124627733576,pLoF,2227357038,2,227357038,
DISC1,ENSG00000162946,0.000101206111930763,0.00621508857525133,0.0000610549891941758,0.0507983991460855,pLoF,1231626799,1,231626799,
VSTM5,ENSG00000214376,0.000156418067757791,0.0192707369938708,0.0000969578207723476,0.0219003674600202,pLoF,11093820479,11,93820479,
PCDH12,ENSG00000113555,0.00017632858226746,0.00567124731266033,0.000100139322759762,0.021086168462589,pLoF,5141938581,5,141938581,
SOS2,ENSG00000100485,0.00018063403840074,0.000339028235018191,0.00102786110587771,0.062675765456028,pLoF,14050112130,14,50112130,
NAA38,ENSG00000183011,0.000182073490115786,0.0221632654482612,0.000092309049578243,0.0311754910026227,pLoF,17007851704,17,7851704,
TNRC6B,ENSG00000100354,0.000231570562208572,0.000276180968133533,0.00191086318827183,0.0642756984545009,pLoF,22040177778,22,40177778,
SPART,ENSG00000133104,0.000236834921002016,0.00304218894360186,0.000164138480261533,0.0304446086660672,pLoF,13036297564,13,36297564,
HECTD1,ENSG00000092148,0.000242211891443245,0.000911415604538779,0.000650724827414795,0.0666738340828908,pLoF,14031100846,14,31100846,
TPBGL,ENSG00000261594,0.000321890250721379,0.00254945598471568,0.000276725509114062,0.0830124437882556,pLoF,11075240967,11,75240967,
CYTH3,ENSG00000008256,0.000338640507645649,0.00111938315602833,0.000433432173293058,0.0830836709185291,pLoF,7006156779,7,6156779,
NUP58,ENSG00000139496,0.000345633657767741,0.000553577278173623,0.000774956542191507,0.10106162997495,pLoF,13025301741,13,25301741,
IRS1,ENSG00000169047,0.000352809210781402,0.0002937130555134,0.00378539355715035,0.051922307303947,pLoF,2226794943,2,226794943,
BSN,ENSG00000164061,0.000368534867477455,0.00147602605842345,0.000905680395786757,0.0553998142500796,pLoF,3049554570,3,49554570,
GUF1,ENSG00000151806,0.000394422215325263,0.00248570429913408,0.00034913455438057,0.0149601230322688,pLoF,4044678555,4,44678555,
KRT76,ENSG00000185069,0.000395531976359442,0.000377511305916567,0.000531740769041167,0.00946157463251326,pLoF,12052768612,12,52768612,
MYH7B,ENSG00000078814,0.000430310832672975,0.0002819853938969,0.0348343546257184,-0.0112553948530807,pLoF,20034977635,20,34977635,
OGFR,ENSG00000060491,0.000440103657651458,0.000503974550803088,0.00134113291930449,0.116615540827798,pLoF,20062804799,20,62804799,
MEX3B,ENSG00000183496,0.000447089214417495,0.0293295215431602,0.000319564513282855,0.0612827283226549,pLoF,15082043074,15,82043074,
UMODL1,ENSG00000177398,0.000463249341573935,0.00202004816243651,0.000647177576025726,0.0182898220061228,pLoF,21042071318,21,42071318,
GLG1,ENSG00000090863,0.000483324551587394,0.00180402226421805,0.000766195504352529,0.0981202153505493,pLoF,16074452023,16,74452023,
CCDC158,ENSG00000163749,0.000520348301506157,0.000244843951797691,0.0181745927164405,0.02493345486826,pLoF,4076309016,4,76309016,
ADCY3,ENSG00000138031,0.000535328726870676,0.000870658267595803,0.000950439227526689,0.0352727112867769,pLoF,2024814391,2,24814391,
TRRAP,ENSG00000196367,0.000565767754594493,0.000274647619546098,0.0132184722305962,0.0838505731934362,pLoF,7098881095,7,98881095,
MFSD4A,ENSG00000174514,0.000566031938329048,0.00143648510333672,0.000941106445742412,0.055481781471235,pLoF,1205568992,1,205568992,
BMPR2,ENSG00000204217,0.000574753524038352,0.00402842791078895,0.000578493715077677,0.0762867121113282,pLoF,2202377403,2,202377403,
C12orf66,ENSG00000174206,0.000581042642311402,0.0064728115469127,0.000301444979883714,0.0514633227605985,pLoF,12064187558,12,64187558,
BOK,ENSG00000176720,0.000594469291590793,0.00245183078626521,0.000641017267831057,0.0404693846332628,pLoF,2241559395,2,241559395,
GFY,ENSG00000261949,0.000609953511444106,0.31150813594901,0.000283308287831519,0.0119424100914392,pLoF,19049422370,19,49422370,
SMG1,ENSG00000157106,0.000619104832966788,0.00179558892159504,0.00102188210235332,0.0982780667924255,pLoF,16018801101,16,18801101,
DBX2,ENSG00000185610,0.000666782062117566,0.000741155391752901,0.0013492990922066,0.0517599177301774,pLoF,12045016187,12,45016187,
FXYD4,ENSG00000150201,0.000667311661366687,0.000561427122446556,0.00909301906379045,0.090241085004581,pLoF,10043373716,10,43373716,
H4C12,ENSG00000273542,0.00066944160945448,0.000614143549296231,0.008318259535258,0.0283436902135497,pLoF,6027831064,6,27831064,
ZC3HC1,ENSG00000091732,0.000677803854983172,0.000981090956644115,0.00165230740391353,0.0437546103597212,pLoF,7130018601,7,130018601,
PSME4,ENSG00000068878,0.00067963954347261,0.000659423330199971,0.00375662428466483,0.0573305172906004,pLoF,2053859767,2,53859767,
DENND4A,ENSG00000174485,0.000776287496456085,0.000442927336199883,0.0500731606078557,0.0497575881143632,pLoF,15065661779,15,65661779,
TMEM38B,ENSG00000095209,0.000815462616639118,0.000608790030143913,0.00514410574804303,0.0611796201150075,pLoF,9105694600,9,105694600,
CSRNP1,ENSG00000144655,0.000842581020819688,0.00218194583235365,0.000640939986334077,0.14368966830294,pLoF,3039136858,3,39136858,
CENPW,ENSG00000203760,0.00086123865342902,0.00139805284266559,0.000594040632381665,0.0632576070635867,pLoF,6126340202,6,126340202,
RTN2,ENSG00000125744,0.000868460446029728,0.0139017907856487,0.000524212724025697,0.0392039443865367,pLoF,19045485657,19,45485657,
