nodes,in_gwas_catalog,alc_val,ALC_TRAIT,SMOK_TRAIT,SUD_TRAIT,NEUROPSYCH_TRAIT,HGNC Symbol,Approved name,family,GeneSet,adjP,N_Geneset,Heart_Atrial_Appendage,Heart_Left_Ventricle,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Colon_Transverse,Esophagus_Mucosa,Liver,Minor_Salivary_Gland,Pancreas,Small_Intestine_Terminal_Ileum,Stomach,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Adrenal_Gland,Cells_Cultured_fibroblasts,Muscle_Skeletal,Whole_Blood,Bladder,Kidney_Cortex,genebass_phewas
AADAC,TRUE,FALSE,,,,,,,,"['Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Liver', 'Pancreas', 'Small_Intestine_Terminal_Ileum', 'Stomach', 'Adrenal_Gland']","[0.000559154, 0.007854812, 2.02e-14, 3.45e-08, 0.000166514, 0.000264488, 0.007778759]",7,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,['operative procedures - main opcs4']
ABCG2,TRUE,TRUE,{'alcoholic liver disease: alcohol-associated liver disease in heavy drinkers (PMID: 34387878)'},{'cigarettes per day measurement: cigarettes smoked per day (PMID: 36477530)'},,"{'response to antidepressant: remission after antidepressant treatment in major depressive disorder (PMID: 35712048)', 'depressive symptom measurement, response to antidepressant: response to antidepressants (symptom improvement) in major depressive disorder (PMID: 35712048)'}",ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group),,"['Heart_Atrial_Appendage', 'Esophagus_Mucosa', 'Minor_Salivary_Gland', 'Small_Intestine_Terminal_Ileum', 'Stomach', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Kidney_Cortex']","[9.75e-06, 0.01517091, 0.008161939, 0.000166514, 0.000264488, 6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 2.19e-13]",19,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"['non-cancer illness code, self-reported', 'treatment/medication code', 'operative procedures - secondary opcs4', 'volume of grey matter in vi cerebellum (vermis)', 'glycated haemoglobin (hba1c)', 'urate', 'date m10 first reported (gout)', 'non-cancer illness code, self-reported', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'urate', 'date m10 first reported (gout)', 'non-cancer illness code, self-reported', 'treatment/medication code', 'operative procedures - secondary opcs4', 'volume of grey matter in vi cerebellum (vermis)', 'glycated haemoglobin (hba1c)', 'urate', 'date m10 first reported (gout)', 'treatment/medication code', 'operative procedures - secondary opcs4', '', '']"
ABRACL,TRUE,FALSE,,,,{'obsessive-compulsive disorder: neurocognitive measure (copy organization) in obsessive-compulsive disorder (PMID: 37094658)'},,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Colon_Transverse', 'Esophagus_Mucosa', 'Minor_Salivary_Gland', 'Pancreas', 'Small_Intestine_Terminal_Ileum', 'Brain_Amygdala', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Adrenal_Gland', 'Cells_Cultured_fibroblasts', 'Muscle_Skeletal']","[9.75e-06, 1.71e-06, 0.010612249, 0.01517091, 0.008161939, 3.45e-08, 0.000166514, 6.3e-06, 0.000927226, 0.009738567, 5.23e-05, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 0.007778759, 0.014497681, 1.51e-05]",19,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"['operative procedures - secondary opcs4', '', 'operative procedures - secondary opcs4', 'operative procedures - main opcs4']"
ACACB,TRUE,TRUE,{'alcohol consumption measurement: drinks per week (PMID: 36477530)'},,,,ACACB,acetyl-CoA carboxylase beta,,"['Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Esophagus_Mucosa', 'Liver', 'Pancreas', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Cells_Cultured_fibroblasts', 'Muscle_Skeletal', 'Whole_Blood']","[0.000559154, 0.007854812, 0.01517091, 2.02e-14, 3.45e-08, 6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 0.014497681, 1.51e-05, 0.000130212]",21,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"['operative procedures - secondary opcs4', 'alkaline phosphatase', 'apolipoprotein a', 'hdl cholesterol', 'triglycerides', 'ratio of circulating triglycerides to circulating hdl', 'valine', 'non-cancer illness code, self-reported', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', '', '', 'operative procedures - secondary opcs4', 'alkaline phosphatase', 'apolipoprotein a', 'hdl cholesterol', 'triglycerides', 'ratio of circulating triglycerides to circulating hdl', 'valine', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'mean mo in pontine crossing tract on fa skeleton', 'mean od in pontine crossing tract on fa skeleton']"
ACO1,TRUE,FALSE,,{'smoking behavior: smoking status (ever vs never smokers) (PMID: 30643258)'},,,,,,"['Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Esophagus_Mucosa', 'Liver', 'Minor_Salivary_Gland', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Adrenal_Gland', 'Cells_Cultured_fibroblasts', 'Muscle_Skeletal', 'Whole_Blood']","[0.000559154, 0.007854812, 0.01517091, 2.02e-14, 0.008161939, 6.3e-06, 0.00480754, 0.000927226, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 0.007778759, 0.014497681, 1.51e-05, 0.000130212]",20,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"['mental health problems ever diagnosed by a professional', 'red blood cell (erythrocyte) count', 'haemoglobin concentration', 'haematocrit percentage', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'all cause cirrhosis', 'non-alcoholic cirrhosis', 'red blood cell (erythrocyte) count', 'haemoglobin concentration', 'haematocrit percentage', 'date h20 first reported (iridocyclitis)', 'date j15 first reported (bacterial pneumonia, not elsewhere classified)', 'red blood cell (erythrocyte) count', 'haemoglobin concentration', 'haematocrit percentage']"
ACSS1,TRUE,TRUE,"{'bitter alcoholic beverage consumption measurement: bitter alcoholic beverage consumption (PMID: 31046077)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (mtag) (PMID: 30643251)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (PMID: 30643251)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (PMID: 30643258)'}",,,{'neuropsychological test: cognitive performance (PMID: 20125193)'},ACSS1,acyl-CoA synthetase short chain family member 1,,"['Esophagus_Mucosa', 'Liver', 'Small_Intestine_Terminal_Ileum', 'Stomach', 'Brain_Cerebellum', 'Brain_Hypothalamus', 'Brain_Spinal_cord_cervical_c-1', 'Adrenal_Gland', 'Cells_Cultured_fibroblasts', 'Whole_Blood']","[0.01517091, 2.02e-14, 0.000166514, 0.000264488, 5.23e-05, 0.004523032, 0.008067638, 0.007778759, 0.014497681, 0.000130212]",10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"['cancer code, self-reported', 'non-cancer illness code, self-reported', 'operation code', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'total bilirubin', 'acetate', 'waist circumference male', 'weight male', ""c81 hodgkin's disease"", 'treatment/medication code', 'treatment/medication code', 'operative procedures - secondary opcs4', 'acetate', 'cancer code, self-reported', 'non-cancer illness code, self-reported', 'operation code', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'total bilirubin', 'acetate', 'waist circumference male', 'weight male', ""c81 hodgkin's disease"", '', 'cystatin c', 'acetate']"
ADGRG5,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['treatment/medication code', 'hdl cholesterol', 'hip circumference adjusted for body mass index (hcadjbmi) female', 'standing height female', ""date n75 first reported (diseases of bartholin's gland)"", 'treatment/medication code', 'hdl cholesterol', 'hip circumference adjusted for body mass index (hcadjbmi) female', 'standing height female']"
ADGRG6,TRUE,FALSE,,"{'chronic obstructive pulmonary disease: chronic obstructive pulmonary disease x current smoker interaction (main effect) (PMID: 33106845)', 'smoking status measurement, chronic obstructive pulmonary disease: chronic obstructive pulmonary disease x ever smoker interaction (2df) (PMID: 33106845)', 'chronic obstructive pulmonary disease: chronic obstructive pulmonary disease in ever smokers (PMID: 33106845)', 'smoking initiation: smoking initiation (PMID: 36477530)', 'smoking behavior, bmi-adjusted waist circumference: waist circumference adjusted for bmi (adjusted for smoking behaviour) (PMID: 28443625)', 'bmi-adjusted waist circumference: waist circumference adjusted for bmi in smokers (PMID: 28443625)', 'smoking behavior, bmi-adjusted waist circumference: waist circumference adjusted for bmi (joint analysis main effects and smoking interaction) (PMID: 28443625)', 'chronic obstructive pulmonary disease: chronic obstructive pulmonary disease in never smokers (PMID: 33106845)', 'chronic obstructive pulmonary disease: chronic obstructive pulmonary disease x ever smoker interaction (main effect) (PMID: 33106845)', 'fev/fvc ratio, pulmonary function measurement, smoking behaviour measurement: pulmonary function (smoking interaction) (PMID: 23284291)', 'smoking status measurement, chronic obstructive pulmonary disease: chronic obstructive pulmonary disease x current smoker interaction (2df) (PMID: 33106845)', 'chronic obstructive pulmonary disease: chronic obstructive pulmonary disease in non-current smokers (PMID: 33106845)', 'bmi-adjusted waist circumference: waist circumference adjusted for bmi in non-smokers (PMID: 28443625)'}",,"{'unipolar depression: depression (PMID: 33859377)', 'cognitive inhibition measurement: prepulse inhibition of the startle response (PMID: 31596458)', 'major depressive disorder: major depressive disorder (mtag) (PMID: 33479212)', 'endometriosis, unipolar depression: endometriosis or depression (pleiotropy) (PMID: 32959083)'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['treatment/medication code', 'treatment/medication code', 'treatment/medication code', 'mental health problems ever diagnosed by a professional', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'sitting height', 'standing height', 'seated height', '', 'whole body fat free mass adjusted for body mass index (wbffmadjbmi)', 'standing height', 'treatment/medication code', 'treatment/medication code', 'non-cancer illness code, self-reported', 'date g98 first reported (other disorders of nervous system, not elsewhere classified)']"
ADGRL1,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['smoking/smokers in household', 'treatment/medication code', 'operative procedures - secondary opcs4']"
ADH1A,TRUE,TRUE,"{'alcohol consumption measurement: alcohol use disorder (consumption score) (PMID: 37282553)', 'alcohol dependence: alcohol dependence (PMID: 24166409)', 'alcohol dependence: alcohol dependence (PMID: 23456092)', 'protein measurement: alcohol dehydrogenase 1a levels (PMID: 34648354)', 'alcohol use disorder measurement: alcohol use disorder (PMID: 37282553)', 'alcohol use disorder measurement: problematic alcohol use (PMID: 37250466)', 'alcohol consumption measurement: drinks per week (PMID: 36477530)', 'alcohol dependence measurement: alcohol dependence (PMID: 24166409)', 'alcohol use disorder measurement: alcohol use disorder (mtag) (PMID: 37156939)', 'alcohol dependence: alcohol dependence (PMID: 33290381)', 'alcohol use disorder measurement, longitudinal alcohol consumption measurement: alcohol use disorder (consumption score) (PMID: 30940813)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (PMID: 30643258)'}",,,,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",Alcohol Dehydrogenase,['Liver'],[2.02e-14],1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"['non-cancer illness code, self-reported', 'non-cancer illness code, self-reported', 'non-cancer illness code, self-reported', 'non-cancer illness code, self-reported', 'treatment/medication code', 'treatment/medication code', 'operation code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'date n04 first reported (nephrotic syndrome)', 'alcohol intake in grams per day', 'treatment/medication code', 'operation code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'alcohol intake in grams per day', 'date n04 first reported (nephrotic syndrome)', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'z12 special screening examination for neoplasms']"
