Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
PTPN14,ENSG00000152104,4.97963675849533e-8,7.11376679785047e-9,0.0000550525274102265,0.090292275119356,pLoF,1214357849,1,214357849,
CLPTM1L,ENSG00000049656,0.00000403975323259864,0.00000650271328261898,0.0000943349148655459,0.0931636835862158,pLoF,5001318328,5,1318328,
ZNF799,ENSG00000196466,0.0000138035115192503,0.000191989113098812,0.0000143691566818482,0.0531586903388031,pLoF,19012390305,19,12390305,
PTCH1,ENSG00000185920,0.0000386767252584796,0.0000340164478254135,0.0568027924680982,0.0776034038700237,pLoF,9095446803,9,95446803,
DZIP3,ENSG00000198919,0.0000404970091852919,0.0347784715233574,0.0000217959501218612,0.0202501523579537,pLoF,3108584991,3,108584991,
DGKD,ENSG00000077044,0.0000690402993118733,0.000362260594291786,0.000142103126844595,0.0598135725041228,pLoF,2233354474,2,233354474,
MSH6,ENSG00000116062,0.000102415761615626,0.0106201526191559,0.0000821742758916333,0.0146645733727782,pLoF,2047783145,2,47783145,
CERKL,ENSG00000188452,0.000118946845069079,0.00143012838491274,0.000107823237201154,0.0258858791933187,pLoF,2181534254,2,181534254,
PAX3,ENSG00000135903,0.000127431110170328,0.000756519922132215,0.000119195260310567,0.0963507206975369,pLoF,2222201094,2,222201094,
NEDD4L,ENSG00000049759,0.000158522171003428,0.000481680085633762,0.000506199651355566,0.0902515092950382,pLoF,18058044506,18,58044506,
TNFRSF10B,ENSG00000120889,0.00016503462043238,0.00102275959498788,0.000144311433159849,0.0245459386392875,pLoF,8023015602,8,23015602,
TGM3,ENSG00000125780,0.000169414294847403,0.0000909655931965458,0.00361592470126015,0.0490872979402841,pLoF,20002295967,20,2295967,
AL121899.2,ENSG00000286022,0.000169414294847403,0.0000909655931965458,0.00361592470126015,0.0490872979402841,pLoF,20002207005,20,2207005,
CAMTA2,ENSG00000108509,0.000204796686590569,0.0163846180499747,0.000106590836650211,0.0476313503033891,pLoF,17004966510,17,4966510,
H1-2,ENSG00000187837,0.000211517240317871,0.0039428630659184,0.000158778631838774,0.0862461864010937,pLoF,6026055724,6,26055724,
GPRC6A,ENSG00000173612,0.000243523336169726,0.00489448753127131,0.000190336469425789,0.0551729153048663,pLoF,6116792088,6,116792088,
MVP,ENSG00000013364,0.000289242244511989,0.0138749919279058,0.000223334353125715,0.020516604338728,pLoF,16029816415,16,29816415,
