	Gene Name	Gene Id	P‑Value SKATO	P‑Value Burden	P‑Value SKAT	BETA Burden	Burden Set	Chrom : Position	Chrom	Position
0	ZFAT	ENSG00000066827	2.0436037890440798e-18	6.10215685347843e-17	7.43401185159895e-12	0.0017624460367022	missense|LC	8134478341.0	8	134478341.0
1	STC2	ENSG00000113739	1.10488819599121e-16	2.87549951627497e-08	2.84168561820117e-17	0.0025406378207767	missense|LC	5173317717.0	5	173317717.0
2	FBN2	ENSG00000138829	5.54094000049286e-13	0.0179080630616755	7.91562857213266e-14	0.0003599334657615	missense|LC	5128259368.0	5	128259368.0
3	SCMH1	ENSG00000010803	6.571909275199989e-13	0.36507136384785	9.38844182171428e-14	0.0002462862937508	missense|LC	1041028094.0	1	41028094.0
4	NPR2	ENSG00000159899	7.69187329359321e-13	8.7701514939198e-09	5.84327183306144e-08	-0.0024211383265648	missense|LC	9035792317.0	9	35792317.0
5	FGFR3	ENSG00000068078	1.2618062499529798e-11	4.49675293827167e-12	3.33962528093521e-08	-0.001838191824413	missense|LC	4001793905.0	4	1793905.0
6	MTMR11	ENSG00000014914	9.107742449110391e-09	0.0001685658835723	2.10792669985693e-08	0.001055718231425	missense|LC	1149923654.0	1	149923654.0
7	NPR3	ENSG00000113389	2.64546946571187e-08	3.02377427541245e-08	4.8642634833e-06	0.0018888492790048	missense|LC	5032710545.0	5	32710545.0
8	RPL5	ENSG00000122406	2.99615955379195e-08	1.6433289531e-06	4.19386212424655e-08	0.001848282400579	missense|LC	1092831978.0	1	92831978.0
9	ZNF646	ENSG00000167395	7.34645975164483e-08	0.010912935248255	2.42169504449663e-08	0.000444622008767	missense|LC	16031076197.0	16	31076197.0
10	NPAS4	ENSG00000174576	8.28268212904604e-08	0.000589002007848	3.62105864182283e-08	-0.0008908655834833	missense|LC	11066421113.0	11	66421113.0
11	NOS3	ENSG00000164867	9.16396519778928e-08	1.09182431762278e-07	2.71942670204e-05	-0.0020990020573806	missense|LC	7150993717.0	7	150993717.0
12	KLHL15	ENSG00000174010	1.37475175909785e-07	3.2320548267e-06	3.03421197500597e-07	-0.0063795894488797	missense|LC	23023987882.0	X	23987882.0
13	PIEZO1	ENSG00000103335	3.43951499615081e-07	1.3239076734e-06	1.4841307858e-06	-0.0004303212310832	missense|LC	16088710342.0	16	88710342.0
14	KCNJ8	ENSG00000121361	3.63260338143157e-07	9.41686901773e-05	1.08106018137377e-07	-0.0033665711192819	missense|LC	12021765668.0	12	21765668.0
15	CPT1A	ENSG00000110090	5.04514207966267e-07	7.6207837962361e-07	2.4079027731e-06	0.0013701991401665	missense|LC	11068750116.0	11	68750116.0
16	ADAMTS6	ENSG00000049192	6.01526667032282e-07	1.82584534380581e-07	0.0025378482319805	-0.0014296417889967	missense|LC	5065151775.0	5	65151775.0
17	FNDC3B	ENSG00000075420	7.01017971671547e-07	1.2034590923e-06	1.52870760585e-05	0.0013013192864149	missense|LC	3172112447.0	3	172112447.0
18	IHH	ENSG00000163501	7.5311086655816e-07	2.32564008273428e-07	0.000698502293241	-0.0024686583375085	missense|LC	2219055118.0	2	219055118.0
19403	OPRPN	ENSG00000171199	5.06860234551543e-55	2.06501012292154e-23	7.240860493593479e-56	-0.110830145705254	pLoF	4070399222.0	4	70399222.0
19404	ACAN	ENSG00000157766	6.52312419359282e-27	9.31874884798974e-28	7.4729537827e-06	-0.0286340556043652	pLoF	15088836159.0	15	88836159.0
19405	BTK	ENSG00000010671	1.8271673911552801e-25	9.99834412956243e-19	5.53987126674883e-26	-0.0982320306470772	pLoF	23101345601.0	X	101345601.0
19406	ASAP2	ENSG00000151693	1.4235506669724e-17	0.0003528232008915	2.2720605889019e-18	-0.0117140038700222	pLoF	2009206964.0	2	9206964.0
19407	NPR2	ENSG00000159899	5.29471596366484e-12	9.129040536689469e-12	5.53269865033457e-07	-0.0202704475369171	pLoF	9035792317.0	9	35792317.0
19408	LAYN	ENSG00000204381	1.90835286043948e-11	0.885504509346187	2.72621837205641e-12	-0.0002991870989737	pLoF	11111536727.0	11	111536727.0
19409	SHOX	ENSG00000185960	9.26107005894382e-11	6.06789428894926e-10	1.4125482717765302e-09	-0.0269944162434245	pLoF	23000630802.0	X	630802.0
19410	HDAC1	ENSG00000116478	3.7783572075165403e-10	0.0003498480718009	1.29479263517986e-10	-0.0145147216701523	pLoF	1032292089.0	1	32292089.0
19411	SCMH1	ENSG00000010803	4.75254803195771e-10	6.35828975026342e-08	8.74237002790323e-07	0.0163734792336359	pLoF	1041028094.0	1	41028094.0
19412	IRS1	ENSG00000169047	1.6259958934838902e-09	3.6298419412083404e-09	0.0011782783113276	-0.0128754209494104	pLoF	2226794943.0	2	226794943.0
19413	GHRH	ENSG00000118702	6.26506155843032e-08	5.70961128376624e-08	5.0292005822e-06	-0.0135075417574645	pLoF	20037251176.0	20	37251176.0
19414	SLC35C1	ENSG00000181830	1.8588155925206e-07	0.0086036458025309	6.19605197506865e-08	-0.0156102202719674	pLoF	11045804407.0	11	45804407.0
19415	DTL	ENSG00000143476	2.06186021589616e-07	4.81489949799574e-07	4.2613659921e-06	-0.0094312835628997	pLoF	1212035316.0	1	212035316.0
19416	GFI1B	ENSG00000165702	3.67108419552231e-07	0.167044313659265	1.27678563055511e-07	0.0081978363676916	pLoF	9132986657.0	9	132986657.0
19417	ANAPC4	ENSG00000053900	4.8182449308154e-07	0.0008652123236642	2.42041884090938e-07	-0.0092605755056888	pLoF	4025377297.0	4	25377297.0
19418	IGF1R	ENSG00000140443	7.75397139163303e-07	7.60091643847716e-07	0.0001050080367591	-0.0147119778705891	pLoF	15098649579.0	15	98649579.0
19420	POC5	ENSG00000152359	1.1462884995e-06	0.0023027650025089	4.55623664574745e-07	-0.0074872568245776	pLoF	5075669136.0	5	75669136.0
19421	NF1	ENSG00000196712	1.1991783037e-06	4.45316736596979e-07	0.0001246476927884	-0.0136586270795149	pLoF	17031095231.0	17	31095231.0
37761	DNMT1	ENSG00000130816	2.46880405008199e-10	1.21676533162e-05	3.65422342108864e-10	-0.0011994958648769	synonymous	19010133569.0	19	10133569.0
