Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ADH1C,ENSG00000248144,2.33576139120423e-32,5.87272807386544e-31,3.33680198743462e-33,-0.00646449496708088,pLoF,4099336654,4,99336654,
GIGYF1,ENSG00000146830,1.95008007660636e-11,3.21278019434113e-12,0.0000466724423175968,-0.0215972954761931,pLoF,7100676229,7,100676229,
ANKRD12,ENSG00000101745,9.37758548591461e-8,4.72396964288038e-8,0.000643044889222288,-0.0118488358051905,pLoF,18009134138,18,9134138,
GRM5,ENSG00000168959,0.00000914596317969085,0.00000694254031841091,0.0111853412036788,-0.0383474792434595,pLoF,11088508540,11,88508540,
UBR3,ENSG00000144357,0.0000191388301195028,0.0000045089967548595,0.14500492828184,-0.0225850082240823,pLoF,2169824452,2,169824452,
ADH1A,ENSG00000187758,0.00002790889232962,0.000202633370590677,0.0000272835900486657,-0.00611048976443418,pLoF,4099276568,4,99276568,
PPFIA3,ENSG00000177380,0.0000394581876514977,0.0000173138242133275,0.00128119424796047,-0.035720743467184,pLoF,19049114819,19,49114819,
KDM5B,ENSG00000117139,0.0000433739481875417,0.0000225001493699972,0.0101252262845224,-0.0102399291981696,pLoF,1202728943,1,202728943,
CHRM3,ENSG00000133019,0.0000624617735275335,0.0000524084941881942,0.00113700645879589,-0.0261844815425741,pLoF,1239907379,1,239907379,
KIF21B,ENSG00000116852,0.0000634796250637004,0.000140600057049634,0.000476922680304526,-0.0149206692330237,pLoF,1200973806,1,200973806,
GET4,ENSG00000239857,0.00008161440278176,0.0000327569603748579,0.00714163401837531,-0.0315189103403521,pLoF,7000872409,7,872409,
TSPYL2,ENSG00000184205,0.0000836217084411173,0.000267304031604465,0.000164471904388397,-0.0174979470277329,pLoF,23053077373,X,53077373,
CPSF6,ENSG00000111605,0.00010127724299569,0.663843335878699,0.0000421429110035731,-0.00377430922620017,pLoF,12069239526,12,69239526,
MTOR,ENSG00000198793,0.000111959742887691,0.0000356731207946659,0.0488102452099564,-0.0186380915691487,pLoF,1011106515,1,11106515,
USP31,ENSG00000103404,0.000118759171549687,0.0000449877672802357,0.0826452266729172,0.0148769051412911,pLoF,16023067938,16,23067938,
AKAP6,ENSG00000151320,0.000126848364774834,0.0000400931820312422,0.0769175809782197,-0.0155040699855382,pLoF,14032433422,14,32433422,
ZNF449,ENSG00000173275,0.000135190552217113,0.000211780587087373,0.000237576041822396,0.0355577367413767,pLoF,23135347044,X,135347044,
LTK,ENSG00000062524,0.000178529309048825,0.000154475120235364,0.00220037786073435,0.0028750524894036,pLoF,15041501236,15,41501236,
SMG1,ENSG00000157106,0.00020244796528468,0.0000693636539175202,0.0652304185873409,-0.0322753685292337,pLoF,16018801101,16,18801101,
GDE1,ENSG00000006007,0.000229540085130431,0.000265733530988577,0.000299248151901854,0.00569278890625955,pLoF,16019497039,16,19497039,
MREG,ENSG00000118242,0.000230826499450276,0.0109318968545314,0.000136001854827761,0.00955951056309778,pLoF,2215944768,2,215944768,
AC019117.3,ENSG00000283321,0.00025642482337207,0.00300600098861703,0.00035634489089087,-0.0134765954520746,pLoF,7017299165,7,17299165,
MEIS2,ENSG00000134138,0.000279792719976912,0.00012040438070593,0.0115111236700668,-0.0431015221732609,pLoF,15036892097,15,36892097,
MFHAS1,ENSG00000147324,0.000281457057627277,0.000926663183577481,0.000990031059471264,-0.0105206695699102,pLoF,8008785942,8,8785942,
EPC2,ENSG00000135999,0.000281621604489413,0.00015865747873467,0.00216550593448295,-0.0423362899840439,pLoF,2148644955,2,148644955,
MSL3,ENSG00000005302,0.000301476068259698,0.00033242076191109,0.000406193031608604,-0.059659377881954,pLoF,23011758238,X,11758238,
AHR,ENSG00000106546,0.000301700422199236,0.00602705775281054,0.000298642450355269,-0.0123814340012933,pLoF,7017299165,7,17299165,
ANKRD42,ENSG00000137494,0.000303987125663263,0.0117252049241512,0.000222221219268848,-0.00734723125310111,pLoF,11083194606,11,83194606,
TRPM8,ENSG00000144481,0.000324530339720797,0.000185736949852577,0.0234596638747905,0.00680814310007601,pLoF,2233926492,2,233926492,
IBSP,ENSG00000029559,0.000341838981503972,0.000212871443777241,0.0021002779812177,0.0116057009173206,pLoF,4087802321,4,87802321,
PDE4A,ENSG00000065989,0.000411191238844921,0.000173839053081215,0.0164182034560735,-0.0235930824850363,pLoF,19010416684,19,10416684,
CACNA1E,ENSG00000198216,0.000430794354359554,0.0010157532410453,0.00127596002178976,-0.0254719814585155,pLoF,1181483692,1,181483692,
OPA1,ENSG00000198836,0.000432674662710242,0.00387222025037937,0.000476070417010699,-0.0113843622286584,pLoF,3193593280,3,193593280,
DHRS7,ENSG00000100612,0.000456879601023252,0.000365209887010276,0.042920444315047,0.0091888432656282,pLoF,14060144930,14,60144930,
METAP1D,ENSG00000172878,0.000460966445565282,,,,pLoF,2171999861,2,171999861,
CHMP5,ENSG00000086065,0.000511224827726475,0.0263957103622823,0.000341824352836251,-0.0200118757132213,pLoF,9033261021,9,33261021,
SURF4,ENSG00000148248,0.000514880154563802,0.0190098301048525,0.000299111147099351,-0.0616241928796644,pLoF,9133356440,9,133356440,
CCDC57,ENSG00000176155,0.000553854243323104,0.887820718740162,0.000290622350638259,-0.000308381326486682,pLoF,17082157450,17,82157450,
PPP1R3F,ENSG00000049769,0.000571134870179235,0.000282937715081255,0.0518951554042598,-0.00774991111103482,pLoF,23049264794,X,49264794,
NEURL4,ENSG00000215041,0.000579838451450043,0.000244730386479874,0.198199865572053,-0.013183718117469,pLoF,17007310628,17,7310628,
FSD1L,ENSG00000106701,0.000581309781708339,0.000604471734572454,0.00179935793327546,-0.0120541112955811,pLoF,9105448138,9,105448138,
KDM1B,ENSG00000165097,0.000596011607840841,0.000272985814336879,0.0389651126216282,0.0170501822502971,pLoF,6018159882,6,18159882,
ARHGAP1,ENSG00000175220,0.000601124521121155,0.00280892623527307,0.000512800897294774,-0.0108553309168219,pLoF,11046672120,11,46672120,
CCDC30,ENSG00000186409,0.000672815948566163,0.012550033545069,0.000585223095978638,0.00274417661236864,pLoF,1042536444,1,42536444,
ASS1,ENSG00000130707,0.000674474204671038,0.00760137133551964,0.00046916108366557,-0.00668347458216367,pLoF,9130445078,9,130445078,
TFAP2A,ENSG00000137203,0.000675525711083647,0.398770909244052,0.000330948810577936,0.011064571920789,pLoF,6010397878,6,10397878,
ITGA5,ENSG00000161638,0.000723713286115202,0.646192977042595,0.000369616188801491,0.00208499476913843,pLoF,12054391132,12,54391132,
TCF20,ENSG00000100207,0.000738878082335082,0.0015196876722392,0.000601133288155142,-0.0315029165947947,pLoF,22042161239,22,42161239,
PSME4,ENSG00000068878,0.000812799379634077,0.000379006693961736,0.0284819042619899,-0.0126594317781868,pLoF,2053859767,2,53859767,
PRSS22,ENSG00000005001,0.000832076162580964,0.315809979914964,0.000420403236705225,0.00549174853694736,pLoF,16002853047,16,2853047,
ACTBL2,ENSG00000169067,0.000834154893192496,0.000652432347912013,0.00480701872539768,-0.00600834661730867,pLoF,5057481466,5,57481466,
EMC3,ENSG00000125037,0.000888285784699905,0.133402384882907,0.000469226328828398,-0.0116260128682492,pLoF,3009963922,3,9963922,
DST,ENSG00000151914,0.000916988980750877,0.000989273001590685,0.0120016663473932,-0.00857485262618624,pLoF,6056458898,6,56458898,
ZNF76,ENSG00000065029,0.000920514471079326,0.000419096539933106,0.0570913621161047,0.00867262059621943,pLoF,6035281085,6,35281085,
DISP2,ENSG00000140323,0.000969414385058265,0.000453642794770115,0.284656826959074,-0.0092464206965385,pLoF,15040353248,15,40353248,
KLF6,ENSG00000067082,0.000987079801603479,,,,pLoF,10003779481,10,3779481,
ADGRB1,ENSG00000181790,0.00104520357150928,0.000647712261393818,0.326723394031691,-0.0172616073223619,pLoF,8142464102,8,142464102,
ABCB11,ENSG00000073734,0.00105500669946712,0.000514814356152304,0.0895270537064431,-0.00920289131881393,pLoF,2168923573,2,168923573,
POLR3D,ENSG00000168495,0.00105826380558283,0.0251348911153395,0.000789297418119395,0.004332164975126,pLoF,8022245366,8,22245366,
SIMC1,ENSG00000170085,0.00105923298857846,0.000571683532897049,0.0371782146284965,-0.00475540093932544,pLoF,5176238351,5,176238351,
ADCY5,ENSG00000173175,0.00108044881811975,0.000568267982292037,0.132893464913908,-0.0146035193571719,pLoF,3123284467,3,123284467,
ANK3,ENSG00000151150,0.00109276414063031,0.00063789390986857,0.0243258038528206,-0.0145636580733497,pLoF,10060042604,10,60042604,
GCSAM,ENSG00000174500,0.00109348376927776,0.0142373627898633,0.000884141013075324,-0.0186002488773227,pLoF,3112123288,3,112123288,
DIP2B,ENSG00000066084,0.00110359671463622,0.000456923676644183,0.100869661488725,-0.0113860601019316,pLoF,12050505057,12,50505057,
RAD23B,ENSG00000119318,0.00114831362479717,0.000702406349382123,0.00180222174605793,-0.0727289948705957,pLoF,9107283557,9,107283557,
POLR3B,ENSG00000013503,0.00119765019973417,0.000668297235653093,0.0595325291827096,0.00666690810469965,pLoF,12106357803,12,106357803,
SGK2,ENSG00000101049,0.00120274770408191,0.148713915207246,0.0006829274386283,-0.00421825607392355,pLoF,20043566267,20,43566267,
THRB,ENSG00000151090,0.00121090713738725,0.00121152189863816,0.00300557714209315,-0.0401008901276864,pLoF,3024122765,3,24122765,
MTCL1,ENSG00000168502,0.0012529236301797,0.000622657845047225,0.212859455242395,-0.00695587441232473,pLoF,18008717825,18,8717825,
CUL1,ENSG00000055130,0.00126546235695379,0.000636389406108218,0.0763554180073187,-0.0448943397883657,pLoF,7148730023,7,148730023,
BUD13,ENSG00000137656,0.00127846399552689,0.00183076942593385,0.00500282122256612,-0.0110986112997061,pLoF,11116748424,11,116748424,
ZNF207,ENSG00000010244,0.00130876588728301,0.000649800162399461,0.103406629420835,-0.0203004886940709,pLoF,17032349846,17,32349846,
TMEM248,ENSG00000106609,0.00133901621876065,0.032801171015483,0.000694620289895198,-0.0192417602660508,pLoF,7066941764,7,66941764,
SPIN3,ENSG00000204271,0.00133935992539891,0.00260854826703572,0.00121280032088311,-0.0422990360620504,pLoF,23056994098,X,56994098,
ANKRD44,ENSG00000065413,0.00134219035734906,0.00104210692227946,0.0220220396310941,0.0248900276703045,pLoF,2196986621,2,196986621,
AC003002.2,ENSG00000268533,0.00136146940456172,,,,pLoF,19057389980,19,57389980,
ZNF324B,ENSG00000249471,0.00139722197462511,0.00127957870284046,0.00231624085570081,0.024974038812158,pLoF,19058452629,19,58452629,
HSPB6,ENSG00000004776,0.00141791121988133,0.000794285917011583,0.0221121329846798,-0.0213924819765571,pLoF,19035752122,19,35752122,
SUPT5H,ENSG00000196235,0.00142503077653211,0.263664583595178,0.000614532971568327,0.00952686062874547,pLoF,19039445786,19,39445786,
AKR1B1,ENSG00000085662,0.00151330813187067,0.0816206059938542,0.000831395208274799,-0.00954271323699022,pLoF,7134442656,7,134442656,
FBLN5,ENSG00000140092,0.00151555654729996,0.000964400634218876,0.0104582001708792,-0.0210450652483813,pLoF,14091870151,14,91870151,
GCNA,ENSG00000147174,0.00152302032894547,0.00953930545582127,0.00136187884532468,0.0233688100122515,pLoF,23071580762,X,71580762,
AMTN,ENSG00000187689,0.00157311026130347,0.00967473975617983,0.00115052024055096,0.00967347016768727,pLoF,4070518740,4,70518740,
EXOSC2,ENSG00000130713,0.00158171870617396,0.0531164793380992,0.00100247509194085,0.00453766608519129,pLoF,9130693671,9,130693671,
BICD2,ENSG00000185963,0.00160568418755236,0.00330203171024301,0.00267461501990396,-0.0190138653883528,pLoF,9092713363,9,92713363,
CCT6A,ENSG00000146731,0.00162231315462624,0.000822614260576171,0.0350154827549399,-0.0358999975951928,pLoF,7056051731,7,56051731,
PFN1,ENSG00000108518,0.00163971886761738,,,,pLoF,17004940830,17,4940830,
ZNF155,ENSG00000204920,0.00170987771155851,0.00095953411860461,0.0137027419948224,-0.0177234211508091,pLoF,19043988446,19,43988446,
RAC3,ENSG00000169750,0.00172264141779443,0.0119796159520558,0.0013160277909422,-0.0173450326574579,pLoF,17082026837,17,82026837,
TRIM74,ENSG00000155428,0.00176749003009724,0.0012626946837051,0.0118114602956396,0.00777575906227515,pLoF,7072959848,7,72959848,
CAMK2B,ENSG00000058404,0.0017768384203567,0.00143830071037399,0.0606446500434651,-0.00785922894927963,pLoF,7044212159,7,44212159,
LMNB1,ENSG00000113368,0.00178690594414477,0.00119557379204926,0.0158646522478805,-0.0172095203229591,pLoF,5126777379,5,126777379,
EPYC,ENSG00000083782,0.00180378195647957,0.00158746596504777,0.0333714648165219,0.0049314352069986,pLoF,12090964091,12,90964091,
GRHL2,ENSG00000083307,0.00182236304423367,0.0012858661326316,0.00725074287508787,-0.0360818955627158,pLoF,8101492707,8,101492707,
PKN1,ENSG00000123143,0.00183526930106537,0.0240751113148495,0.0012964760056382,-0.00750233415077198,pLoF,19014440262,19,14440262,
KCNJ13,ENSG00000115474,0.00185373638078234,0.00100432055616539,0.0088283625348643,0.0273444332264136,pLoF,2232761365,2,232761365,
LEMD3,ENSG00000174106,0.00186720614268709,0.00142494742099741,0.0110579838456537,-0.0203359157471316,pLoF,12065169503,12,65169503,
ZNF674,ENSG00000251192,0.0018845180486895,0.16155333534384,0.00105867077278565,-0.009339030339821,pLoF,23046499837,X,46499837,
FASTKD2,ENSG00000118246,0.00189303626401671,0.00105145607350865,0.0871456280243897,0.00866323366306699,pLoF,2206760885,2,206760885,
FOXP1,ENSG00000114861,0.00190915538806891,0.00163852192267311,0.0120907322344596,-0.0147658593898378,pLoF,3070959160,3,70959160,
CREM,ENSG00000095794,0.0019447708178858,0.00179043699812642,0.0111412268339348,0.0135229729733736,pLoF,10035137781,10,35137781,
SPDYE4,ENSG00000183318,0.00197882194144405,0.00117247846456925,0.0408028380917577,0.0155820286535904,pLoF,17008753106,17,8753106,
LRRC61,ENSG00000127399,0.00201719532999201,0.00138306239637154,0.0055864361120217,-0.00819140918768671,pLoF,7150330687,7,150330687,
MRPL53,ENSG00000204822,0.00202399167329603,0.00234210672069546,0.00333292636000848,-0.03770714378744,pLoF,2074472000,2,74472000,
LGALS9,ENSG00000168961,0.00204406443281369,0.180097188835256,0.00125724800148841,-0.00326692495322627,pLoF,17027631141,17,27631141,
CARF,ENSG00000138380,0.00214595760652703,0.00227781240389202,0.00212970964873982,0.00189182559215435,pLoF,2202907816,2,202907816,
TRIM2,ENSG00000109654,0.00214777453251958,0.291543579702294,0.00123371552944695,0.00671740866353829,pLoF,4153204433,4,153204433,
