	Gene Name	Gene Id	P‑Value SKATO	P‑Value Burden	P‑Value SKAT	BETA Burden	Burden Set	Chrom : Position	Chrom	Position	burden_FDR	skato_FDR	skat_FDR
0	OCA2	ENSG00000104044	3.0175066889626102e-09	1.38052165254976e-08	7.55888030501417e-07	0.0135843923723445	missense|LC	15027755356.0	15	27755356.0	0.0003833018368304409	0.00016756214643809375	0.02580648256730211
1	MC1R	ENSG00000258839	1.49571880547761e-07	2.06740471964117e-07	1.29938121122e-05	0.0101909976077705	missense|LC	16089910510.0	16	89910510.0	0.0038267661360558056	0.0027685755089390564	0.132986545090059
2	SGMS1	ENSG00000198964	1.41340888029e-05	0.0027126970357853	8.4059768983e-06	0.0211481750827754	missense|LC	10050307068.0	10	50307068.0	0.955442223126492	0.09810824390312962	0.132986545090059
3	PTPN7	ENSG00000143851	1.90745927716e-05	3.357630254e-05	0.0001111785421952	0.0101032199941563	missense|LC	1202144348.0	1	202144348.0	0.19359155779225648	0.11769023740077202	0.385859028006216
4	ALDH16A1	ENSG00000161618	3.40881767272e-05	1.7554609147e-05	0.0043158223824595	0.0064003123487928	missense|LC	19049449406.0	19	49449406.0	0.17499014413001487	0.17208331396921964	0.6616549270678603
5	AC092143.1	ENSG00000198211	4.73858076482e-05	5.91851918749e-05	0.0004051225473518	0.0093254775812899	missense|LC	16089919212.0	16	89919212.0	0.27387947540109975	0.187952421336039	0.4886167124029578
6	TNKS1BP1	ENSG00000149115	5.48782355543e-05	1.97138445612e-05	0.0204891131056102	-0.0058808153476556	missense|LC	11057300463.0	11	57300463.0	0.17499014413001487	0.2031592280220186	0.7619343540522326
7	FCGR2A	ENSG00000143226	7.81604672946e-05	3.86471449946e-05	0.0018600889926887	0.0137061440971971	missense|LC	1161505460.0	1	161505460.0	0.19509781468637616	0.24112504160384102	0.6056853645718762
19403	PTPN14	ENSG00000152104	4.97963675849533e-08	7.11376679785047e-09	5.50525274102e-05	0.090292275119356	pLoF	1214357849.0	1	214357849.0	0.0003833018368304409	0.0013825961459962286	0.339674094120934
19404	CLPTM1L	ENSG00000049656	4.0397532325e-06	6.5027132826e-06	9.43349148655e-05	0.0931636835862158	pLoF	5001318328.0	5	1318328.0	0.09027391714569451	0.044865499400145	0.385859028006216
19405	ZNF799	ENSG00000196466	1.38035115192e-05	0.0001919891130988	1.43691566818e-05	0.0531586903388031	pLoF	19012390305.0	19	12390305.0	0.5611134447566507	0.09810824390312962	0.132986545090059
19406	PTCH1	ENSG00000185920	3.86767252584e-05	3.40164478254e-05	0.0568027924680982	0.0776034038700237	pLoF	9095446803.0	9	95446803.0	0.19359155779225648	0.17298453231185815	0.8476738521461603
19407	DZIP3	ENSG00000198919	4.04970091852e-05	0.0347784715233574	2.17959501218e-05	0.0202501523579537	pLoF	3108584991.0	3	108584991.0	0.9879843543894888	0.17298453231185815	0.15129113878294426
19408	DGKD	ENSG00000077044	6.90402993118e-05	0.0003622605942917	0.0001421031268445	0.0598135725041228	pLoF	2233354474.0	2	233354474.0	0.91437867277355	0.22551810710495612	0.39193635004761435
37761	RDH14	ENSG00000240857	1.9419588771e-06	0.001614831994321	9.29460924448122e-07	0.0371258937835195	synonymous	2018555045.0	2	18555045.0	0.955442223126492	0.02695924411134075	0.02580648256730211
37762	NVL	ENSG00000143748	1.08331131356e-05	2.20589052568e-05	1.96495185619e-05	0.0128824197523101	synonymous	1224227554.0	1	224227554.0	0.17499014413001487	0.09810824390312962	0.15129113878294426
37763	TCTE3	ENSG00000184786	3.11792071794e-05	0.0587776394466358	1.20200024926e-05	0.0222950906141051	synonymous	6169740159.0	6	169740159.0	0.9879843543894888	0.17208331396921964	0.132986545090059
37764	FAM184A	ENSG00000111879	5.9634170381e-05	3.48625171605e-05	0.0026232768598744	0.0401607571154689	synonymous	6118960054.0	6	118960054.0	0.19359155779225648	0.20696784257855813	0.6093712747400396
