Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
DNMT1,ENSG00000130816,2.46880405008199e-10,0.0000121676533162418,3.65422342108864e-10,-0.00119949586487696,synonymous,19010133569,19,10133569,
OTUD4,ENSG00000164164,6.23344820205318e-10,0.358294037518952,1.7193938661182e-10,-0.000241169367739116,synonymous,4145137364,4,145137364,
CROCC,ENSG00000058453,2.34642332230806e-8,3.35203331758294e-9,0.0027131699921511,-0.00083313332883719,synonymous,1016921942,1,16921942,
RBM12,ENSG00000244462,6.53951067741687e-8,0.000303198402878513,9.12487949644714e-8,0.00133810041868263,synonymous,20035652420,20,35652420,
MRPL35,ENSG00000132313,8.31075544827087e-7,0.137360704029632,1.81722425107722e-7,-0.00206591710491847,synonymous,2086195228,2,86195228,
IL20,ENSG00000162891,8.60398082114244e-7,0.000318254630649384,1.74547015729942e-7,-0.00800898502543832,synonymous,1206865425,1,206865425,
NLGN4Y,ENSG00000165246,8.61989703504484e-7,0.0179578455183773,4.73352190999421e-7,0.00125711251567614,synonymous,24014622127,Y,14622127,
CHD8,ENSG00000100888,9.93120762848854e-7,0.00324499893666452,2.77337992904414e-7,-0.000669105932663111,synonymous,14021383771,14,21383771,
GBF1,ENSG00000107862,0.00000879755713578678,0.00136951195663249,0.00000674559349400639,0.000881644775435978,synonymous,10102258935,10,102258935,
NNT,ENSG00000112992,0.0000148307588928587,0.000147201817610298,0.0000392220866123338,-0.00179809350063633,synonymous,5043609137,5,43609137,
RCC2,ENSG00000179051,0.0000166897071586236,0.010270268413397,0.00000712246349943157,-0.000600098148714672,synonymous,1017409063,1,17409063,
FBLN2,ENSG00000163520,0.0000225395966548803,0.175248226801603,0.00000848780408690963,0.000315219320554753,synonymous,3013549041,3,13549041,
DTL,ENSG00000143476,0.0000238654597366494,0.656156401620076,0.0000101706106714339,-0.000118826320052758,synonymous,1212035316,1,212035316,
PDIA2,ENSG00000185615,0.0000283663124740485,0.00994321587010649,0.0000116856866417825,-0.000547595897678132,synonymous,16000280625,16,280625,
NCOA6,ENSG00000198646,0.0000357686807974655,0.0028737029228868,0.0000220227584323274,0.000691593468908424,synonymous,20034709926,20,34709926,
ITCH,ENSG00000078747,0.0000596902683021039,0.000221577525326699,0.0000774978465891696,0.00123997252190866,synonymous,20034393796,20,34393796,
THSD7B,ENSG00000144229,0.0000628664041786298,0.0032488603843206,0.0000491330689427194,0.0188904112415235,synonymous,2136882074,2,136882074,
CRLF3,ENSG00000176390,0.0000691954397561423,0.00531028296228064,0.0000676539135546772,-0.00112009441600162,synonymous,17030784119,17,30784119,
B4GAT1,ENSG00000174684,0.0000772630225247539,0.0000606991375107224,0.00829730543650142,-0.00244639252334378,synonymous,11066340707,11,66340707,
TMEM67,ENSG00000164953,0.0000893278302377398,0.173854489197513,0.0000629762958628266,0.0006065442955195,synonymous,8093754853,8,93754853,
SLC30A3,ENSG00000115194,0.0000921308595129844,0.000457384502228875,0.000088885545166395,-0.00130893337996787,synonymous,2027254998,2,27254998,
TBX2,ENSG00000121068,0.0000969702982288601,0.064866257872066,0.00004971667694742,0.000446022749127966,synonymous,17061400100,17,61400100,
PPIAL4C,ENSG00000263464,0.000109524564160135,0.00010449660710754,0.000173186128222036,-0.00166233242729986,synonymous,1149583924,1,149583924,
CAB39L,ENSG00000102547,0.000111470561924176,0.00323419052302421,0.00010198226220004,0.0015301241934149,synonymous,13049310737,13,49310737,
ACTA2,ENSG00000107796,0.0001117326850677,0.0152128339213327,0.0000511737763354558,0.00257742309544786,synonymous,10088935100,10,88935100,
CEP55,ENSG00000138180,0.000114987000330413,0.265719391395888,0.0000760633146785761,0.00127471444523738,synonymous,10093500015,10,93500015,
WDR83OS,ENSG00000105583,0.000116613115281883,0.000075225461965811,0.00120411393719255,0.00898997006062536,synonymous,19012663219,19,12663219,
SLC30A5,ENSG00000145740,0.000128464585329779,0.00580130224095554,0.0000783012946746764,0.00225106156247294,synonymous,5069094218,5,69094218,
REC114,ENSG00000183324,0.000128903819376025,0.0000936373855007222,0.00293460259776712,0.00255359907443241,synonymous,15073443091,15,73443091,
KCNT1,ENSG00000107147,0.000140617782170893,0.62255277980725,0.0000624133249644832,-0.0000924486711830013,synonymous,9135697372,9,135697372,
TIMD4,ENSG00000145850,0.000148185694844538,0.000107925801770437,0.051610245207259,-0.00183492005782405,synonymous,5156919399,5,156919399,
AJAP1,ENSG00000196581,0.000158835282801695,0.000244509329184073,0.000661213502844649,-0.00211931545279106,synonymous,1004655327,1,4655327,
PHF20,ENSG00000025293,0.000164366908637192,0.000500654088361419,0.000198991702594631,0.00108495778659065,synonymous,20035801494,20,35801494,
ADORA2A,ENSG00000128271,0.000180544661281146,0.000144489425977001,0.00105360410144484,0.00193609298466572,synonymous,22024433317,22,24433317,
CCDC25,ENSG00000147419,0.000186199084819427,0.00010948359085039,0.00333333198283592,-0.00878844412018436,synonymous,8027736142,8,27736142,
OS9,ENSG00000135506,0.000202569843238964,0.000179462864024704,0.0015140036079806,-0.00135958702128063,synonymous,12057694080,12,57694080,
CENPA,ENSG00000115163,0.000202579314991347,0.000154140108601042,0.000323438284661526,0.00654697713406795,synonymous,2026786033,2,26786033,
TET1,ENSG00000138336,0.000211953382707075,0.000131217764915759,0.0029720572665245,-0.000888815515201518,synonymous,10068572265,10,68572265,
TRPC1,ENSG00000144935,0.000240532785720671,0.591814661992283,0.0000992342841814597,-0.000334898040573333,synonymous,3142724461,3,142724461,
TMEM127,ENSG00000135956,0.000256957377817502,0.942640193089353,0.000139847795046055,-0.0000296914309438406,synonymous,2096253710,2,96253710,
CCDC107,ENSG00000159884,0.000274128651320704,0.00149452742187495,0.000263066003682311,0.00312416238135205,synonymous,9035658290,9,35658290,
CCDC15,ENSG00000149548,0.000295412921422211,0.0691406127466347,0.000204436758581394,-0.000613832500771942,synonymous,11124954660,11,124954660,
MTHFD1,ENSG00000100714,0.000303269991116406,0.752185532744342,0.000116543386398216,0.000233594791284029,synonymous,14064388191,14,64388191,
AOC1,ENSG00000002726,0.000310131271288427,0.000146029568265815,0.176647435175959,0.00167363618354194,synonymous,7150856335,7,150856335,
PYGO2,ENSG00000163348,0.000324105363113669,0.184281395922552,0.000263226671119776,0.00102502399500061,synonymous,1154953644,1,154953644,
TMCO6,ENSG00000113119,0.000340187262044878,0.00101325014578524,0.00038681828692444,-0.00187385679796321,synonymous,5140639504,5,140639504,
EHF,ENSG00000135373,0.000350109547072708,0.00353810088112472,0.000356439738804837,-0.00401129381198446,synonymous,11034632467,11,34632467,
KCTD5,ENSG00000167977,0.000356674647981503,0.000845575895902839,0.00033937178774246,0.00133854185412294,synonymous,16002682412,16,2682412,
NUBP2,ENSG00000095906,0.00036659469025746,0.00947867804750779,0.000321392412306221,-0.000962877042225537,synonymous,16001777961,16,1777961,
TMEM71,ENSG00000165071,0.000388871349311204,0.00120528850117962,0.000306393974995212,0.00362764295672704,synonymous,8132710902,8,132710902,
PSORS1C2,ENSG00000204538,0.00040415383706971,0.000251292704045447,0.00565930863336872,-0.00665729878013615,synonymous,6031137934,6,31137934,
TBC1D10B,ENSG00000169221,0.000407738313543016,0.895908791714759,0.00018634221569358,-0.0000443636212968759,synonymous,16030352961,16,30352961,
EPHA8,ENSG00000070886,0.000428120250685504,0.00035461190293018,0.00245353187010755,-0.00105951063478168,synonymous,1022569214,1,22569214,
FN1,ENSG00000115414,0.000447198919853009,0.000625474646272495,0.00191621750368687,-0.000848738999462874,synonymous,2215361525,2,215361525,
IRS4,ENSG00000133124,0.000449243367003693,0.135416433819939,0.000214346343976879,0.000474627584467039,synonymous,23108732484,X,108732484,
GTSF1L,ENSG00000124196,0.0004502606534873,0.000408348730341346,0.0149502320041714,-0.00184241402456933,synonymous,20043726209,20,43726209,
ABCC12,ENSG00000140798,0.00045270553693999,0.0745485261502247,0.000240631172870209,0.000468382888567431,synonymous,16048083634,16,48083634,
AL355385.2,ENSG00000288564,0.000461327107824205,0.000221794560879229,0.129182403206363,-0.00623021869688334,synonymous,6043046067,6,43046067,
MAS1L,ENSG00000204687,0.000461457155137568,0.00489061755722009,0.000326172438348538,-0.000860213130630381,synonymous,6029486671,6,29486671,
BABAM2,ENSG00000158019,0.000467601659668859,0.364115121742482,0.000261450673934016,0.00181004453980736,synonymous,2027890179,2,27890179,
CDH15,ENSG00000129910,0.000472763041744928,0.397809688295142,0.000305815943851373,0.000236704325432361,synonymous,16089171748,16,89171748,
CCDC97,ENSG00000142039,0.00048026334484963,0.000793840077514263,0.000497174757780217,0.00113962026687949,synonymous,19041305587,19,41305587,
ST8SIA1,ENSG00000111728,0.000482172983758522,0.00171055514274732,0.000449961942712185,0.00156162216789266,synonymous,12022201428,12,22201428,
ZNF322,ENSG00000181315,0.000497040923063907,0.00593046997333813,0.00044062112530896,-0.00127752043065847,synonymous,6026637298,6,26637298,
ZNF737,ENSG00000237440,0.000502168082143539,0.00391241820202382,0.000453248990156085,-0.000958072713049259,synonymous,19020535995,19,20535995,
DRP2,ENSG00000102385,0.000509879604478569,0.00624568984870499,0.000258009515486268,0.000576463347405616,synonymous,23101231617,X,101231617,
HAVCR2,ENSG00000135077,0.000519564194339073,0.426392176252826,0.000238673531201661,0.000773587988292709,synonymous,5157087038,5,157087038,
CREBL2,ENSG00000111269,0.000529944887207479,0.0730303805184064,0.000447641888889572,0.00342521824639582,synonymous,12012612069,12,12612069,
IER3IP1,ENSG00000134049,0.000549583815986909,0.00820708619294785,0.000341365749927602,0.00831685256907509,synonymous,18047156162,18,47156162,
AC012254.2,ENSG00000267228,0.000549583815986909,0.00820708619294785,0.000341365749927602,0.00831685256907509,synonymous,18047130222,18,47130222,
ST6GALNAC2,ENSG00000070731,0.00056944786495905,0.00126666487359761,0.000604878100756379,-0.0013516964379124,synonymous,17076566009,17,76566009,
PCDHAC1,ENSG00000248383,0.000573262118301554,0.000470186776788672,0.0042990923296149,-0.000765085549670707,synonymous,5140926740,5,140926740,
GFPT2,ENSG00000131459,0.000578357378149374,0.0942861672213482,0.000296355159079331,0.000734986109025147,synonymous,5180301525,5,180301525,
NBPF1,ENSG00000219481,0.00059057415245245,0.000346809335702858,0.0789938176625951,-0.00103215101419813,synonymous,1016565526,1,16565526,
BPIFB2,ENSG00000078898,0.000609179596689713,0.0222603592448627,0.000349260092411763,0.00143452319560116,synonymous,20033002704,20,33002704,
ALPI,ENSG00000163295,0.000626710550425957,0.000521195000086405,0.00196955311323621,-0.00113391290290504,synonymous,2232456072,2,232456072,
RAP1GDS1,ENSG00000138698,0.000630111598599936,0.00127044460167181,0.00113788975895379,-0.00262964149807899,synonymous,4098261510,4,98261510,
RPSA,ENSG00000168028,0.000633060072705249,0.253105854133462,0.000305622355188273,-0.00133441114510985,synonymous,3039407581,3,39407581,
CCDC136,ENSG00000128596,0.000641016798669791,0.194926029066514,0.000431713457692329,-0.000433663816043108,synonymous,7128791422,7,128791422,
MMP24,ENSG00000125966,0.000692324428617774,0.680753658319635,0.000362284020902437,0.000138792761734831,synonymous,20035226768,20,35226768,
PLA2R1,ENSG00000153246,0.000701282879167153,0.00298329838670386,0.000597543614019647,0.00106970062450733,synonymous,2159941768,2,159941768,
RPS6KA3,ENSG00000177189,0.000702443991834723,0.0118102413146919,0.000636680166426373,0.00112689256408447,synonymous,23020155326,X,20155326,
