Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
FLCN,ENSG00000154803,0.00000113022275571861,3.39193523934966e-7,0.00237850833633457,-0.0304742441897711,pLoF,17017213545,17,17213545,
FGFBP1,ENSG00000137440,0.00000762489868877392,0.0171835079819701,0.00000538730786769914,0.00664379732757392,pLoF,4015935890,4,15935890,
IFNA6,ENSG00000120235,0.000015533047618041,,,,pLoF,9021350257,9,21350257,
DAP,ENSG00000112977,0.0000324727479691367,0.0000326814505400286,0.0000537111671434776,0.00726394640339662,pLoF,5010680656,5,10680656,
FNIP1,ENSG00000217128,0.0000641500809546169,0.0000461945403960051,0.000754855010301703,-0.0403893403532964,pLoF,5131644633,5,131644633,
PPID,ENSG00000171497,0.0000817256124056032,0.0000761651548402131,0.000458478056830192,-0.0105199500526188,pLoF,4158706156,4,158706156,
PTPN2,ENSG00000175354,0.0000834426728855142,0.000746841094452666,0.000102607185818226,0.0370484789397942,pLoF,18012792150,18,12792150,
ENTPD4,ENSG00000197217,0.00010129884978427,0.000282005904440719,0.000142171919637279,-0.0102958698635599,pLoF,8023429036,8,23429036,
THUMPD1,ENSG00000066654,0.000217850505722095,0.00205392053063069,0.000189461624162779,0.0216004214563634,pLoF,16020729303,16,20729303,
GPR162,ENSG00000250510,0.000243951241424956,0.000429582219504399,0.00025132210487111,-0.00523888587616365,pLoF,12006817071,12,6817071,
TRIM38,ENSG00000112343,0.000300557163355641,0.00044244737669763,0.000296418366284246,0.00442907791440556,pLoF,6025966425,6,25966425,
LYRM7,ENSG00000186687,0.000318226931053434,0.00025316882104276,0.00150180401154842,-0.0547973904579603,pLoF,5131170918,5,131170918,
GPBAR1,ENSG00000179921,0.000325702500056924,0.0225889486874897,0.000168935016792049,0.0132489194535444,pLoF,2218262624,2,218262624,
TACR2,ENSG00000075073,0.000327167881594703,0.000635128375749749,0.000514373379651767,-0.0163045895687046,pLoF,10069400916,10,69400916,
CASP8,ENSG00000064012,0.00033571594204318,0.000172893241780159,0.110627479876728,-0.0235342233368015,pLoF,2201258148,2,201258148,
USP20,ENSG00000136878,0.000342225216259151,0.000140083975340488,0.0856839877850823,0.0172165757144565,pLoF,9129830839,9,129830839,
MRPL39,ENSG00000154719,0.000354336732240501,0.0343041233282533,0.000295373592196668,0.00601641519568301,pLoF,21025585700,21,25585700,
DDX41,ENSG00000183258,0.000385614606886908,0.00570544318404742,0.000284408670438774,0.00806692694553352,pLoF,5177508115,5,177508115,
METTL2A,ENSG00000087995,0.000416392050542669,0.364852990245194,0.000193243058745018,-0.00512270074734135,pLoF,17062423773,17,62423773,
PAG1,ENSG00000076641,0.000418836344621587,0.000335305503001426,0.00598912801216334,-0.0192536788906084,pLoF,8080976465,8,80976465,
RGP1,ENSG00000107185,0.000435178038066586,0.00021644741043314,0.0046851262703429,-0.025521252054189,pLoF,9035744305,9,35744305,
GSDMC,ENSG00000147697,0.000442156003743421,0.000270311476379348,0.00732663365253428,-0.0173903792010029,pLoF,8129748410,8,129748410,
SOX2,ENSG00000181449,0.000510223490116609,,,,pLoF,3181712273,3,181712273,
AC119676.1,ENSG00000284895,0.00052953518863208,0.000469668283487934,0.00694644041593984,0.0490102179587717,pLoF,1041580310,1,41580310,
RGS1,ENSG00000090104,0.000550321835759982,0.0698255677965909,0.000299803725933634,-0.0199110215682836,pLoF,1192575665,1,192575665,
PDZD7,ENSG00000186862,0.000597850438616931,0.0328971294427853,0.000401958519178458,-0.00481218490303068,pLoF,10101002682,10,101002682,
IGF2BP2,ENSG00000073792,0.00064648520021271,0.000442528374181461,0.0286903286989644,0.0348271581595513,pLoF,3185645499,3,185645499,
NRXN2,ENSG00000110076,0.000686950627820093,0.000295741958023066,0.110113491325131,0.0397640630297726,pLoF,11064601406,11,64601406,
MED23,ENSG00000112282,0.00073514498520233,0.00704879730391617,0.000664998975292153,-0.0110674020576192,pLoF,6131582584,6,131582584,
RXRA,ENSG00000186350,0.00075570616021603,0.000434542745288202,0.00203179120037578,-0.0985597568618674,pLoF,9134326583,9,134326583,
JKAMP,ENSG00000050130,0.000795307414935387,0.0157429548083158,0.000437851050793969,0.0390473148574839,pLoF,14059483431,14,59483431,
FSD2,ENSG00000186628,0.000887996545773873,0.000651900733682265,0.0819617175755009,0.0124702587069512,pLoF,15082759269,15,82759269,
CACNA1D,ENSG00000157388,0.000995952705480696,0.000408812519465673,0.11570767255286,-0.0313162003176067,pLoF,3053495125,3,53495125,
FLOT1,ENSG00000137312,0.000997396716134857,0.0166820643145013,0.000560122708294308,-0.0158082955584082,pLoF,6030722856,6,30722856,
VASH2,ENSG00000143494,0.00100078277476601,0.309536971492073,0.000530650490432771,-0.00877985177969172,pLoF,1212951543,1,212951543,
NF1,ENSG00000196712,0.00101592601515343,0.000466551582721908,0.126899040582154,0.0222012678707747,pLoF,17031095231,17,31095231,
CDSN,ENSG00000204539,0.00103581989845603,0.00451663269146207,0.000796582903105469,-0.0180292223830224,pLoF,6031111304,6,31111304,
LYSMD1,ENSG00000163155,0.00105605964643485,0.0023082562701362,0.000938805730112513,0.0163674390575985,pLoF,1151158628,1,151158628,
JADE1,ENSG00000077684,0.00108025241487908,0.000476852138098449,0.0194037854534834,0.0523145399978349,pLoF,4128827804,4,128827804,
AIP,ENSG00000110711,0.00115229347971291,0.844922478554225,0.000682523686185821,-0.00324214755535491,pLoF,11067483088,11,67483088,
CFAP74,ENSG00000142609,0.00125812811862536,0.104322790634384,0.0010069045826423,-0.00240065905492286,pLoF,1001916957,1,1916957,
ZNF593,ENSG00000142684,0.00126332540497931,0.0062633954104222,0.000893310974296457,0.0179551169348267,pLoF,1026165645,1,26165645,
