Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
MFSD6L,ENSG00000185156,0.000194628142201836,0.40090354559402,0.0000872449598379177,0.000498664375725902,synonymous,17008797279,17,8797279,
TSPAN8,ENSG00000127324,0.000219375037226466,0.113103220064143,0.000108779589630292,0.00449856661205323,synonymous,12071125264,12,71125264,
RNF114,ENSG00000124226,0.000197192946877034,0.0962417487963743,0.000155081745644603,-0.00166743310025964,synonymous,20049936305,20,49936305,
PRKY,ENSG00000099725,0.000394852444782101,0.00348193773234051,0.000242027807212164,-0.0126102384591229,synonymous,24007303889,Y,7303889,
PHKG2,ENSG00000156873,0.000516368955859825,0.121411002145653,0.000266249217259595,-0.000836730475539631,synonymous,16030743670,16,30743670,
CCDC69,ENSG00000198624,0.000565642081534867,0.0715271086606564,0.000268274933144186,0.00273876599525141,synonymous,5151183348,5,151183348,
RSRC2,ENSG00000111011,0.000334805941487937,0.00569095007201914,0.000301066085504731,0.00343151245133948,synonymous,12122498751,12,122498751,
RIPK3,ENSG00000129465,0.000416744608466968,0.00296304733933717,0.000351140869046862,0.00377993470846316,synonymous,14024331027,14,24331027,
MSL3,ENSG00000005302,0.000653468290713888,0.0191726869791196,0.000363931291188169,0.00281119747346622,synonymous,23011758238,X,11758238,
TM9SF2,ENSG00000125304,0.000762514157783056,0.115845442369198,0.000367977603539682,-0.000712206031755333,synonymous,13099501488,13,99501488,
TIGD1,ENSG00000221944,0.000726645394319214,0.00476045767544575,0.000395472063107194,-0.00447884808502878,synonymous,2232539670,2,232539670,
OR6Q1,ENSG00000279051,0.00107547292838939,0.0788772893678683,0.000534972109530907,0.00327648963637698,synonymous,11058030929,11,58030929,
SMARCC1,ENSG00000173473,0.000865903085859543,0.0159997005200564,0.000551292491306032,0.00217891533748516,synonymous,3047588163,3,47588163,
CSF2RA,ENSG00000198223,0.00105062019100965,0.0493912435614634,0.000588578709560084,0.00187123310238056,synonymous,23001282644,X,1282644,
IL17B,ENSG00000127743,0.00105789364495468,0.0353313936016041,0.00061156409010299,0.00500087749973508,synonymous,5149374288,5,149374288,
ETV3L,ENSG00000253831,0.000818381334019902,0.0316340729042627,0.00065954979893279,0.00172317946532458,synonymous,1157092584,1,157092584,
C8orf76,ENSG00000189376,0.00102529711224053,0.317481460700018,0.000669635865325313,0.001589540703303,synonymous,8123220082,8,123220082,
GNAT1,ENSG00000114349,0.00114363676531914,0.0559024789466313,0.000730202736545671,-0.00258032905510755,synonymous,3050186613,3,50186613,
CCK,ENSG00000187094,0.00123239884564152,0.043195033619452,0.000765260741110385,0.005990708616509,synonymous,3042258020,3,42258020,
