Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ANKH,ENSG00000154122,2.32384000931063e-10,0.000201283176839651,1.56138943072384e-10,-0.00777971699549491,missense|LC,5014711150,5,14711150,
FAM234A,ENSG00000167930,0.00000450342439728413,0.00000214873967241402,0.000260561958337124,-0.00757005181145234,missense|LC,16000231109,16,231109,
ZNF771,ENSG00000179965,0.00000466847367297518,0.00000963723148050821,0.00000471472293417374,0.0117394922166929,missense|LC,16030408021,16,30408021,
GCK,ENSG00000106633,0.00000678754426119976,0.00000286370751811926,0.00149550007988741,0.03345323358351,missense|LC,7044139451,7,44139451,
HNF4A,ENSG00000101076,0.0000235493204480131,0.000218467578086745,0.0000744900089477696,0.0191996687482927,missense|LC,20044401246,20,44401246,
PSMB9,ENSG00000240065,0.0000352931988496508,0.00401152043177,0.0000295141498684037,0.00705655527013706,missense|LC,6032849195,6,32849195,
SLC44A4,ENSG00000204385,0.0000425478988793637,0.0955417705992835,0.0000253672310790432,0.00269367753171078,missense|LC,6031859644,6,31859644,
MAP3K15,ENSG00000180815,0.0000693946953390645,0.0000594960554258783,0.00104697955596467,-0.00413208513227269,missense|LC,23019355683,X,19355683,
CTTN,ENSG00000085733,0.0000718842811772147,0.0000437458546275193,0.0149478163006762,-0.00783657481421407,missense|LC,11070407238,11,70407238,
CASC3,ENSG00000108349,0.0000929248084508005,0.0000622620526753437,0.0381185571368077,0.0085720805503927,missense|LC,17040140478,17,40140478,
BAG2,ENSG00000112208,0.0000940055195790546,0.000764167480334033,0.000137014131098456,0.0246363188257963,missense|LC,6057168386,6,57168386,
NELFE,ENSG00000204356,0.000100055235514263,0.000865782432958206,0.0000780946890202028,0.00696058968695564,missense|LC,6031947099,6,31947099,
CFAP65,ENSG00000181378,0.000106513975345002,0.906379924344088,0.0000433395640103695,-0.000135828716572886,missense|LC,2219002878,2,219002878,
CAPS2,ENSG00000180881,0.000118110429965235,0.0000956473502402577,0.0059707850322781,0.00851325372709166,missense|LC,12075276117,12,75276117,
CST8,ENSG00000125815,0.000148405533517915,0.0000715075417596633,0.00703360123014218,0.0203902511281043,missense|LC,20023491617,20,23491617,
RBBP4,ENSG00000162521,0.000201821570042782,0.029186557751403,0.0000901552695153907,0.0306748094019099,missense|LC,1032650317,1,32650317,
CLTC,ENSG00000141367,0.000207848542584821,0.000372307249962844,0.000894085196155414,0.0181909731437008,missense|LC,17059620059,17,59620059,
HOXC13,ENSG00000123364,0.000227263652313181,0.000538570319646992,0.000311908191363508,0.0108125874773484,missense|LC,12053938833,12,53938833,
NHP2,ENSG00000145912,0.000242621766382345,0.00254428961213971,0.000226177169963426,0.00737497538226108,missense|LC,5178146025,5,178146025,
TAB1,ENSG00000100324,0.000262105889497044,0.384423834092518,0.000134141474705363,0.00248873904920015,missense|LC,22039399708,22,39399708,
ARF4,ENSG00000168374,0.000306531251466735,0.168641449511423,0.000135284125690971,0.0198546430984399,missense|LC,3057572166,3,57572166,
STAT5B,ENSG00000173757,0.000331745865915223,0.000413980042403894,0.0048048496978248,0.0181724438419593,missense|LC,17042201720,17,42201720,
LIG4,ENSG00000174405,0.000339516831017295,0.000196156591148133,0.0330640987006982,-0.00864083698897605,missense|LC,13108208507,13,108208507,
