Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
FPGT,ENSG00000254685,0.00000215585740315216,0.00000182347969901464,0.000705171553109118,-0.0114772703475311,synonymous,1074198087,1,74198087,
HSD17B14,ENSG00000087076,0.0000254331195308488,0.00187215315799949,0.0000140092037024253,0.0164768844756603,synonymous,19048808020,19,48808020,
RAMAC,ENSG00000169612,0.0000602793709836291,0.000418557752548621,0.0000557306726287621,0.0453187444672218,synonymous,15082985990,15,82985990,
C2orf49,ENSG00000135974,0.00012681289633798,0.000470526458714371,0.0001221805687599,-0.00574297084439841,synonymous,2105337398,2,105337398,
CDC42EP3,ENSG00000163171,0.000134932644525354,0.000117286525577409,0.000988024508888019,-0.0135329882663849,synonymous,2037645764,2,37645764,
NCAPG2,ENSG00000146918,0.00017205134906384,0.00617444775627862,0.000110925780543836,0.00380483561061311,synonymous,7158639813,7,158639813,
FEZF2,ENSG00000153266,0.000271205604242208,0.000298253799841275,0.000765074201446225,-0.00529183796537589,synonymous,3062369966,3,62369966,
SMPD2,ENSG00000135587,0.000277057108324374,0.010370722728847,0.000186850211810752,-0.00863869597272429,synonymous,6109436101,6,109436101,
CDCA8,ENSG00000134690,0.000319983705246107,0.000653100110740823,0.000440827361120055,-0.0168623914617805,synonymous,1037689499,1,37689499,
SYNGR4,ENSG00000105467,0.000414849009453766,0.0193848660221294,0.000324605322185034,-0.00497070350514569,synonymous,19048359994,19,48359994,
ERP44,ENSG00000023318,0.000415711797457363,0.000480918814799502,0.000433243110302906,0.0126539454494286,synonymous,9099982593,9,99982593,
SIDT2,ENSG00000149577,0.00049981759710005,0.000396508712331656,0.0132588632973127,0.00429066127917034,synonymous,11117174852,11,117174852,
MFAP3L,ENSG00000198948,0.000500327274314816,0.000819404919283562,0.00057429261684927,-0.00505190896393226,synonymous,4169991291,4,169991291,
HCAR2,ENSG00000182782,0.000528322764747902,0.000845613972213721,0.00163632903036048,-0.007382266420374,synonymous,12122702046,12,122702046,
SLX4IP,ENSG00000149346,0.000683257896816447,0.000812504220820465,0.00119027794121362,-0.00760903671667571,synonymous,20010458133,20,10458133,
SPART,ENSG00000133104,0.000735677342643348,0.000354370332898313,0.0147032346682396,-0.00693430022845089,synonymous,13036297564,13,36297564,
PEF1,ENSG00000162517,0.000736201548250381,0.000349232407940048,0.0238213893248831,0.0163755637994793,synonymous,1031624895,1,31624895,
SLC16A10,ENSG00000112394,0.000807509741418411,0.0111949552203869,0.000352160714857108,-0.00433347374381327,synonymous,6111087698,6,111087698,
VOPP1,ENSG00000154978,0.000907252130915803,0.0986218923046697,0.000480727620116861,-0.00918693791550664,synonymous,7055472855,7,55472855,
CD207,ENSG00000116031,0.000910111084730936,0.000713859406540784,0.0221094793858024,0.00555776072394785,synonymous,2070830974,2,70830974,
TACC2,ENSG00000138162,0.000927278053406422,0.273523610904557,0.000443772850933555,0.00058438815480835,synonymous,10122021917,10,122021917,
CTXN2,ENSG00000233932,0.000949772454246878,0.000497797610279238,0.0128641300464568,-0.0404404786206347,synonymous,15048177954,15,48177954,
DSCAM,ENSG00000171587,0.000955265487734169,0.000437868660949192,0.152056863176433,0.00246758092579701,synonymous,21040012963,21,40012963,
GRIK1,ENSG00000171189,0.00103282774967106,0.000557846025090014,0.0346206448067801,0.00668883279041709,synonymous,21029537190,21,29537190,
ACYP1,ENSG00000119640,0.00107678450819848,0.000551551767470682,0.00812418474747556,0.0305465842384812,synonymous,14075048239,14,75048239,
FECH,ENSG00000066926,0.00109725514384795,0.00318199627673799,0.00129001889484981,0.00992260584846928,synonymous,18057550613,18,57550613,
MMP3,ENSG00000149968,0.00111438558601273,0.000594896217147589,0.0703890088041754,0.00987752545448442,synonymous,11102836095,11,102836095,
ECE2,ENSG00000145194,0.00124175761787848,0.00724491888636924,0.000934755474847115,-0.00420264989295427,synonymous,3184275972,3,184275972,
CD52,ENSG00000169442,0.00125789257081332,0.000652894402663473,0.0149107233045862,-0.0301408571774203,synonymous,1026317964,1,26317964,
ATP6V0E2,ENSG00000171130,0.00132772282952609,0.927140003252191,0.00071386325306344,0.00015393193139611,synonymous,7149873783,7,149873783,
IL12B,ENSG00000113302,0.00137473481828931,0.110834284519324,0.000777980483614549,0.00734935486880944,synonymous,5159316596,5,159316596,
NACA,ENSG00000196531,0.00138271506389165,0.415662466131291,0.00076358211299854,0.00162393530365032,synonymous,12056712453,12,56712453,
MLLT6,ENSG00000275023,0.00139274866715966,0.2820641188982,0.0006075355949271,-0.00200135106034104,synonymous,17038705599,17,38705599,
KLRK1,ENSG00000213809,0.00143930127043324,0.0102275299890071,0.000937154688255282,0.0174950510937984,synonymous,12010373053,12,10373053,
HNRNPCL3,ENSG00000277058,0.00146470290899314,0.0012207963401194,0.0029429218803998,0.0173219268540684,synonymous,1013061474,1,13061474,
LEFTY2,ENSG00000143768,0.00150091335981395,0.025942541962154,0.00110484451819404,-0.00337066805569829,synonymous,1225937312,1,225937312,
ZNF45,ENSG00000124459,0.00155307025996199,0.141317128495151,0.000882393727918318,-0.00206328776640932,synonymous,19043913283,19,43913283,
DENND5A,ENSG00000184014,0.00155357683910584,0.00108759563082073,0.00615544514749899,0.00413815919707973,synonymous,11009139592,11,9139592,
NOXO1,ENSG00000196408,0.00157139146395191,0.000778448948375865,0.0434078688216215,-0.00968258575457979,synonymous,16001974039,16,1974039,
ARL14,ENSG00000179674,0.00162387557557919,0.00165855814729254,0.00306851663969177,-0.0098112561360577,synonymous,3160677281,3,160677281,
RPP25,ENSG00000178718,0.00169521948628282,0.0310980865673439,0.00107356572112516,-0.00822033664842635,synonymous,15074955858,15,74955858,
C4BPA,ENSG00000123838,0.00176143765291314,0.00552522089663299,0.0014685360372626,-0.00532903738259246,synonymous,1207099718,1,207099718,
PI4K2B,ENSG00000038210,0.00179519339339651,0.00146041352259552,0.00418611311360095,-0.00430063385424008,synonymous,4025234068,4,25234068,
SSX4,ENSG00000268009,0.00187647947079526,,,,synonymous,23048384501,X,48384501,
SSX4B,ENSG00000269791,0.00187647947079526,,,,synonymous,23048402719,X,48402719,
SNRPD2,ENSG00000125743,0.0019107800933712,0.00145455881727985,0.00689124164896282,-0.0135533392001627,synonymous,19045687485,19,45687485,
ZNF485,ENSG00000198298,0.00193720018274224,0.0328674624421669,0.00161801833103459,-0.00527534825247026,synonymous,10043605281,10,43605281,
EEF1AKMT4-ECE2,ENSG00000284917,0.00200521679177124,0.0428248915939475,0.00139640344726666,-0.00300087254794714,synonymous,3184244701,3,184244701,
TRAF3IP3,ENSG00000009790,0.00200850945825026,0.00505028752519954,0.00177404302158701,-0.00454679048539982,synonymous,1209759985,1,209759985,
ISL1,ENSG00000016082,0.002070926782059,0.0561255480114474,0.00127935401206969,-0.00217154667401445,synonymous,5051383617,5,51383617,
CDK9,ENSG00000136807,0.00213299417535873,0.00230082737741699,0.00219112771563057,0.00306298791031882,synonymous,9127786095,9,127786095,
LANCL3,ENSG00000147036,0.00213331786549187,0.00122969306593801,0.00588645747235983,-0.00394254037847719,synonymous,23037571818,X,37571818,
MANBA,ENSG00000109323,0.0021968006699008,0.00110519607034276,0.121853499192308,-0.00581714371708188,synonymous,4102632014,4,102632014,
BACE2,ENSG00000182240,0.00228392655402321,0.255124493405474,0.0014259099837618,0.0019180243947128,synonymous,21041168193,21,41168193,
ESS2,ENSG00000100056,0.00228515914662852,0.00833366690802895,0.00168643819390368,0.00383251816374434,synonymous,22019131331,22,19131331,
CPSF6,ENSG00000111605,0.00233435361667844,0.203104346802301,0.00130371104524629,0.00233870046241639,synonymous,12069239526,12,69239526,
ZNF653,ENSG00000161914,0.0023461602231174,0.00150554319076079,0.0202224309584482,-0.00349443149334396,synonymous,19011480477,19,11480477,
KCNN3,ENSG00000143603,0.0024844823706538,0.00187116320735514,0.013817683362883,-0.00915645499155536,synonymous,1154707883,1,154707883,
KLHL22,ENSG00000099910,0.00264979477617699,0.0143307562873081,0.00157016882110117,-0.00333508726972212,synonymous,22020437483,22,20437483,
BFAR,ENSG00000103429,0.00270597152783925,0.00211916630331643,0.00468177158072658,0.0046616726579835,synonymous,16014628158,16,14628158,
CHMP4A,ENSG00000254505,0.0027133052465752,0.0024832696915531,0.0247265851967597,0.00472477482942055,synonymous,14024205872,14,24205872,
DEXI,ENSG00000182108,0.00284123546574022,0.00135549495732068,0.196999571765487,-0.0192844404290548,synonymous,16010941464,16,10941464,
PXK,ENSG00000168297,0.00285572289545266,0.0127940630990119,0.0017262379066969,-0.00315960194081059,synonymous,3058332924,3,58332924,
DGKB,ENSG00000136267,0.00287111763622416,0.220521005412,0.00169461419313599,-0.00166480656029388,synonymous,7014149078,7,14149078,
