Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ZFAT,ENSG00000066827,2.04360378904408e-18,6.10215685347843e-17,7.43401185159895e-12,0.00176244603670226,missense|LC,8134478341,8,134478341,
STC2,ENSG00000113739,1.10488819599121e-16,2.87549951627497e-8,2.84168561820117e-17,0.00254063782077671,missense|LC,5173317717,5,173317717,
FBN2,ENSG00000138829,5.54094000049286e-13,0.0179080630616755,7.91562857213266e-14,0.000359933465761557,missense|LC,5128259368,5,128259368,
SCMH1,ENSG00000010803,6.57190927519999e-13,0.36507136384785,9.38844182171428e-14,0.000246286293750892,missense|LC,1041028094,1,41028094,
NPR2,ENSG00000159899,7.69187329359321e-13,8.7701514939198e-9,5.84327183306144e-8,-0.0024211383265648,missense|LC,9035792317,9,35792317,
FGFR3,ENSG00000068078,1.26180624995298e-11,4.49675293827167e-12,3.33962528093521e-8,-0.00183819182441302,missense|LC,4001793905,4,1793905,
MTMR11,ENSG00000014914,9.10774244911039e-9,0.000168565883572391,2.10792669985693e-8,0.00105571823142509,missense|LC,1149923654,1,149923654,
NPR3,ENSG00000113389,2.64546946571187e-8,3.02377427541245e-8,0.00000486426348333957,0.00188884927900485,missense|LC,5032710545,5,32710545,
RPL5,ENSG00000122406,2.99615955379195e-8,0.00000164332895313812,4.19386212424655e-8,0.00184828240057907,missense|LC,1092831978,1,92831978,
ZNF646,ENSG00000167395,7.34645975164483e-8,0.010912935248255,2.42169504449663e-8,0.000444622008767037,missense|LC,16031076197,16,31076197,
NPAS4,ENSG00000174576,8.28268212904604e-8,0.000589002007848061,3.62105864182283e-8,-0.000890865583483305,missense|LC,11066421113,11,66421113,
NOS3,ENSG00000164867,9.16396519778928e-8,1.09182431762278e-7,0.0000271942670204695,-0.00209900205738064,missense|LC,7150993717,7,150993717,
KLHL15,ENSG00000174010,1.37475175909785e-7,0.00000323205482677391,3.03421197500597e-7,-0.00637958944887977,missense|LC,23023987882,X,23987882,
PIEZO1,ENSG00000103335,3.43951499615081e-7,0.00000132390767348944,0.00000148413078582266,-0.000430321231083217,missense|LC,16088710342,16,88710342,
KCNJ8,ENSG00000121361,3.63260338143157e-7,0.0000941686901773098,1.08106018137377e-7,-0.00336657111928191,missense|LC,12021765668,12,21765668,
CPT1A,ENSG00000110090,5.04514207966267e-7,7.6207837962361e-7,0.0000024079027731716,0.00137019914016653,missense|LC,11068750116,11,68750116,
ADAMTS6,ENSG00000049192,6.01526667032282e-7,1.82584534380581e-7,0.00253784823198056,-0.00142964178899679,missense|LC,5065151775,5,65151775,
FNDC3B,ENSG00000075420,7.01017971671547e-7,0.0000012034590923804,0.0000152870760585788,0.00130131928641491,missense|LC,3172112447,3,172112447,
IHH,ENSG00000163501,7.5311086655816e-7,2.32564008273428e-7,0.000698502293241088,-0.00246865833750855,missense|LC,2219055118,2,219055118,
FBXL19,ENSG00000099364,0.00000152096845718042,0.000308073294635225,0.00000151469370512913,0.00123895920399641,missense|LC,16030924575,16,30924575,
FIBIN,ENSG00000176971,0.00000196859715895226,0.00000160769879142819,0.00027863980521281,-0.00204930897576405,missense|LC,11026994451,11,26994451,
COL8A2,ENSG00000171812,0.00000268114610901815,0.00000189830887165066,0.0447342081864462,0.00137150244584262,missense|LC,1036091178,1,36091178,
NRK,ENSG00000123572,0.00000268456042484821,0.0384029427412866,9.59063930161541e-7,-0.0004154032146682,missense|LC,23105822797,X,105822797,
FAM234A,ENSG00000167930,0.00000439857730649695,0.0000856163676657973,0.00000451322385930375,0.000918863959157136,missense|LC,16000231109,16,231109,
SUZ12,ENSG00000178691,0.00000491904610799843,0.0336498495989238,0.00000307166511803736,-0.000707291708925844,missense|LC,17031937160,17,31937160,
ABCB6,ENSG00000115657,0.00000745677756441854,0.0899717086506069,0.00000252305114711859,-0.000307387930455375,missense|LC,2219206891,2,219206891,
SLC2A2,ENSG00000163581,0.00000842765573083604,0.0598970072527066,0.00000359510193259638,0.000973577327089647,missense|LC,3170997852,3,170997852,
SHBG,ENSG00000129214,0.00000924889383913108,0.000142227131986417,0.0000093784914796391,-0.00140683513055268,missense|LC,17007626355,17,7626355,
CNPY2,ENSG00000257727,0.0000100186990201756,0.00000398646917154633,0.0176344601518079,-0.00472294212605239,missense|LC,12056310487,12,56310487,
WDR6,ENSG00000178252,0.0000100630632130505,0.00000700165281419807,0.00144033573330704,-0.00113625710101611,missense|LC,3049002464,3,49002464,
MICA,ENSG00000204520,0.0000100806776545115,0.0000666900852448471,0.0000196657122083499,-0.00125860830698791,missense|LC,6031399933,6,31399933,
NKAPL,ENSG00000189134,0.0000111344729429863,0.000443385386478812,0.00000500416024384887,-0.000960486578282495,missense|LC,6028259298,6,28259298,
CRTAP,ENSG00000170275,0.0000114267282990133,0.00000788339560742202,0.000479046315386533,0.0014023013278495,missense|LC,3033114013,3,33114013,
SNX8,ENSG00000106266,0.0000115817047401379,0.24651102099187,0.0000057797430074169,0.000271556445330809,missense|LC,7002249744,7,2249744,
CHKA,ENSG00000110721,0.0000119084081448007,0.293008148712922,0.00000659373285016862,-0.000326655149801498,missense|LC,11068047859,11,68047859,
ARMC5,ENSG00000140691,0.0000126034419992704,0.00524101101216878,0.00000558216623314234,0.000638687186566445,missense|LC,16031458324,16,31458324,
BORCS6,ENSG00000196544,0.0000139856050516141,0.00438692506585581,0.0000117487563918717,-0.000915473977390085,missense|LC,17008188938,17,8188938,
TARS2,ENSG00000143374,0.0000154657430547767,0.00153288607586988,0.00000943532294539473,0.000907205472320552,missense|LC,1150487342,1,150487342,
FLNB,ENSG00000136068,0.0000205310740343245,0.0000079654320462863,0.0247020962106781,-0.000785873141507215,missense|LC,3058008460,3,58008460,
QTRT1,ENSG00000213339,0.0000255492035878824,0.000194694494337511,0.0000324317836433163,-0.00162838731686555,missense|LC,19010701336,19,10701336,
ECSIT,ENSG00000130159,0.0000287450843907688,0.000356013124801047,0.0000541208051152431,0.00138289153649431,missense|LC,19011504458,19,11504458,
NPC1,ENSG00000141458,0.000032125639111813,0.0000310521025961297,0.000814650241962589,0.00101694680072942,missense|LC,18023526527,18,23526527,
CABLES2,ENSG00000149679,0.0000324487878534674,0.0145199269915508,0.0000250658951463922,-0.000790362764245306,missense|LC,20062387264,20,62387264,
CRISPLD2,ENSG00000103196,0.0000326232275873473,0.0000272020809075624,0.000161592166813662,-0.000925195347081577,missense|LC,16084838390,16,84838390,
AXIN1,ENSG00000103126,0.0000332266660026947,0.00175910734091922,0.0000146542221129975,-0.00066754299986821,missense|LC,16000282323,16,282323,
UBQLN4,ENSG00000160803,0.0000338426445808393,0.000051019885093706,0.0000747088078238978,-0.00140369981131513,missense|LC,1156033123,1,156033123,
PPARD,ENSG00000112033,0.00003873546942601,0.0000162700773425062,0.00547204764800813,0.00261025538950058,missense|LC,6035347032,6,35347032,
