Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
TUBB1,ENSG00000101162,4.38954103310358e-225,1.93840805756632e-221,3.23352857135521e-121,0.0770125854217845,pLoF,20059019424,20,59019424,
CALR,ENSG00000179218,2.414577012328e-40,2.21870281157228e-24,8.88089916298159e-40,0.0433867714767593,pLoF,19012933612,19,12933612,
TET2,ENSG00000168769,2.44892412271123e-23,1.49478689498877e-18,0.000235382508442905,0.0147688338005249,pLoF,4105233891,4,105233891,
GP1BA,ENSG00000185245,2.26813907827392e-21,3.24019868324846e-22,2.21946725907534e-20,0.0136097879015345,pLoF,17004932242,17,4932242,
APOA5,ENSG00000110243,2.98840995866879e-18,1.45826629460168e-18,1.79958379847916e-15,0.0169783257076304,pLoF,11116784373,11,116784373,
MTMR2,ENSG00000087053,4.46353974737907e-17,2.38870791842999e-15,6.37648535339866e-18,0.00150163109736903,pLoF,11095827883,11,95827883,
APOC3,ENSG00000110245,7.30755225712837e-17,1.04393603673262e-17,1.24754337386355e-16,-0.00769229050181539,pLoF,11116830486,11,116830486,
CD36,ENSG00000135218,9.15087753631349e-17,1.21254861067626e-15,1.79910682309493e-10,0.00800897316633762,pLoF,7080646654,7,80646654,
C4B,ENSG00000224389,1.57995826612976e-16,1.85410214778603e-16,2.25708323732823e-17,0.00457146311879874,pLoF,6032009810,6,32009810,
SLFN14,ENSG00000236320,6.00631182839955e-13,5.11504228912109e-13,1.68713605798079e-9,-0.0146653308101479,pLoF,17035548159,17,35548159,
CHEK2,ENSG00000183765,2.10500143276296e-12,3.00714490394709e-13,2.90116600280261e-10,0.00570440653235386,pLoF,22028687869,22,28687869,
SLFN12L,ENSG00000205045,1.00778644982675e-11,1.43969492832393e-12,4.44919770202337e-12,0.00445420580939148,pLoF,17035474829,17,35474829,
DOCK5,ENSG00000147459,1.06957017269552e-11,8.19984071293002e-12,0.0000274782305693666,-0.0124841913626142,pLoF,8025184800,8,25184800,
MPIG6B,ENSG00000204420,5.02466752886734e-11,6.48024400728403e-11,8.09654722822017e-7,0.020129914080555,pLoF,6031719038,6,31719038,
STAB1,ENSG00000010327,2.49200327040455e-10,6.59275119741048e-10,0.0000105356690676128,0.00546406778524375,pLoF,3052490593,3,52490593,
PLEKHO2,ENSG00000241839,6.58010201881609e-10,2.72636814235838e-8,2.46943969828273e-7,0.0295563931087654,pLoF,15064841897,15,64841897,
RIPOR3,ENSG00000042062,9.6015939643479e-10,1.48859082677253e-9,0.0000023232878770818,-0.00775093040134511,pLoF,20050581113,20,50581113,
CKAP2L,ENSG00000169607,3.06120584436798e-9,3.32159405899442e-9,0.000482383337583769,0.0131490291491091,pLoF,2112738795,2,112738795,
PDE3B,ENSG00000152270,6.44757047751909e-9,2.97856963560436e-8,1.65831251175419e-7,-0.00651774364279481,pLoF,11014643928,11,14643928,
TADA1,ENSG00000152382,1.40994848019105e-8,1.94915366069637e-8,1.89770556935365e-7,0.0117899738927923,pLoF,1166857473,1,166857473,
DENND2C,ENSG00000175984,4.01947684134948e-8,4.79805638553543e-8,0.0000874219507394081,-0.0119738566552234,pLoF,1114581224,1,114581224,
HEATR6,ENSG00000068097,1.14579804644244e-7,3.81932682147479e-8,0.000245369996959233,-0.00640877732726934,pLoF,17060043514,17,60043514,
AC069368.1,ENSG00000249240,3.11113991124934e-7,0.00000118769173396149,4.82772479326599e-7,0.0198875785248174,pLoF,15064841897,15,64841897,
NPC1,ENSG00000141458,3.47810377276936e-7,5.2759356883314e-8,0.0158427102935854,0.0116721622426314,pLoF,18023526527,18,23526527,
SEC23IP,ENSG00000107651,7.23155957005339e-7,7.82587858849659e-7,0.00379973110440102,0.00901555868235888,pLoF,10119892680,10,119892680,
DENND4B,ENSG00000198837,0.00000122225223941896,3.21126912616876e-7,0.00339181316503101,-0.0156828090695503,pLoF,1153930173,1,153930173,
NUB1,ENSG00000013374,0.00000221305252856574,0.00000165882242619819,0.000384762405704286,0.0119481517542228,pLoF,7151341676,7,151341676,
ARHGAP1,ENSG00000175220,0.00000486669787835847,0.0000051344922452623,0.000336356017266226,0.0168100322416246,pLoF,11046672120,11,46672120,
ANKS1A,ENSG00000064999,0.00000591273077099608,0.00000156004480345029,0.00123245178364018,0.0374139501318124,pLoF,6034887691,6,34887691,
ASXL1,ENSG00000171456,0.00000785458943708406,0.0000427726808196471,0.000023755335864295,0.0143194358147834,pLoF,20032358729,20,32358729,
SAMD14,ENSG00000167100,0.00000840318463790624,0.0000587032839377555,0.0000316778572466703,0.0130170497856898,pLoF,17050108095,17,50108095,
NSFL1C,ENSG00000088833,0.0000123080200606918,0.00000638359144078393,0.000165385286275743,0.0344155258526391,pLoF,20001443660,20,1443660,
ABTB1,ENSG00000114626,0.0000124292299022999,0.0000595809131954672,0.0000114420705285001,-0.00233153793528395,pLoF,3127668354,3,127668354,
ILK,ENSG00000166333,0.000012700621055739,0.0410003781751418,0.00000927329673738875,-0.0064059884741545,pLoF,11006600109,11,6600109,
AL662884.4,ENSG00000285085,0.0000145124537760388,0.0532505332356961,0.000012408963934063,0.0228058341210815,pLoF,6032149147,6,32149147,
EGFL8,ENSG00000241404,0.0000153672117783055,0.0002173162316359,0.0000154342311946554,-0.00234329240059862,pLoF,6032162499,6,32162499,
LRCH1,ENSG00000136141,0.0000201272829584154,0.00000893623594278026,0.0348201890277998,0.0225740415739772,pLoF,13046553330,13,46553330,
IQGAP2,ENSG00000145703,0.0000225310136090506,0.000017702251007945,0.0175837550997398,0.00499625778297877,pLoF,5076403469,5,76403469,
TRIM58,ENSG00000162722,0.0000266819747166691,0.0000694519917564529,0.0000246219832568118,0.00439162723912732,pLoF,1247857085,1,247857085,
SLC4A1,ENSG00000004939,0.0000270321366115933,0.0000294425540225962,0.000328755942988534,0.0280255976249107,pLoF,17044250416,17,44250416,
TRIM40,ENSG00000204614,0.0000272354566048794,0.000108386917988756,0.0000281524377209186,0.0023877956094094,pLoF,6030136958,6,30136958,
LMBRD1,ENSG00000168216,0.0000273700199970861,0.000122353877296533,0.0000289519669568472,0.005323871958108,pLoF,6069676114,6,69676114,
DOK1,ENSG00000115325,0.0000365009519199821,0.0000226265663052505,0.00822813421552415,0.0182807262424057,pLoF,2074554666,2,74554666,
TPM4,ENSG00000167460,0.0000377728800992072,0.000027261622222885,0.0554116416930438,0.028612689818553,pLoF,19016067552,19,16067552,
MIB1,ENSG00000101752,0.0000384908698515263,0.0000110526577196124,0.102695722549173,0.00511553835822983,pLoF,18021741508,18,21741508,
IKBKG,ENSG00000269335,0.000049307802070242,0.0000509801842539792,0.00012538030691911,0.0242368959364926,pLoF,23154542259,X,154542259,
NFE2,ENSG00000123405,0.0000497324251118592,0.00269444520154516,0.0000288322378070305,0.020809519779152,pLoF,12054292285,12,54292285,
MTREX,ENSG00000039123,0.0000560141369476685,0.0706196120365449,0.0000205256572027857,-0.00640847942860419,pLoF,5055307318,5,55307318,
SMAD6,ENSG00000137834,0.000056336489976494,0.0000176071826251123,0.0505959451604747,-0.00787627374074587,pLoF,15066703186,15,66703186,
EP400,ENSG00000183495,0.0000638498681937438,0.0000269247705706466,0.175436516883446,0.0219623415002219,pLoF,12131960501,12,131960501,
PACSIN2,ENSG00000100266,0.0000642460225547259,0.0000272945185169071,0.0381983959297764,0.0250928797363397,pLoF,22042871330,22,42871330,
ADGRF5,ENSG00000069122,0.000075269620491869,0.0000314528869440611,0.0166666487473488,0.0126569214485832,pLoF,6046853960,6,46853960,
ZKSCAN3,ENSG00000189298,0.0000765856397330067,0.0000335293042520446,0.000483140253233039,0.00866522642712222,pLoF,6028359473,6,28359473,
TMEM225B,ENSG00000244219,0.0000888137448974424,0.000227863990568844,0.0000892758961097417,-0.00295044733188564,pLoF,7099604346,7,99604346,
SESTD1,ENSG00000187231,0.0000986241908176311,0.0111065065464822,0.0000633675199417372,-0.010474312360658,pLoF,2179109786,2,179109786,
SNX9,ENSG00000130340,0.000130513856260617,0.0000546030041557177,0.0238247333813795,0.0170672533336383,pLoF,6157823326,6,157823326,
USP24,ENSG00000162402,0.000145721971168022,0.0000477556871993912,0.435579300364632,-0.0166726282000944,pLoF,1055061368,1,55061368,
RBM33,ENSG00000184863,0.000170761279432496,0.000115400058076087,0.00222140038106677,-0.0322017775025378,pLoF,7155644797,7,155644797,
VDAC3,ENSG00000078668,0.000185280776682895,0.000110265651287245,0.013018264995513,-0.0340445029844001,pLoF,8042394150,8,42394150,
METTL23,ENSG00000181038,0.000188456893384537,0.0018331143328959,0.00012500219331979,-0.00598382361007264,pLoF,17076721836,17,76721836,
EHBP1L1,ENSG00000173442,0.00019794025412867,0.0000876605982766954,0.0109548029706263,0.00459548793004396,pLoF,11065571274,11,65571274,
REEP3,ENSG00000165476,0.000198362868722213,0.00158771570516025,0.000153677779802242,0.011306057357251,pLoF,10063521478,10,63521478,
GEMIN2,ENSG00000092208,0.000199701220926607,0.000832240626009062,0.000363238646771791,-0.0173102023155872,pLoF,14039114243,14,39114243,
MICA,ENSG00000204520,0.000225046316574828,0.00104678332441299,0.000214929374005801,0.00284574861117582,pLoF,6031399933,6,31399933,
MRPL21,ENSG00000197345,0.00022673229012915,0.000213224432230263,0.0273806133290044,0.0113687923190233,pLoF,11068891257,11,68891257,
SPP1,ENSG00000118785,0.000234402032257663,0.000269792832985116,0.000271517186210879,-0.00345388321017924,pLoF,4087976841,4,87976841,
MFSD2B,ENSG00000205639,0.000258362033837223,0.000121010107696828,0.00966472015685838,0.0128463830780466,pLoF,2024010085,2,24010085,
AC005837.2,ENSG00000267168,0.000260285974510999,0.000190591118106043,0.0004033248569143,-0.0093132235106693,pLoF,17076729655,17,76729655,
CCDC93,ENSG00000125633,0.000266527663677629,0.00984839388280889,0.000172294989881583,0.00866024069634109,pLoF,2117920301,2,117920301,
NAPG,ENSG00000134265,0.000268326059713275,0.000161053119891452,0.00800445600122734,0.017621433947614,pLoF,18010526027,18,10526027,
GAS6,ENSG00000183087,0.000286102196360494,0.000307930134746948,0.00122005695290861,0.0110438887006979,pLoF,13113820762,13,113820762,
ZSCAN31,ENSG00000235109,0.000327461196741097,0.000152390053215212,0.008018101846897,-0.018738924137858,pLoF,6028326091,6,28326091,
SYNGAP1,ENSG00000197283,0.000392358229913348,0.0144436285387253,0.000227522291113669,-0.0104136236887744,pLoF,6033415062,6,33415062,
SAMD4B,ENSG00000179134,0.000393556031046072,0.000205353277455633,0.00107105554831599,0.0693256086865011,pLoF,19039356821,19,39356821,
ADAM15,ENSG00000143537,0.000410065587189701,0.0391132661074486,0.000236819606842631,0.00306944065369857,pLoF,1155046329,1,155046329,
RORC,ENSG00000143365,0.000428054278936774,0.000634222115614147,0.000455236749146604,-0.00268645047925992,pLoF,1151801071,1,151801071,
CRLF3,ENSG00000176390,0.000440208795066344,0.000720815705946842,0.00147953454674754,-0.0106054741654735,pLoF,17030784119,17,30784119,
ECE1,ENSG00000117298,0.000456241107690492,0.0001946424146263,0.048447038430141,-0.0167561424525084,pLoF,1021219844,1,21219844,
RGS8,ENSG00000135824,0.000473386044330337,0.009736265089624,0.000309408356942265,-0.0278655450581168,pLoF,1182646663,1,182646663,
WDFY3,ENSG00000163625,0.000486957472672134,0.00033526164060782,0.0226012359746797,0.0122412698880974,pLoF,4084672737,4,84672737,
GPSM1,ENSG00000160360,0.000503411729044445,0.000303158264616799,0.0112207887719959,-0.0080319776212767,pLoF,9136327665,9,136327665,
ARID2,ENSG00000189079,0.000507315791737795,0.000285891496462964,0.00368447669048932,0.0408539020554203,pLoF,12045729751,12,45729751,
