Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
RDH14,ENSG00000240857,0.00000194195887714965,0.001614831994321,9.29460924448122e-7,0.0371258937835195,synonymous,2018555045,2,18555045,
NVL,ENSG00000143748,0.0000108331131356554,0.0000220589052568609,0.0000196495185619261,0.0128824197523101,synonymous,1224227554,1,224227554,
TCTE3,ENSG00000184786,0.0000311792071794326,0.0587776394466358,0.0000120200024926742,0.0222950906141051,synonymous,6169740159,6,169740159,
FAM184A,ENSG00000111879,0.0000596341703810177,0.000034862517160561,0.0026232768598744,0.0401607571154689,synonymous,6118960054,6,118960054,
SUGP1,ENSG00000105705,0.000101094462343743,0.0034515004609772,0.0000717066582929249,0.00959495860760437,synonymous,19019271034,19,19271034,
AC135068.1,ENSG00000182974,0.000230201314632139,0.000248214918674106,0.00024669077755668,0.0590790314942902,synonymous,15021638240,15,21638240,
BTG4,ENSG00000137707,0.000283377313385125,0.000456194108726438,0.00117708568965014,0.0534278391364238,synonymous,11111494798,11,111494798,
RNF39,ENSG00000204618,0.00033657632406825,0.00029594185836701,0.00878258236497409,0.0129300270061342,synonymous,6030067330,6,30067330,
AC244197.3,ENSG00000241489,0.000369734236995267,0.000733720761414203,0.000550312327590285,0.0119825975090497,synonymous,23149482632,X,149482632,
PTPN22,ENSG00000134242,0.000371716442987724,0.0437716651535942,0.000190568727737928,0.0112465929379539,synonymous,1113811558,1,113811558,
IDS,ENSG00000010404,0.000389968444467148,0.00103423019170501,0.000534149041363619,0.0109640658249926,synonymous,23149482632,X,149482632,
MPP3,ENSG00000161647,0.000407309525979005,0.00410745245610589,0.000263097203772933,-0.00781174023067773,synonymous,17043801633,17,43801633,
SUCLG2,ENSG00000172340,0.000442119081872971,0.00774654970623145,0.000296159437820576,0.0206789437435041,synonymous,3067360529,3,67360529,
HS3ST5,ENSG00000249853,0.000551709130105937,0.0108383690076317,0.000406212871808531,-0.0102478129248092,synonymous,6114057231,6,114057231,
SLAMF6,ENSG00000162739,0.000583160259000293,0.00208562112876753,0.000422908638615827,0.0154295222713189,synonymous,1160486631,1,160486631,
STRN,ENSG00000115808,0.000691095594256619,0.00107603394288547,0.000967551309817738,0.0116846285665253,synonymous,2036849355,2,36849355,
MAP6D1,ENSG00000180834,0.000728223198842914,0.000946133235646629,0.00111246044540458,0.0195849069994854,synonymous,3183817273,3,183817273,
ABCG2,ENSG00000118777,0.000736597842887154,0.0105794123804502,0.000552444740855806,0.0205821661632605,synonymous,4088092154,4,88092154,
OR4C45,ENSG00000260811,0.000750070361899779,0.397083546379531,0.000358589646394569,0.00561987038959193,synonymous,11050032847,11,50032847,
FAM174B,ENSG00000185442,0.00078371814501943,0.855835074950782,0.000368010600879987,0.000770827252361727,synonymous,15092619364,15,92619364,
KRTAP23-1,ENSG00000186980,0.000846997657595661,0.0103188466615382,0.000507267515169163,0.0507607406276467,synonymous,21030348249,21,30348249,
CKLF-CMTM1,ENSG00000254788,0.000866539241107911,0.0238919153878518,0.000513675465401375,0.0219868152654213,synonymous,16066547822,16,66547822,
PMF1-BGLAP,ENSG00000260238,0.000930179735395775,0.00141093253269009,0.00151293003290331,0.0364848576415869,synonymous,1156208017,1,156208017,
TMC8,ENSG00000167895,0.000955111809496145,0.0183629469893334,0.000665139438352003,0.00625308470633174,synonymous,17078125771,17,78125771,
TRPC7,ENSG00000069018,0.00096403431391745,0.000909377729355176,0.00354271748243695,-0.0126138416767699,synonymous,5136213344,5,136213344,
DHRS1,ENSG00000157379,0.000967478847990866,0.00216066044224739,0.00166375421882647,0.0301743223275377,synonymous,14024290748,14,24290748,
SLC45A2,ENSG00000164175,0.0010150634381112,0.00374363687437607,0.00118150735610745,0.0197696848540176,synonymous,5033944563,5,33944563,
NLRP4,ENSG00000160505,0.00106648994542635,0.0247365770227528,0.000513089777477438,0.00484703123395343,synonymous,19055852036,19,55852036,
ZNF708,ENSG00000182141,0.00106684614210761,0.00408739846158213,0.0016042806366583,0.031031726557094,synonymous,19021293183,19,21293183,
C1QTNF6,ENSG00000133466,0.0011051733214299,0.00586677419655524,0.000634842355269227,0.00761804171480265,synonymous,22037182083,22,37182083,
AP2A1,ENSG00000196961,0.0012096863091583,0.000568821342608716,0.0586938391305574,0.00966421553622467,synonymous,19049762138,19,49762138,
CST9L,ENSG00000101435,0.00121978090264918,0.347754702044481,0.00076935362826247,0.0151732226468338,synonymous,20023564915,20,23564915,
SLC18B1,ENSG00000146409,0.00125382527361662,0.000733442411554597,0.0190230585494811,0.0286196527884988,synonymous,6132770217,6,132770217,
TEX55,ENSG00000163424,0.00126536766254282,0.271954238124203,0.000684864200822255,0.0107051504915151,synonymous,3119146137,3,119146137,
SPOCK3,ENSG00000196104,0.00131789549890449,0.00107608121107683,0.0251578251542296,-0.0226689477279256,synonymous,4166734876,4,166734876,
H2AX,ENSG00000188486,0.00135412003449742,0.0195745531631333,0.00135456295969227,-0.0111985402784602,synonymous,11119089033,11,119089033,
CIP2A,ENSG00000163507,0.00137131426721249,0.0179824352629874,0.000762797647227087,0.0114510663996605,synonymous,3108551133,3,108551133,
CCDC136,ENSG00000128596,0.00139346022032061,0.0120668021150423,0.000956253041475508,0.00760188496057687,synonymous,7128791422,7,128791422,
ICA1,ENSG00000003147,0.00141999979907059,0.377457338928138,0.00087213721377799,-0.00453963057423782,synonymous,7008113930,7,8113930,
GPM6B,ENSG00000046653,0.00142228994169002,0.0011033517318022,0.00699338371626901,0.0239475354812123,synonymous,23013767076,X,13767076,
HSD17B3,ENSG00000130948,0.00143027302811682,0.0529662650448971,0.00125589193796138,-0.00672674793523598,synonymous,9096235427,9,96235427,
AC073896.1,ENSG00000144785,0.00145920321875437,0.00159668088233733,0.0016919179125503,-0.0153170245126066,synonymous,12056282364,12,56282364,
CNPY2,ENSG00000257727,0.00154596650467076,0.0016426322603319,0.00166928618827855,-0.0156966796967338,synonymous,12056310487,12,56310487,
RTEL1,ENSG00000258366,0.00156364743956183,0.0989928531804677,0.00075639428820784,-0.00275392781551704,synonymous,20063653314,20,63653314,
PYDC1,ENSG00000169900,0.00159965191716671,0.0017537999306485,0.00238118670808918,0.0996708227811412,synonymous,16031214619,16,31214619,
RTEL1-TNFRSF6B,ENSG00000026036,0.00160712776998162,0.495124744272148,0.000909389691785112,-0.00163115967339899,synonymous,20063659363,20,63659363,
TMEM184A,ENSG00000164855,0.00166709852726321,0.00108104806122356,0.0553451000301719,-0.00962576629759672,synonymous,7001537297,7,1537297,
GPNMB,ENSG00000136235,0.00173142735635567,0.00125679495039011,0.00262337437497639,0.00462394059874892,synonymous,7023246826,7,23246826,
PLAC8,ENSG00000145287,0.00175442049449648,0.0265665820686056,0.00129352737958777,0.0379278469998039,synonymous,4083094692,4,83094692,
RAB3D,ENSG00000105514,0.00179185923300673,0.00149020033152414,0.00676532326774715,0.01206700962996,synonymous,19011325356,19,11325356,
DMBX1,ENSG00000197587,0.00182260487451047,0.0013692762427816,0.00346315907058192,0.0100191515210564,synonymous,1046506900,1,46506900,
PSG9,ENSG00000183668,0.00186215442277227,0.00108786319477172,0.0687974039597599,0.00829791280359826,synonymous,19043257290,19,43257290,
SCN8A,ENSG00000196876,0.00198736250844678,0.00108882486047357,0.0264749070647036,0.0116860157337706,synonymous,12051662736,12,51662736,
TSSK1B,ENSG00000212122,0.00201506028560594,0.0809816495826327,0.00101962999143468,0.00979914488661383,synonymous,5113433629,5,113433629,
IGF2BP3,ENSG00000136231,0.00202906988711882,0.00482619281410301,0.00176349383689389,0.0109727160982784,synonymous,7023307834,7,23307834,
MT2A,ENSG00000125148,0.00205171717126118,0.0026361079727204,0.00233059840217198,0.111561626957132,synonymous,16056608550,16,56608550,
TRIM44,ENSG00000166326,0.00209087943672803,0.0282718206341963,0.00119623043996242,0.0225080853345733,synonymous,11035662943,11,35662943,
STIL,ENSG00000123473,0.00217285994006466,0.00286418327075166,0.00166824390897224,0.00749075519804094,synonymous,1047251061,1,47251061,
TUBB3,ENSG00000258947,0.00221333119353317,0.00190343185919706,0.00781816589709039,-0.0110413210669981,synonymous,16089919212,16,89919212,
SBSN,ENSG00000189001,0.00222280282218545,0.00102034407319351,0.408006523357462,0.0199721410552004,synonymous,19035523433,19,35523433,
IDNK,ENSG00000148057,0.00226607939953816,0.157532395982643,0.0013732759482552,0.0096514565828877,synonymous,9083623097,9,83623097,
TST,ENSG00000128311,0.00232088171801803,0.00367657173523539,0.00211506964732466,0.0164352157609943,synonymous,22037010911,22,37010911,
RBM48,ENSG00000127993,0.0024768791944596,0.00133011974053432,0.584596919786476,-0.0380668586972452,synonymous,7092528196,7,92528196,
PATL2,ENSG00000229474,0.00250008390466705,0.0105456883366023,0.00231344875374639,0.016547163760846,synonymous,15044663274,15,44663274,
OSCAR,ENSG00000170909,0.00252100791403087,0.0229438321099233,0.00137665499593309,0.0137171295063195,synonymous,19054095061,19,54095061,
PBXIP1,ENSG00000163346,0.00258370530673435,0.00231782003364911,0.00476342577312971,-0.0131614754703168,synonymous,1154944976,1,154944976,
HHLA2,ENSG00000114455,0.00263081422087241,0.00470201589637587,0.00264425824921988,-0.0155456141290073,synonymous,3108328255,3,108328255,
NEIL3,ENSG00000109674,0.00269463532796388,0.00175257207221957,0.0164624422929303,0.0139261624315889,synonymous,4177309839,4,177309839,
CAV2,ENSG00000105971,0.00271725161830194,0.0423278763145645,0.00177512136623426,0.0307297309858821,synonymous,7116499697,7,116499697,
KRTAP1-3,ENSG00000221880,0.00286823539518899,0.538381899641169,0.00184998750470688,0.00532800429273914,synonymous,17041029574,17,41029574,
MAGEA4,ENSG00000147381,0.00291112656236292,0.00229322394877673,0.00687794019057519,0.00964026135216251,synonymous,23151918886,X,151918886,
KRT6A,ENSG00000205420,0.00292122743804446,0.851721237723921,0.00164618061948207,0.000628879510174829,synonymous,12052487621,12,52487621,
ICAM4,ENSG00000105371,0.0029319851376054,0.0215200222888892,0.00259387680076739,0.0111890199728143,synonymous,19010283394,19,10283394,
DEFB105A,ENSG00000186562,0.00295901783304886,0.00393345896713371,0.00280379407781184,0.0782639362374172,synonymous,8007823274,8,7823274,
SMAD2,ENSG00000175387,0.00297288282638575,0.55917288697906,0.00143542466386093,0.00635793183082996,synonymous,18047841732,18,47841732,
BOLA3,ENSG00000163170,0.00298280455921174,0.00264506834509071,0.00662393242499004,0.0399103862972046,synonymous,2074135484,2,74135484,
ERICH4,ENSG00000204978,0.00299567098205977,0.00219932693294045,0.0676839141873842,0.0257446942283307,synonymous,19041438161,19,41438161,
C12orf56,ENSG00000185306,0.00300211896451708,0.00236543353051166,0.00619021184934065,0.0107125500252031,synonymous,12064267143,12,64267143,
ASB1,ENSG00000065802,0.00309224970509303,0.0673742682928884,0.00181162242102206,0.00616003161133451,synonymous,2238426981,2,238426981,
MPLKIP,ENSG00000168303,0.00310637014324633,0.00240518077768526,0.0168187899222898,0.0225991418365429,synonymous,7040133000,7,40133000,
SSX4B,ENSG00000269791,0.00317764897022077,,,,synonymous,23048402719,X,48402719,
PYDC2,ENSG00000253548,0.00318754942300947,0.00353863525621145,0.00302883781014396,0.047177740112073,synonymous,3191461108,3,191461108,
LRP2BP,ENSG00000109771,0.0031930879543054,0.0203924376395188,0.00174424667175288,0.0140406088941794,synonymous,4185361850,4,185361850,
ACY3,ENSG00000132744,0.00325955792639265,0.0101924102485043,0.00248708426535293,-0.00870955083367254,synonymous,11067639346,11,67639346,
TNFSF10,ENSG00000121858,0.0033652477349656,0.00774738731234681,0.00201154222865707,0.00738658901582034,synonymous,3172506375,3,172506375,
SH3GL1,ENSG00000141985,0.00339179621354957,0.00169375960675899,0.0346135177372662,0.00749559589177585,synonymous,19004357153,19,4357153,
PPFIBP1,ENSG00000110841,0.00339294650258781,0.805546192294385,0.00163924997437426,-0.00093656151432593,synonymous,12027592572,12,27592572,
GALNT18,ENSG00000110328,0.00340446527220239,0.112630199931603,0.00225669124503036,-0.00594529459345089,synonymous,11011271059,11,11271059,
SLC22A24,ENSG00000197658,0.00350609448300243,0.00310950086598338,0.00521569125524668,0.0110081029175884,synonymous,11063079904,11,63079904,
SMC4,ENSG00000113810,0.00355545574434579,0.0625848140281035,0.00261052485486046,0.00547959705494155,synonymous,3160400694,3,160400694,
CADPS2,ENSG00000081803,0.00355778657446881,0.00199202709887347,0.66610356848301,-0.0166293453780809,synonymous,7122320070,7,122320070,
MGLL,ENSG00000074416,0.00368320503637531,0.00930554114640159,0.00413074280584191,0.0241806287751999,synonymous,3127692147,3,127692147,
LAMP2,ENSG00000005893,0.00371238912251703,0.00233526352650526,0.0507493591524479,0.0236221816776713,synonymous,23120428361,X,120428361,
FAM229A,ENSG00000225828,0.00373415711607428,0.00181490144610852,0.0802505878925206,0.0307739869613679,synonymous,1032361388,1,32361388,
ZFP64,ENSG00000020256,0.00375675075459203,0.00718321896977303,0.00310206000432278,0.00886819514920845,synonymous,20052151165,20,52151165,
F9,ENSG00000101981,0.00377024845354457,0.00360584233571015,0.00577152354878829,0.0130075679431633,synonymous,23139530726,X,139530726,
SIK3,ENSG00000160584,0.00379510542678618,0.001859011479034,0.0234329708659582,-0.00809674726827413,synonymous,11116846293,11,116846293,
NUFIP1,ENSG00000083635,0.00381949346846711,0.0454923068785421,0.00278739098440783,0.00655002399113451,synonymous,13044941211,13,44941211,
CDHR1,ENSG00000148600,0.00397708885058967,0.00194420035586484,0.107811664933873,0.00773722726638376,synonymous,10084194682,10,84194682,
OR4M1,ENSG00000176299,0.00398423870287501,0.00309407681665663,0.0131389476027259,0.0169284550493524,synonymous,14019780286,14,19780286,
HMGB4,ENSG00000176256,0.00399222559499335,0.697697730578704,0.00202310870354838,0.00571703666276508,synonymous,1033864112,1,33864112,
C10orf88,ENSG00000119965,0.00406232149019181,0.0416460691731917,0.00253741830493937,0.0138606271946713,synonymous,10122932367,10,122932367,
OTOA,ENSG00000155719,0.00407247365777885,0.0672723857896446,0.00264466913762562,0.00766885676301526,synonymous,16021678479,16,21678479,
MFSD3,ENSG00000167700,0.00417789398648805,0.221541798785646,0.00316846380468605,0.00386710088389015,synonymous,8144504213,8,144504213,
PGM3,ENSG00000013375,0.00418728026703163,0.00430176504657642,0.00911257120180486,0.0257049950036741,synonymous,6083164585,6,83164585,
TAC4,ENSG00000176358,0.00418834188260664,0.0066565213557761,0.00391493183940472,0.0349752931555265,synonymous,17049838547,17,49838547,
CNOT6,ENSG00000113300,0.00423439947376159,0.00477346091949038,0.00964551124788993,0.0218443143610001,synonymous,5180529266,5,180529266,
NUP205,ENSG00000155561,0.00424543935554478,0.130621362829711,0.00225196823877027,-0.00297304914776205,synonymous,7135557890,7,135557890,
SLC16A3,ENSG00000141526,0.00424963308208826,0.00293019066745026,0.0122278340450229,-0.00862330370759238,synonymous,17082235948,17,82235948,
MORN3,ENSG00000139714,0.00425141878270308,0.00439496209752799,0.00769720973904597,0.0266224505962333,synonymous,12121652662,12,121652662,
CPN2,ENSG00000178772,0.00425898031233718,0.00899876534167088,0.0028714612509767,-0.00673656932705445,synonymous,3194340917,3,194340917,
EPRS1,ENSG00000136628,0.00428192665808635,0.510317281519995,0.00194670076340253,0.00514387501014501,synonymous,1219968747,1,219968747,
TCN1,ENSG00000134827,0.00430126727115432,0.00228553797215714,0.0600658649094292,-0.016653283602303,synonymous,11059852914,11,59852914,
ABCC9,ENSG00000069431,0.00431144585050747,0.00934957188298324,0.0033954965121672,0.00708683518112865,synonymous,12021800939,12,21800939,
ELMO1,ENSG00000155849,0.00441521681881873,0.00337756908344633,0.0124391474158841,-0.0275512767712195,synonymous,7036855444,7,36855444,
DMP1,ENSG00000152592,0.00443273492124008,0.00341724648523212,0.0179652455352867,-0.0107597166208377,synonymous,4087656484,4,87656484,
LRCH1,ENSG00000136141,0.00445305335612245,0.00227030721645816,0.319786800298759,0.0150885358942693,synonymous,13046553330,13,46553330,
OR6Y1,ENSG00000197532,0.00446094114863438,0.0334995463690104,0.00276498256062685,0.0222422789906422,synonymous,1158547048,1,158547048,
MYO1G,ENSG00000136286,0.00447130184897959,0.303327609307974,0.0024295742656899,0.00468047760075193,synonymous,7044962606,7,44962606,
FBXW4,ENSG00000107829,0.00448204788284967,0.00729618387962194,0.00394406449571538,0.0105446646540345,synonymous,10101608794,10,101608794,
KRT222,ENSG00000213424,0.00449251696399156,0.0782602622105468,0.0021723553940558,0.0203494222577171,synonymous,17040656356,17,40656356,
AC073508.2,ENSG00000264058,0.00449251696399156,0.0782602622105468,0.0021723553940558,0.0203494222577171,synonymous,17040628728,17,40628728,
OR5W2,ENSG00000187612,0.00459622131182846,0.0946791285731692,0.0022686096109783,0.0205420115910761,synonymous,11055913631,11,55913631,
TBC1D7,ENSG00000145979,0.00470652827163665,0.0109280291498173,0.00385461448281343,0.0162966748648591,synonymous,6013272624,6,13272624,
C10orf82,ENSG00000165863,0.00478160279142803,0.00313475897129012,0.0349150180672332,0.0095533154190234,synonymous,10116663797,10,116663797,
DPYSL2,ENSG00000092964,0.00480159774555722,0.00444967307979194,0.00685274648917045,0.00845271379762797,synonymous,8026514242,8,26514242,
HIGD1A,ENSG00000181061,0.00485564925183313,0.0499719300389968,0.00295017892560867,0.045546859028084,synonymous,3042785254,3,42785254,
KLK4,ENSG00000167749,0.00486456384023015,0.00417533853303631,0.0420727314413423,-0.00942890565550276,synonymous,19050906836,19,50906836,
PRDM9,ENSG00000164256,0.00488867524753878,0.00270744720840765,0.105154749167207,-0.0124867130670628,synonymous,5023508931,5,23508931,
C1orf56,ENSG00000143443,0.00489009510482397,0.0728197622073565,0.00298972747712756,0.0185014722065845,synonymous,1151042898,1,151042898,
WNT5B,ENSG00000111186,0.00490185252261799,0.433498076169086,0.00318516697977966,0.00386594361021333,synonymous,12001630043,12,1630043,
FAM149B1,ENSG00000138286,0.00499819650118605,0.00312926120496215,0.0204704256606394,0.0141905432494066,synonymous,10073163657,10,73163657,
ZSWIM3,ENSG00000132801,0.0050249092292185,0.0518963714699233,0.00402010421807031,-0.00647737046408745,synonymous,20045853855,20,45853855,
CLCC1,ENSG00000121940,0.00504126966782781,0.00249808660863104,0.485241759032111,0.0109890145821135,synonymous,1108929633,1,108929633,
RNF224,ENSG00000233198,0.00504293811213874,0.00303381270916991,0.041696144546725,0.0108991870334916,synonymous,9137225087,9,137225087,
RXRB,ENSG00000204231,0.00515848411640574,0.00420767738216821,0.0235951354508103,0.0121775150167795,synonymous,6033188593,6,33188593,
H2AC16,ENSG00000276903,0.00518678490788449,0.129146759129183,0.00346797963925605,0.00432638618380241,synonymous,6027865244,6,27865244,
KRT20,ENSG00000171431,0.0052843502958535,0.00520199518037767,0.0170373447709891,0.0261475980848833,synonymous,17040876338,17,40876338,
UGP2,ENSG00000169764,0.00532148299370816,0.0374060393364284,0.00296517012738784,0.0152192221429442,synonymous,2063842079,2,63842079,
GABRB1,ENSG00000163288,0.00538197187259504,0.0267097397352243,0.00395646144130413,-0.00796574138192275,synonymous,4047031597,4,47031597,
C1GALT1,ENSG00000106392,0.00539173780402447,0.0506228714889838,0.00354179062127224,0.013874044432265,synonymous,7007182720,7,7182720,
APBA3,ENSG00000011132,0.00547579907776152,0.00614152237158905,0.00643322818694603,-0.00549528791840935,synonymous,19003745960,19,3745960,
C3,ENSG00000125730,0.00565888435774142,0.00285786978989067,0.133314066443725,0.00566646716894207,synonymous,19006677781,19,6677781,
