	Gene Name	Gene Id	P‑Value SKATO	P‑Value Burden	P‑Value SKAT	BETA Burden	Burden Set	Chrom : Position	Chrom	Position
0	ZFAT	ENSG00000066827	2.0436037890440798e-18	6.10215685347843e-17	7.43401185159895e-12	0.0017624460367022	missense|LC	8134478341.0	8	134478341.0
1	STC2	ENSG00000113739	1.10488819599121e-16	2.87549951627497e-08	2.84168561820117e-17	0.0025406378207767	missense|LC	5173317717.0	5	173317717.0
4	NPR2	ENSG00000159899	7.69187329359321e-13	8.7701514939198e-09	5.84327183306144e-08	-0.0024211383265648	missense|LC	9035792317.0	9	35792317.0
5	FGFR3	ENSG00000068078	1.2618062499529798e-11	4.49675293827167e-12	3.33962528093521e-08	-0.001838191824413	missense|LC	4001793905.0	4	1793905.0
7	NPR3	ENSG00000113389	2.64546946571187e-08	3.02377427541245e-08	4.8642634833e-06	0.0018888492790048	missense|LC	5032710545.0	5	32710545.0
11	NOS3	ENSG00000164867	9.16396519778928e-08	1.09182431762278e-07	2.71942670204e-05	-0.0020990020573806	missense|LC	7150993717.0	7	150993717.0
15	CPT1A	ENSG00000110090	5.04514207966267e-07	7.6207837962361e-07	2.4079027731e-06	0.0013701991401665	missense|LC	11068750116.0	11	68750116.0
16	ADAMTS6	ENSG00000049192	6.01526667032282e-07	1.82584534380581e-07	0.0025378482319805	-0.0014296417889967	missense|LC	5065151775.0	5	65151775.0
18	IHH	ENSG00000163501	7.5311086655816e-07	2.32564008273428e-07	0.000698502293241	-0.0024686583375085	missense|LC	2219055118.0	2	219055118.0
19403	OPRPN	ENSG00000171199	5.06860234551543e-55	2.06501012292154e-23	7.240860493593479e-56	-0.110830145705254	pLoF	4070399222.0	4	70399222.0
19404	ACAN	ENSG00000157766	6.52312419359282e-27	9.31874884798974e-28	7.4729537827e-06	-0.0286340556043652	pLoF	15088836159.0	15	88836159.0
19405	BTK	ENSG00000010671	1.8271673911552801e-25	9.99834412956243e-19	5.53987126674883e-26	-0.0982320306470772	pLoF	23101345601.0	X	101345601.0
19407	NPR2	ENSG00000159899	5.29471596366484e-12	9.129040536689469e-12	5.53269865033457e-07	-0.0202704475369171	pLoF	9035792317.0	9	35792317.0
19409	SHOX	ENSG00000185960	9.26107005894382e-11	6.06789428894926e-10	1.4125482717765302e-09	-0.0269944162434245	pLoF	23000630802.0	X	630802.0
19411	SCMH1	ENSG00000010803	4.75254803195771e-10	6.35828975026342e-08	8.74237002790323e-07	0.0163734792336359	pLoF	1041028094.0	1	41028094.0
19412	IRS1	ENSG00000169047	1.6259958934838902e-09	3.6298419412083404e-09	0.0011782783113276	-0.0128754209494104	pLoF	2226794943.0	2	226794943.0
19413	GHRH	ENSG00000118702	6.26506155843032e-08	5.70961128376624e-08	5.0292005822e-06	-0.0135075417574645	pLoF	20037251176.0	20	37251176.0
19415	DTL	ENSG00000143476	2.06186021589616e-07	4.81489949799574e-07	4.2613659921e-06	-0.0094312835628997	pLoF	1212035316.0	1	212035316.0
19418	IGF1R	ENSG00000140443	7.75397139163303e-07	7.60091643847716e-07	0.0001050080367591	-0.0147119778705891	pLoF	15098649579.0	15	98649579.0
19421	NF1	ENSG00000196712	1.1991783037e-06	4.45316736596979e-07	0.0001246476927884	-0.0136586270795149	pLoF	17031095231.0	17	31095231.0
37763	CROCC	ENSG00000058453	2.34642332230806e-08	3.35203331758294e-09	0.0027131699921511	-0.0008331333288371	synonymous	1016921942.0	1	16921942.0
