Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
CHEK2,ENSG00000183765,0.00000160002651261593,5.5738057325172e-7,0.000799318836665064,0.0174799862068947,missense|LC,22028687869,22,28687869,
UBE2A,ENSG00000077721,0.0000562193551065793,0.00127216863954183,0.000046145043266721,0.123504555465477,missense|LC,23119574612,X,119574612,
SEPHS2,ENSG00000179918,0.000086056217992736,0.0000567910360766977,0.0237293029196082,0.0153813045114185,missense|LC,16030444288,16,30444288,
TNPO3,ENSG00000064419,0.000101541437111941,0.129751432425839,0.0000370656888822873,0.00949121920597851,missense|LC,7128957165,7,128957165,
TAS2R31,ENSG00000256436,0.000104207656668076,0.0662773759749583,0.000073018827708049,0.00644727167443269,missense|LC,12011030270,12,11030270,
RERE,ENSG00000142599,0.000104992872932308,0.186473692230043,0.0000441050481045924,0.0023361014749612,missense|LC,1008355033,1,8355033,
SAMHD1,ENSG00000101347,0.000181622678015247,0.000528720123425974,0.000380383302928333,0.0165157777322586,missense|LC,20036887393,20,36887393,
OR10K2,ENSG00000180708,0.000224878382787286,0.000676223253594399,0.00111820831787024,0.0207416692028984,missense|LC,1158419864,1,158419864,
ADH1B,ENSG00000196616,0.00022712004318548,0.000128181357610613,0.160200860244622,0.00900861082465182,missense|LC,4099307755,4,99307755,
CCDC167,ENSG00000198937,0.000337492576094722,0.000283972496155083,0.000656389227586596,0.0327967911980173,missense|LC,6037478369,6,37478369,
DPF1,ENSG00000011332,0.000417291644378426,0.00281942450681849,0.000339990327229422,-0.0150155804603411,missense|LC,19038211963,19,38211963,
CRYGS,ENSG00000213139,0.00042881202861933,0.260513660077002,0.000205227695792454,0.00818747646969355,missense|LC,3186538595,3,186538595,
LSM8,ENSG00000128534,0.000431798306523956,0.0328334184509581,0.000240942759299534,0.0339862223882764,missense|LC,7118184103,7,118184103,
