GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	728532	749137	6	2	361193	0.19687	0.42196	AL669831.1
ENSG00000269308	1	808043	829983	31	16	361193	-0.26875	0.60594	AL645608.2
ENSG00000187634	1	850260	889955	146	39	361193	2.5972	0.0046991	SAMD11
ENSG00000268179	1	851264	876445	101	27	361193	2.1855	0.014425	AL645608.1
ENSG00000188976	1	869584	904689	123	35	361194	3.3611	0.00038812	NOC2L
ENSG00000187961	1	885967	911095	109	37	361194	3.7042	0.00010603	KLHL17
ENSG00000187583	1	891877	921245	134	42	361194	3.5808	0.0001713	PLEKHN1
ENSG00000187642	1	900579	927497	106	36	361194	3.0695	0.0010722	C1orf170
ENSG00000188290	1	924342	945552	73	18	361194	2.1175	0.017109	HES4
ENSG00000187608	1	938803	959920	80	18	361194	1.2806	0.10017	ISG15
ENSG00000188157	1	945503	1001496	231	45	361194	0.45031	0.32624	AGRN
ENSG00000237330	1	996346	1019687	59	23	361194	0.86661	0.19308	RNF223
ENSG00000131591	1	1007198	1061741	248	22	361194	0.66152	0.25414	C1orf159
ENSG00000162571	1	1099264	1143315	249	30	361194	0.4837	0.3143	TTLL10
ENSG00000186891	1	1128888	1152071	121	19	361194	-0.045892	0.5183	TNFRSF18
ENSG00000186827	1	1136706	1159518	130	14	361194	0.13295	0.44711	TNFRSF4
ENSG00000078808	1	1142288	1177411	223	15	361194	0.088711	0.46466	SDF4
ENSG00000176022	1	1157629	1180421	154	10	361194	0.16031	0.43632	B3GALT6
ENSG00000184163	1	1167826	1192102	123	17	361194	-0.60468	0.7273	FAM132A
ENSG00000160087	1	1179289	1219265	206	27	361194	0.058701	0.47659	UBE2J2
ENSG00000162572	1	1205816	1237409	175	30	361194	0.95414	0.17001	SCNN1D
ENSG00000131584	1	1217756	1254989	145	36	361194	1.4515	0.073316	ACAP3
ENSG00000169972	1	1233947	1257057	57	22	361194	1.235	0.10842	PUSL1
ENSG00000127054	1	1236965	1270071	97	35	361194	1.3038	0.096157	CPSF3L
ENSG00000224051	1	1250136	1274277	77	29	361194	0.52799	0.29875	GLTPD1
ENSG00000169962	1	1256694	1280686	83	25	361194	0.73603	0.23086	TAS1R3
ENSG00000107404	1	1260656	1294730	108	26	361194	0.47258	0.31826	DVL1
ENSG00000162576	1	1278069	1307157	122	12	361194	1.723	0.042447	MXRA8
ENSG00000175756	1	1299110	1320875	112	9	361193	1.8295	0.033664	AURKAIP1
ENSG00000221978	1	1311091	1344708	89	17	361194	1.8028	0.035706	CCNL2
ENSG00000224870	1	1324902	1347426	77	14	361194	1.2832	0.099717	RP4-758J18.2
ENSG00000242485	1	1327288	1352693	96	12	361194	0.97835	0.16395	MRPL20
ENSG00000235098	1	1343800	1367149	122	13	361194	0.553	0.29013	ANKRD65
ENSG00000205116	1	1351508	1373167	101	15	361194	1.1069	0.13416	TMEM88B
ENSG00000179403	1	1360241	1388262	112	19	361193	2.3545	0.0092726	VWA1
ENSG00000215915	1	1375069	1415538	156	25	361193	1.8772	0.030247	ATAD3C
ENSG00000160072	1	1397143	1443228	182	19	361194	-0.24997	0.5987	ATAD3B
ENSG00000197785	1	1437531	1480067	173	19	361194	0.66399	0.25335	ATAD3A
ENSG00000205090	1	1460554	1485833	105	14	361194	1.0575	0.14514	TMEM240
ENSG00000160075	1	1467053	1520249	197	16	361193	0.93796	0.17413	SSU72
ENSG00000215014	1	1500355	1521373	87	8	361193	0.41526	0.33898	AL645728.1
ENSG00000228594	1	1523392	1545476	49	7	361187	1.2489	0.10585	C1orf233
ENSG00000197530	1	1540795	1575990	54	9	361192	1.358	0.087225	MIB2
ENSG00000189409	1	1557474	1580639	23	5	361190	2.0696	0.019244	MMP23B
ENSG00000248333	1	1560603	1600473	39	7	361190	2.5271	0.0057511	CDK11B
ENSG00000189339	1	1582939	1634167	84	14	361191	1.5932	0.055558	SLC35E2B
ENSG00000008128	1	1624169	1665766	79	12	361191	0.33312	0.36952	CDK11A
ENSG00000215790	1	1646277	1687431	107	15	361188	0.68395	0.247	SLC35E2
ENSG00000008130	1	1672671	1721896	126	26	361192	0.9282	0.17665	NADK
ENSG00000078369	1	1706729	1832495	244	43	361193	0.42326	0.33605	GNB1
ENSG00000169885	1	1836266	1858735	71	14	361194	-1.5134	0.93492	CALML6
ENSG00000178821	1	1839029	1860712	69	12	361194	-1.6442	0.94993	TMEM52
ENSG00000142609	1	1843396	1945276	421	39	361193	0.21156	0.41622	C1orf222
ENSG00000187730	1	1940780	1972192	90	24	361193	0.69045	0.24495	GABRD
ENSG00000067606	1	1971909	2126834	680	65	361194	0.39165	0.34766	PRKCZ
ENSG00000162585	1	2105903	2154159	178	46	361194	-0.27682	0.60904	C1orf86
ENSG00000269554	1	2111237	2133179	62	20	361194	0.084705	0.46625	AL590822.2
ENSG00000203301	1	2133360	2155620	97	32	361194	-0.50431	0.69298	AL590822.1
ENSG00000157933	1	2150134	2251558	420	94	361193	2.4907	0.006374	SKI
ENSG00000116151	1	2242692	2333146	488	77	361194	1.2604	0.10377	MORN1
ENSG00000269753	1	2248581	2269042	135	42	361194	1.6642	0.048037	AL589739.1
ENSG00000157916	1	2313267	2346883	136	44	361194	1.9236	0.027202	RER1
ENSG00000157911	1	2326236	2355236	140	42	361194	1.2253	0.11023	PEX10
ENSG00000149527	1	2347419	2446969	532	89	361194	1.1088	0.13375	PLCH2
ENSG00000157881	1	2429972	2468039	183	36	361194	-0.49803	0.69077	PANK4
ENSG00000197921	1	2450184	2471684	101	33	361194	0.29611	0.38357	HES5
ENSG00000157873	1	2477078	2506821	123	29	361194	0.55588	0.28915	TNFRSF14
ENSG00000157870	1	2507930	2532908	127	22	361194	-0.49587	0.69001	FAM213B
ENSG00000142606	1	2512078	2574481	289	25	361194	0.21081	0.41652	MMEL1
ENSG00000215912	1	2557415	2728286	557	29	361194	0.43867	0.33045	TTC34
ENSG00000169717	1	2928046	2949465	106	18	361194	3.5289	0.00020864	ACTRT2
ENSG00000142611	1	2975732	3365185	2008	221	361194	3.1622	0.00078297	PRDM16
ENSG00000130762	1	3360990	3407677	178	27	361193	-0.69023	0.75498	ARHGEF16
ENSG00000162591	1	3396484	3538059	658	100	361193	2.2378	0.012617	MEGF6
ENSG00000158109	1	3531566	3556691	96	19	361194	0.34443	0.36526	TPRG1L
ENSG00000116213	1	3537331	3579325	149	30	361194	1.1479	0.1255	WRAP73
ENSG00000078900	1	3559084	3662765	415	76	361193	1.7503	0.040037	TP73
ENSG00000162592	1	3658962	3698209	203	35	361194	-0.82019	0.79395	CCDC27
ENSG00000235169	1	3679352	3702546	146	20	361193	-1.1316	0.87111	SMIM1
ENSG00000130764	1	3686784	3723068	224	28	361194	-2.0098	0.97777	LRRC47
ENSG00000116198	1	3718645	3783778	353	25	361194	-2.1741	0.98515	CEP104
ENSG00000169598	1	3763845	3811993	297	35	361194	-2.6698	0.99621	DFFB
ENSG00000198912	1	3795689	3826857	160	23	361194	-1.396	0.91864	C1orf174
ENSG00000196581	1	4704792	4862594	977	130	361194	-0.11845	0.54715	AJAP1
ENSG00000131697	1	5912871	6062533	668	47	361194	-0.73786	0.7697	NPHP4
ENSG00000069424	1	6041526	6171253	538	75	361193	0.08454	0.46631	KCNAB2
ENSG00000268332	1	6090630	6111399	100	30	361194	0.073499	0.4707	AL035406.1
ENSG00000116254	1	6151853	6250183	466	55	361194	0.28664	0.3872	CHD5
ENSG00000116251	1	6231329	6279449	187	28	361194	-0.0094774	0.50378	RPL22
ENSG00000158286	1	6255535	6291359	140	25	361194	0.52604	0.29943	RNF207
ENSG00000116237	1	6271253	6306032	127	21	361194	0.53819	0.29522	ICMT
ENSG00000173673	1	6294252	6315638	52	17	361194	0.69491	0.24356	HES3
ENSG00000158292	1	6297406	6331035	84	17	361194	-0.30259	0.6189	GPR153
ENSG00000097021	1	6314329	6464451	750	38	361194	-0.11037	0.54394	ACOT7
ENSG00000069812	1	6462478	6494730	166	18	361194	0.27013	0.39353	HES2
ENSG00000187017	1	6474848	6531430	247	29	361194	0.34174	0.36627	ESPN
ENSG00000215788	1	6511211	6536255	98	24	361194	0.55044	0.29101	TNFRSF25
ENSG00000171680	1	6516152	6590121	284	47	361194	2.3499	0.0093891	PLEKHG5
ENSG00000162408	1	6571407	6624595	179	25	361194	3.1791	0.00073877	NOL9
ENSG00000173662	1	6605241	6649817	141	35	361194	3.8206	6.6573e-05	TAS1R1
ENSG00000204859	1	6630061	6659340	111	45	361194	5.9655	1.2193e-09	ZBTB48
ENSG00000162413	1	6640784	6684667	146	35	361194	6.2123	2.6114e-10	KLHL21
ENSG00000116273	1	6663745	6694093	88	22	361194	6.6343	1.6302e-11	PHF13
ENSG00000041988	1	6674926	6705646	106	26	361194	6.9059	2.4946e-12	THAP3
ENSG00000007923	1	6684228	6771984	285	36	361194	6.9607	1.6935e-12	DNAJC11
ENSG00000171735	1	6835384	7839766	3525	284	361194	0.98353	0.16267	CAMTA1
ENSG00000049245	1	7821329	7851492	115	28	361194	0.46748	0.32008	VAMP3
ENSG00000049246	1	7834380	7915237	367	38	361194	0.39612	0.34601	PER3
ENSG00000049247	1	7893143	7923572	166	36	361194	0.19088	0.42431	UTS2
ENSG00000049249	1	7969907	8010926	129	22	361194	-0.73431	0.76862	TNFRSF9
ENSG00000116288	1	8004351	8055565	132	27	361194	0.5541	0.28976	PARK7
ENSG00000116285	1	8054464	8096368	93	18	361194	0.10452	0.45838	ERRFI1
ENSG00000162426	1	8367886	8414227	149	39	361194	6.512	3.7082e-11	SLC45A1
ENSG00000142599	1	8402457	8887702	1029	74	361194	6.9457	1.8829e-12	RERE
ENSG00000074800	1	8911061	8949308	84	29	361194	2.5607	0.0052224	ENO1
ENSG00000131686	1	8995926	9045151	251	64	361193	1.5581	0.059603	CA6
ENSG00000197241	1	9053359	9096404	201	43	361194	0.82391	0.205	SLC2A7
ENSG00000142583	1	9085166	9158537	410	38	361194	-0.52887	0.70155	SLC2A5
ENSG00000180758	1	9150364	9199229	192	39	361194	-0.25014	0.59876	GPR157
ENSG00000049239	1	9284834	9341396	298	40	361194	3.5921	0.00016402	H6PD
ENSG00000171621	1	9342939	9439591	531	101	361194	4.7103	1.237e-06	SPSB1
ENSG00000171612	1	9589541	9655237	164	30	361194	-0.55117	0.70924	SLC25A33
ENSG00000188807	1	9638932	9684935	77	46	361194	-0.65818	0.74479	TMEM201
ENSG00000171608	1	9701790	9799172	384	59	361194	0.25392	0.39978	PIK3CD
ENSG00000179840	1	9702668	9724644	115	20	361194	-0.40927	0.65883	C1orf200
ENSG00000171603	1	9779084	9894584	348	43	361194	0.34594	0.3647	CLSTN1
ENSG00000178585	1	9898334	9980394	259	38	361194	0.69231	0.24437	CTNNBIP1
ENSG00000162441	1	9972173	10013465	122	31	361194	1.7206	0.042666	LZIC
ENSG00000173614	1	9993486	10055559	179	45	361194	1.9054	0.028363	NMNAT1
ENSG00000162444	1	10047264	10086078	127	22	361194	1.0037	0.15776	RBP7
ENSG00000130939	1	10082890	10251297	663	39	361194	1.6503	0.049445	UBE4B
ENSG00000054523	1	10260863	10451661	909	26	361194	4.5025	3.3586e-06	KIF1B
ENSG00000142657	1	10448649	10490201	177	28	361193	4.1906	1.3912e-05	PGD
ENSG00000175279	1	10480159	10522210	174	24	361193	2.0187	0.021762	APITD1
ENSG00000251503	1	10480159	10522210	174	24	361193	2.0187	0.021762	APITD1-CORT
ENSG00000241563	1	10499776	10521959	50	23	361194	1.669	0.047558	CORT
ENSG00000160049	1	10506579	10542583	92	29	361194	3.3287	0.00043632	DFFA
ENSG00000142655	1	10522345	10700815	522	75	361194	5.5734	1.2493e-08	PEX14
ENSG00000130940	1	10686661	10866707	622	106	361194	1.0346	0.15043	CASZ1
ENSG00000175262	1	10996528	11052094	252	24	361194	1.524	0.063754	C1orf127
ENSG00000120948	1	11062414	11095796	59	20	361194	1.635	0.051027	TARDBP
ENSG00000009724	1	11076580	11117290	92	21	361194	0.61129	0.2705	MASP2
ENSG00000116649	1	11104641	11130081	56	11	361194	0.4151	0.33903	SRM
ENSG00000171824	1	11116675	11169938	155	9	361194	0.82054	0.20595	EXOSC10
ENSG00000198793	1	11156592	11332564	450	18	361194	1.6655	0.047903	MTOR
ENSG00000171819	1	11239398	11266038	63	7	361194	1.0446	0.14811	ANGPTL7
ENSG00000120942	1	11323263	11366106	121	14	361194	2.0698	0.019234	UBIAD1
ENSG00000204624	1	11529223	11607641	271	28	361194	-0.063657	0.52538	PTCHD2
ENSG00000116661	1	11698424	11725842	93	31	361193	4.5725	2.4098e-06	FBXO2
ENSG00000132879	1	11704432	11733384	118	30	361193	4.7256	1.147e-06	FBXO44
ENSG00000116663	1	11714181	11744411	133	26	361193	4.3825	5.8651e-06	FBXO6
ENSG00000116670	1	11724537	11761707	151	32	361193	3.8271	6.4824e-05	MAD2L2
ENSG00000162490	1	11741786	11795914	193	48	361193	1.2071	0.11369	DRAXIN
ENSG00000177674	1	11786141	11824859	121	24	361192	-0.66558	0.74716	AGTRAP
ENSG00000215910	1	11811844	11859642	180	22	361193	1.2111	0.11293	C1orf167
ENSG00000177000	1	11835780	11876977	224	16	361194	1.5614	0.059215	MTHFR
ENSG00000011021	1	11856207	11913201	353	22	361194	1.7508	0.039991	CLCN6
ENSG00000175206	1	11895766	11918402	137	22	361194	0.714	0.23761	NPPA
ENSG00000120937	1	11907521	11928988	129	27	361194	0.47706	0.31666	NPPB
ENSG00000116685	1	11969648	11996485	120	24	361194	-1.6533	0.95087	KIAA2013
ENSG00000083444	1	11984262	12045595	231	28	361194	-1.1179	0.86819	PLOD1
ENSG00000116688	1	12030238	12083571	151	22	361194	-0.46768	0.67999	MFN2
ENSG00000116691	1	12069523	12102102	76	20	361194	0.62283	0.2667	MIIP
ENSG00000120949	1	12113434	12214264	303	52	361193	-0.24147	0.59541	TNFRSF8
ENSG00000028137	1	12217060	12279285	258	29	361194	-0.89823	0.81547	TNFRSF1B
ENSG00000048707	1	12280124	12582099	964	39	361194	2.0853	0.018523	VPS13D
ENSG00000162496	1	12617939	12687737	278	47	361194	0.28863	0.38643	DHRS3
ENSG00000204518	1	12694566	12737097	166	18	361194	-0.19722	0.57817	AADACL4
ENSG00000188984	1	12766118	12798726	60	15	361194	1.1829	0.11842	AADACL3
ENSG00000157330	1	12796163	12833847	78	12	361194	0.8602	0.19484	C1orf158
ENSG00000116726	1	12824984	12848049	35	8	361194	0.17539	0.43039	PRAMEF12
ENSG00000116721	1	12841546	12866777	90	17	361191	-2.5097	0.99396	PRAMEF1
ENSG00000204513	1	12874468	12901264	28	4	361192	0.24945	0.40151	PRAMEF11
ENSG00000179172	1	12897261	12918578	93	2	361194	0.40137	0.34408	HNRNPCL1
ENSG00000120952	1	12906941	12931764	103	5	361194	0.27226	0.39271	PRAMEF2
ENSG00000243073	1	12929045	12956025	8	2	361189	0.28268	0.38871	PRAMEF4
ENSG00000187545	1	12942727	12968101	2	1	361194	-1.3266	0.90768	PRAMEF10
ENSG00000232423	1	12988181	13127751	6	3	361194	1.9718	0.024319	PRAMEF6
ENSG00000204491	1	13464689	13487522	4	1	361194	0.92217	0.17822	PRAMEF18
ENSG00000204488	1	13485254	13508260	1	1	361194	-0.39459	0.65343	PRAMEF16
