Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
OPRPN,ENSG00000171199,5.06860234551543e-55,2.06501012292154e-23,7.24086049359348e-56,-0.110830145705254,pLoF,4070399222,4,70399222,
ACAN,ENSG00000157766,6.52312419359282e-27,9.31874884798974e-28,0.00000747295378278334,-0.0286340556043652,pLoF,15088836159,15,88836159,
BTK,ENSG00000010671,1.82716739115528e-25,9.99834412956243e-19,5.53987126674883e-26,-0.0982320306470772,pLoF,23101345601,X,101345601,
ASAP2,ENSG00000151693,1.4235506669724e-17,0.000352823200891583,2.2720605889019e-18,-0.0117140038700222,pLoF,2009206964,2,9206964,
NPR2,ENSG00000159899,5.29471596366484e-12,9.12904053668947e-12,5.53269865033457e-7,-0.0202704475369171,pLoF,9035792317,9,35792317,
LAYN,ENSG00000204381,1.90835286043948e-11,0.885504509346187,2.72621837205641e-12,-0.000299187098973766,pLoF,11111536727,11,111536727,
SHOX,ENSG00000185960,9.26107005894382e-11,6.06789428894926e-10,1.41254827177653e-9,-0.0269944162434245,pLoF,23000630802,X,630802,
HDAC1,ENSG00000116478,3.77835720751654e-10,0.00034984807180094,1.29479263517986e-10,-0.0145147216701523,pLoF,1032292089,1,32292089,
SCMH1,ENSG00000010803,4.75254803195771e-10,6.35828975026342e-8,8.74237002790323e-7,0.0163734792336359,pLoF,1041028094,1,41028094,
IRS1,ENSG00000169047,1.62599589348389e-9,3.62984194120834e-9,0.00117827831132766,-0.0128754209494104,pLoF,2226794943,2,226794943,
GHRH,ENSG00000118702,6.26506155843032e-8,5.70961128376624e-8,0.00000502920058220724,-0.0135075417574645,pLoF,20037251176,20,37251176,
SLC35C1,ENSG00000181830,1.8588155925206e-7,0.00860364580253092,6.19605197506865e-8,-0.0156102202719674,pLoF,11045804407,11,45804407,
DTL,ENSG00000143476,2.06186021589616e-7,4.81489949799574e-7,0.00000426136599218641,-0.00943128356289976,pLoF,1212035316,1,212035316,
GFI1B,ENSG00000165702,3.67108419552231e-7,0.167044313659265,1.27678563055511e-7,0.0081978363676916,pLoF,9132986657,9,132986657,
ANAPC4,ENSG00000053900,4.8182449308154e-7,0.000865212323664211,2.42041884090938e-7,-0.00926057550568887,pLoF,4025377297,4,25377297,
IGF1R,ENSG00000140443,7.75397139163303e-7,7.60091643847716e-7,0.000105008036759169,-0.0147119778705891,pLoF,15098649579,15,98649579,
CNPY2,ENSG00000257727,0.00000102347461361507,0.0000020045434414584,0.00000461154134590025,-0.0103740065909064,pLoF,12056310487,12,56310487,
POC5,ENSG00000152359,0.000001146288499565,0.00230276500250892,4.55623664574745e-7,-0.00748725682457766,pLoF,5075669136,5,75669136,
NF1,ENSG00000196712,0.00000119917830376792,4.45316736596979e-7,0.000124647692788415,-0.0136586270795149,pLoF,17031095231,17,31095231,
SERPINH1,ENSG00000149257,0.00000130475537030161,0.00000112360490889252,0.0000537741273608505,-0.015310392784632,pLoF,11075566248,11,75566248,
AC073896.1,ENSG00000144785,0.00000153575559924679,0.00000341481639543062,0.00000478593288433249,-0.0101401104886616,pLoF,12056282364,12,56282364,
CCDC107,ENSG00000159884,0.00000265452926728749,0.000330882374857344,0.00000169504331015702,-0.0115279231094148,pLoF,9035658290,9,35658290,
AFF1,ENSG00000172493,0.00000318999051583584,,,,pLoF,4086948459,4,86948459,
CRISPLD2,ENSG00000103196,0.00000341624877597813,0.00000377681104235528,0.00264317443870521,-0.00746249204490049,pLoF,16084838390,16,84838390,
EMP2,ENSG00000213853,0.00000404718991353636,0.00000397786554862112,0.0000145645102669345,-0.0148170827919943,pLoF,16010532821,16,10532821,
