Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ARF5,ENSG00000004059,0.0000402060052915321,0.0337307187674168,0.0000216393756882205,-0.00993447674860556,missense|LC,7127584084,7,127584084,
HAPLN2,ENSG00000132702,0.0000736638034364301,0.000146487197874468,0.000672505344043395,0.010825078512729,missense|LC,1156623402,1,156623402,
PLSCR2,ENSG00000163746,0.000132968434198855,0.000142629852243559,0.00044791221491558,0.00520744228799035,missense|LC,3146441755,3,146441755,
APOC3,ENSG00000110245,0.000195316896681286,0.000165682028973491,0.00230256141736218,0.0180465199149507,missense|LC,11116830486,11,116830486,
POTEM,ENSG00000222036,0.000306870147663396,0.136991026729669,0.000148438357099434,-0.00245841124795953,missense|LC,14018967478,14,18967478,
PRB4,ENSG00000230657,0.000443432102388397,0.000226164017374519,0.00808624216735276,-0.00344621161153153,missense|LC,12011308123,12,11308123,
CT45A1,ENSG00000268940,0.000479317646802979,0.000743393920444091,0.000532085778969682,0.0298889209340231,missense|LC,23135718946,X,135718946,
SLC66A1,ENSG00000040487,0.000588013982821933,0.00112082619817988,0.00180850883725947,0.00838450218222314,missense|LC,1019307327,1,19307327,
SNAP47,ENSG00000143740,0.000640979594244029,0.00133595815317511,0.000616484507473647,-0.00241509882698935,missense|LC,1227735000,1,227735000,
MOSMO,ENSG00000185716,0.000680688301685328,0.925294276578953,0.000308557914485474,0.000515206493873408,missense|LC,16022008251,16,22008251,
ZNF768,ENSG00000169957,0.000708099893114045,0.371854319352907,0.000399623701062612,0.00154226319843764,missense|LC,16030519831,16,30519831,
CNNM1,ENSG00000119946,0.000714793416992099,0.000385540771796311,0.00940028923433822,-0.0045874191036654,missense|LC,10099329448,10,99329448,
PLA2G4C,ENSG00000105499,0.000717320452931047,0.0864613869542569,0.000327710254002578,-0.00204371986948167,missense|LC,19048043786,19,48043786,
CFAP53,ENSG00000172361,0.000770788078376494,0.163881987112274,0.000462313061014519,-0.00171461110474264,missense|LC,18050227343,18,50227343,
ZFP1,ENSG00000184517,0.000778657981188591,0.00169016780476505,0.000985653407560738,0.00453274370108049,missense|LC,16075152833,16,75152833,
SETD1A,ENSG00000099381,0.000810184351696663,0.000379529193361927,0.464963771882188,0.00269769700787001,missense|LC,16030953116,16,30953116,
CDC42SE1,ENSG00000197622,0.000847944580640081,0.00109184550330066,0.00155769475850109,0.018570226650189,missense|LC,1151045973,1,151045973,
RANBP1,ENSG00000099901,0.000853570006610682,0.000569751947546826,0.0172821736254375,0.00816555883554332,missense|LC,22020112441,22,20112441,
C7,ENSG00000112936,0.000899960580223014,0.000456337301975918,0.0404772715579843,-0.00301399255493206,missense|LC,5040909542,5,40909542,
SQLE,ENSG00000104549,0.000908224449725492,0.0160421111434821,0.000513878158076242,-0.0136808344339765,missense|LC,8124999302,8,124999302,
RNF38,ENSG00000137075,0.00100455221574114,0.583836472470452,0.000492574263126766,-0.00133626394473815,missense|LC,9036339704,9,36339704,
OR2A14,ENSG00000221938,0.00110710250718749,0.336160577581187,0.000490735749363758,0.00162322954561518,missense|LC,7144118797,7,144118797,
PABPN1L,ENSG00000205022,0.00112619736166331,0.000525752892980735,0.0287360679735073,-0.00277090816843332,missense|LC,16088858523,16,88858523,
C15orf41,ENSG00000186073,0.00113424936548734,0.000941264515301299,0.0151089225800873,-0.00497255727060073,missense|LC,15036579799,15,36579799,
PJA1,ENSG00000181191,0.00116234368780266,0.000806648484563133,0.0332030482402306,0.00370263187961058,missense|LC,23069161190,X,69161190,
ELP4,ENSG00000109911,0.00121010279936706,0.00339676225402896,0.000777228342946468,-0.00347931746690207,missense|LC,11031509698,11,31509698,
AL121758.1,ENSG00000270299,0.0012832061561967,0.000748114804092981,0.0155966460696609,0.00959169385233867,missense|LC,20000648623,20,648623,
GRM7,ENSG00000196277,0.00128912267404047,0.214511342160883,0.000746184768890545,0.00589155386187346,missense|LC,3006861302,3,6861302,
TAF7,ENSG00000178913,0.00128996689764482,0.000891459538119421,0.00891515318476954,0.00839427291100333,missense|LC,5141318928,5,141318928,
