Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
PMM2,ENSG00000140650,1.34604460133581e-7,2.36917162887984e-7,0.00000309736461734378,-0.0023027249525152,missense|LC,16008795849,16,8795849,
SLC29A1,ENSG00000112759,0.0000114363724078581,0.0000224869018438101,0.0000355511604973602,0.00212484012168907,missense|LC,6044219628,6,44219628,
SCN7A,ENSG00000136546,0.0000227318194327975,0.0511164244479346,0.0000108454488577658,0.000497447913634111,missense|LC,2166405531,2,166405531,
ATP2B1,ENSG00000070961,0.0000280675380566198,0.0000436057776977972,0.000238056525974306,-0.00266130830265489,missense|LC,12089590911,12,89590911,
MMEL1,ENSG00000142606,0.0000367644801626543,0.0000169010204398301,0.00280563955218049,0.00140416068582481,missense|LC,1002586658,1,2586658,
DNAJA4,ENSG00000140403,0.0000663105597474845,0.0000271206679401947,0.00155144073118185,-0.00241384659027774,missense|LC,15078264253,15,78264253,
GCKR,ENSG00000084734,0.0000770016514360927,0.000620829815719204,0.0000676237986206862,-0.00113891493380153,missense|LC,2027492349,2,27492349,
ADH1B,ENSG00000196616,0.0000842524341895245,0.92490629403517,0.0000477305014121576,-0.0000197840051055927,missense|LC,4099307755,4,99307755,
PLIN5,ENSG00000214456,0.0000900320732566406,0.0000386093776104657,0.0133616747232087,0.00115711364299511,missense|LC,19004517534,19,4517534,
FOXP1,ENSG00000114861,0.00010213532285086,0.0000821866289864026,0.00169049550331857,0.00241625175876612,missense|LC,3070959160,3,70959160,
ANXA3,ENSG00000138772,0.000130923431574503,0.00480535904143131,0.0000859976817113584,0.0016444034771361,missense|LC,4078554418,4,78554418,
AKAP9,ENSG00000127914,0.000134272024221671,0.0000701093747932369,0.000266624435370177,-0.00205820578501181,missense|LC,7091941030,7,91941030,
RBKS,ENSG00000171174,0.000161559212227824,0.00744741584534203,0.000137215010243441,-0.00146072390536464,missense|LC,2027779327,2,27779327,
ACSL4,ENSG00000068366,0.000161925437628829,0.000389540181534809,0.000418250170946655,-0.00253988173954408,missense|LC,23109643966,X,109643966,
STK31,ENSG00000196335,0.000173179987839833,0.0000743680571505534,0.0697282837416826,-0.00129792899440242,missense|LC,7023710132,7,23710132,
CCDC124,ENSG00000007080,0.000183985974229972,0.000234900035000263,0.00117652619153308,0.00296336891492971,missense|LC,19017936344,19,17936344,
FRK,ENSG00000111816,0.000186464513145745,0.0000779730085550545,0.125130448322654,-0.0031731648540896,missense|LC,6115942385,6,115942385,
SNX17,ENSG00000115234,0.000197573837006026,0.148959167371013,0.0000831791414445116,0.000525135729908613,missense|LC,2027366660,2,27366660,
CSNK2A3,ENSG00000254598,0.000230287230311266,0.000110224417666727,0.0527636522621217,0.00160144790978979,missense|LC,11011351894,11,11351894,
PLEKHH1,ENSG00000054690,0.000242100104333787,0.0378156560081045,0.000104335057470983,0.000554330413720947,missense|LC,14067541791,14,67541791,
PRSS55,ENSG00000184647,0.000281906181049507,0.000338206873096603,0.00119955524434445,0.00118881734717566,missense|LC,8010525489,8,10525489,
PLCXD3,ENSG00000182836,0.000286839142676021,0.155995457054807,0.00012858376156466,0.00152629495807828,missense|LC,5041313516,5,41313516,
CASK,ENSG00000147044,0.00029835081434626,0.0560087756235002,0.000171896729029619,0.00233819879605986,missense|LC,23041520384,X,41520384,
SPG7,ENSG00000197912,0.000311464519055282,0.000480598349054784,0.00114310283788421,-0.0011368920950899,missense|LC,16089508319,16,89508319,
SLX1B,ENSG00000181625,0.000320515144718693,,,,missense|LC,16029457731,16,29457731,
AC097634.4,ENSG00000285708,0.000322320019028099,0.000274756653180996,0.00169201084013715,0.00234214094693473,missense|LC,3070959160,3,70959160,
JUNB,ENSG00000171223,0.000345256157816554,0.244313015692016,0.000158787967612817,0.00172848252140932,missense|LC,19012791715,19,12791715,
DUSP2,ENSG00000158050,0.000358246728509037,0.000170496716366042,0.00426275483006266,-0.00170572069548925,missense|LC,2096138309,2,96138309,
OPRM1,ENSG00000112038,0.000392020835204732,0.896282108135827,0.000176406673529028,0.0000297852393384201,missense|LC,6154010410,6,154010410,
RPL7,ENSG00000147604,0.000418869553017065,0.00230805556796221,0.000374690082434403,0.00195937190555721,missense|LC,8073291001,8,73291001,
DNAJB14,ENSG00000164031,0.000433803970197322,0.000202319243852611,0.105575046696756,-0.00396891209064668,missense|LC,4099891855,4,99891855,
TSR1,ENSG00000167721,0.000452254101652172,0.000862041187337126,0.000749799872331924,0.000913060874801249,missense|LC,17002317783,17,2317783,
TNKS1BP1,ENSG00000149115,0.000477619771583893,0.00418544234606777,0.000512254468280959,-0.000592206535759696,missense|LC,11057300463,11,57300463,
DLX4,ENSG00000108813,0.000503147656419234,0.000386242613055754,0.0411051180822586,0.00177847209726224,missense|LC,17049969362,17,49969362,
EDEM3,ENSG00000116406,0.000551973452586396,0.00773513608957388,0.000390470115783081,-0.00117096603735247,missense|LC,1184693974,1,184693974,
ACTG1,ENSG00000184009,0.000573942215429279,0.000277673919326871,0.0295853626037792,-0.00937292193517924,missense|LC,17081510589,17,81510589,
EDA,ENSG00000158813,0.000581715265311589,0.00046523100781326,0.00460144849524746,0.00145402240446852,missense|LC,23069616217,X,69616217,
DMPK,ENSG00000104936,0.00063813072524066,0.00052231006944492,0.00743279769158378,0.00156936670169355,missense|LC,19045765381,19,45765381,
CYB5D1,ENSG00000182224,0.000640891282674416,0.0160895267018597,0.000393447327034946,0.00129703847517204,missense|LC,17007853003,17,7853003,
MPRIP,ENSG00000133030,0.000654615093569788,0.000279119206104683,0.354839849158417,-0.00119151405819137,missense|LC,17017042853,17,17042853,
GAGE1,ENSG00000205777,0.000701264662354983,0.000867498764318353,0.000965415112430756,-0.00346868878471187,missense|LC,23049603542,X,49603542,
LY6K,ENSG00000160886,0.000703598853260545,0.00619500003747309,0.000510428000729979,-0.00225248766214027,missense|LC,8142700251,8,142700251,
MUSK,ENSG00000030304,0.000758530447211969,0.000408912492971036,0.00760903694673154,-0.00106993813726817,missense|LC,9110668861,9,110668861,
CHI3L2,ENSG00000064886,0.000784522069852356,0.239882038561596,0.000334960513602267,-0.00084523022618089,missense|LC,1111195796,1,111195796,
CYP8B1,ENSG00000180432,0.000801503799060965,0.0284249924720166,0.000619281185862519,-0.000910830217318225,missense|LC,3042874239,3,42874239,
