Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
SEC61A2,ENSG00000065665,0.0000104613073697024,0.000172686494316676,0.0000250422564666009,0.00759738011017208,missense|LC,10012129702,10,12129702,
ATP5MC2,ENSG00000135390,0.0000519394858600197,0.0223623696081403,0.0000428200444074767,0.00274117237102582,missense|LC,12053665253,12,53665253,
PDIA3,ENSG00000167004,0.000170957126890969,0.00151687657568922,0.000198663476970173,0.00226343279193891,missense|LC,15043744326,15,43744326,
PCDHGA6,ENSG00000253731,0.000185634202562679,0.0000786818279107093,0.108777093584659,-0.00127051700415342,missense|LC,5141370319,5,141370319,
MMP13,ENSG00000137745,0.000194154424027371,0.426504155473867,0.000102219096649758,-0.000576091328329362,missense|LC,11102944226,11,102944226,
CPA1,ENSG00000091704,0.000275617846821508,0.00221220833495461,0.000212278294751789,-0.00184380680835183,missense|LC,7130380464,7,130380464,
ADAD1,ENSG00000164113,0.000417197615584897,0.000275885337047921,0.0208124683403521,0.00230280180981039,missense|LC,4122379974,4,122379974,
GNA15,ENSG00000060558,0.000418313944194781,0.0020798488291629,0.00035932552956186,0.00174491172201782,missense|LC,19003136354,19,3136354,
TAP2,ENSG00000204267,0.000565783109201523,0.000258797540212963,0.0707105354663173,-0.00137332808976085,missense|LC,6032825913,6,32825913,
GPAT4,ENSG00000158669,0.000578089592588094,0.577679236951917,0.000225912467562206,-0.00104762328250649,missense|LC,8041599028,8,41599028,
UGT2B4,ENSG00000156096,0.000581805694054638,0.000935851159164169,0.000845045476933981,0.00169868745966514,missense|LC,4069480491,4,69480491,
CSRNP1,ENSG00000144655,0.000596677019158331,0.000341960384466544,0.00962221800846408,0.00188553484355081,missense|LC,3039136858,3,39136858,
AL669918.1,ENSG00000250264,0.000609776732968914,0.000278382929674414,0.0689804188713605,-0.00129772750401916,missense|LC,6032813154,6,32813154,
