Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
C10orf90,ENSG00000154493,0.0000100890226942818,0.624348564715039,0.00000423558966788917,-0.001196001976482,pLoF,10126425781,10,126425781,
TAF5L,ENSG00000135801,0.0000147942396606648,0.00000757109102855757,0.000158330485484193,-0.034560168157826,pLoF,1229594197,1,229594197,
ACTR6,ENSG00000075089,0.0000464059035321096,0.000178838181624008,0.0000956720251878984,0.0132151047367613,pLoF,12100200759,12,100200759,
CRLF1,ENSG00000006016,0.0000472446567175711,0.00107627281212475,0.0000386174706304976,-0.0126233217981306,pLoF,19018588724,19,18588724,
EXOC4,ENSG00000131558,0.0000700541638419816,0.00846506717346962,0.0000522056247930225,0.00892253884169019,pLoF,7133253036,7,133253036,
BANF2,ENSG00000125888,0.000125940800328128,0.000425793701666288,0.000118249429958972,0.0215169249703564,pLoF,20017693588,20,17693588,
CGRRF1,ENSG00000100532,0.000129676738985118,0.0000604290669360408,0.00108334187081449,-0.0399731110782123,pLoF,14054509914,14,54509914,
UNC13B,ENSG00000198722,0.00014243425236049,0.0000648980650452824,0.0113528326355828,-0.00797436758317756,pLoF,9035162148,9,35162148,
EMC10,ENSG00000161671,0.000159255453098472,0.000095506846805038,0.00346327751947073,-0.00975391989005235,pLoF,19050475181,19,50475181,
EBPL,ENSG00000123179,0.000162463815567393,0.000177264863511217,0.000330138093504795,0.019520112875565,pLoF,13049660904,13,49660904,
THAP11,ENSG00000168286,0.000250187301486737,0.000215751113969875,0.00179323418685473,0.0101075519964934,pLoF,16067842465,16,67842465,
COL4A1,ENSG00000187498,0.000253756876218758,0.000102908245156241,0.00470389813717631,0.0253354457284314,pLoF,13110150298,13,110150298,
FEZ1,ENSG00000149557,0.00027670534596693,,,,pLoF,11125446034,11,125446034,
KIAA1614,ENSG00000135835,0.000340610101972394,0.000952881695432395,0.000491104422113753,0.00465660809812884,pLoF,1180913157,1,180913157,
TUBA1A,ENSG00000167552,0.000351929808408369,0.000169032662611368,0.000771353967066402,-0.0459103367049525,pLoF,12049184963,12,49184963,
TSPAN11,ENSG00000110900,0.000367596812418269,0.000470242693386469,0.000493979164551295,0.0116587889032509,pLoF,12030926961,12,30926961,
MME,ENSG00000196549,0.000383678773257734,0.000269928888396276,0.0131151846254481,0.00595533122202667,pLoF,3155084113,3,155084113,
KDM4A,ENSG00000066135,0.000389482044461209,0.000172912999401142,0.00411326923788446,0.0289902919911214,pLoF,1043653123,1,43653123,
TOGARAM1,ENSG00000198718,0.000455657755656036,0.000223401066396178,0.00718576894398004,0.0225241857736876,pLoF,14044960877,14,44960877,
TTC9,ENSG00000133985,0.000463272966218731,0.000252226005989842,0.0023237110379728,0.028256051053325,pLoF,14070642033,14,70642033,
AL049634.2,ENSG00000260861,0.000470541841984251,0.000339322443399293,0.00373953093609192,0.0252586390572296,pLoF,20001551643,20,1551643,
SECTM1,ENSG00000141574,0.000483922313334606,0.0165279790894171,0.000317663857801409,-0.0137921994190916,pLoF,17082316112,17,82316112,
CUEDC1,ENSG00000180891,0.000503484952244504,0.000261800382876043,0.0287888537785413,-0.0111533317987845,pLoF,17057866404,17,57866404,
RCC1,ENSG00000180198,0.000540666950401669,0.000446275644323202,0.0117202708806589,-0.0126722048176165,pLoF,1028529812,1,28529812,
ASXL3,ENSG00000141431,0.000629387612021692,0.0353419631938577,0.000307519029511427,0.012839015517211,pLoF,18033578567,18,33578567,
APOC1,ENSG00000130208,0.000672640712500061,0.000363384150751767,0.00706844723911448,0.0232728171770593,pLoF,19044909249,19,44909249,
YPEL3,ENSG00000090238,0.000676884013794954,0.000388652189629135,0.0016874680826513,-0.0433003664852033,pLoF,16030088445,16,30088445,
MS4A4E,ENSG00000214787,0.000711456876027916,0.000683015379447927,0.00133903193108875,-0.0059386837285493,pLoF,11060208616,11,60208616,
TDRD7,ENSG00000196116,0.000727105690259799,0.00618297095558684,0.000479031039232858,-0.0178585839664038,pLoF,9097428385,9,97428385,
CHKB,ENSG00000100288,0.000742063564515005,0.524028174945084,0.000416583986051933,0.00258265151694389,pLoF,22050574282,22,50574282,
SLF2,ENSG00000119906,0.000835619923955755,0.746322488784543,0.000381855474505643,0.00126797070121884,pLoF,10100913013,10,100913013,
NAGS,ENSG00000161653,0.000837855473297844,0.0161538486596866,0.000514583697497573,0.0103838625852705,pLoF,17044004541,17,44004541,
DACT3,ENSG00000197380,0.000855087235904328,0.000504997085426839,0.00235850227258827,0.042452877848478,pLoF,19046648331,19,46648331,
KLHL13,ENSG00000003096,0.000862945331055132,0.000445514889822918,0.00253995292771758,0.0303050022408966,pLoF,23117898841,X,117898841,
BPNT1,ENSG00000162813,0.000872758087730463,0.0207316129782462,0.000449041645992132,-0.00941425014711672,pLoF,1220057800,1,220057800,
IRF2,ENSG00000168310,0.000903184536089729,0.0108645445308504,0.000706456838436953,0.0132605514384321,pLoF,4184388676,4,184388676,
CLCN1,ENSG00000188037,0.000906709817378837,0.000773606299460328,0.00391444711672462,-0.00410400625536137,pLoF,7143316160,7,143316160,
FLVCR1,ENSG00000162769,0.000910871427347137,0.000641572572021909,0.005024843755709,0.0147333589726649,pLoF,1212858363,1,212858363,
C2orf73,ENSG00000177994,0.000910972598187398,0.000424006261858678,0.0129838409470582,-0.015713986967989,pLoF,2054330901,2,54330901,
NPIPB9,ENSG00000196993,0.000918128261995554,0.00179658189687371,0.000833626159130851,-0.0179690143255322,pLoF,16028752391,16,28752391,
C2orf15,ENSG00000273045,0.000919111759171809,0.000536123556060031,0.00242137572551004,-0.0422509590127399,pLoF,2099140994,2,99140994,
ADAMTS1,ENSG00000154734,0.000947586279521628,0.00469873395221099,0.000887940180362756,-0.0101815773160406,pLoF,21026837510,21,26837510,
CHADL,ENSG00000100399,0.000962838456697312,0.0188747522362053,0.000477640697773341,0.00489368936421058,pLoF,22041224684,22,41224684,
TIA1,ENSG00000116001,0.00102142431861396,0.000525264589575913,0.00728903352576016,0.0345599138168468,pLoF,2070212695,2,70212695,
SERPINH1,ENSG00000149257,0.00102189170184497,0.000564161043810296,0.00809215958251763,-0.0243031763924637,pLoF,11075566248,11,75566248,
OSBPL2,ENSG00000130703,0.00102613252973549,0.0111773973472323,0.000620778140221656,-0.0195797602984735,pLoF,20062256084,20,62256084,
ZNF219,ENSG00000165804,0.00107982151556796,0.000580375643267406,0.0104081786677956,-0.0187847794112709,pLoF,14021085580,14,21085580,
ANTKMT,ENSG00000103254,0.00111552746891075,0.000601564395224186,0.00481870636863713,-0.0114084036558456,pLoF,16000716147,16,716147,
METTL9,ENSG00000197006,0.00116608924555195,0.000639023496511237,0.00402708025052767,0.0142990136167809,pLoF,16021597198,16,21597198,
DENR,ENSG00000139726,0.00123400726628369,,,,pLoF,12122753648,12,122753648,
KIFBP,ENSG00000198954,0.00128446629187429,0.000756017806616605,0.00342658669502294,0.0411122049237866,pLoF,10068988730,10,68988730,
MED31,ENSG00000108590,0.001287930781675,0.0309484392192281,0.00117163124989861,-0.00623819262979471,pLoF,17006640953,17,6640953,
ATXN2,ENSG00000204842,0.00129787426763872,0.00439397601493152,0.00110081393049644,0.00202380398540448,pLoF,12111447217,12,111447217,
ERICH2,ENSG00000204334,0.00130495287896759,0.000638677087560824,0.0419956073760869,0.0208438279579571,pLoF,2170779764,2,170779764,
TBX3,ENSG00000135111,0.00131518316032797,0.765938082489102,0.000730263539807652,-0.00205017568164901,pLoF,12114671726,12,114671726,
DCXR,ENSG00000169738,0.00136572238160815,0.869714877630958,0.000770981629118372,0.000361920660704288,pLoF,17082030859,17,82030859,
EXO1,ENSG00000174371,0.00138285931267645,0.00685201605965358,0.00127470221524295,0.0025326756954301,pLoF,1241850390,1,241850390,
SLC19A3,ENSG00000135917,0.00138569561697743,0.0504443365972562,0.0010545517983267,0.00819546900746216,pLoF,2227687315,2,227687315,
SLC18A1,ENSG00000036565,0.00141527677580977,0.000787626713177669,0.0309827818722725,-0.012091367318087,pLoF,8020145738,8,20145738,
