Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ZNF280C,ENSG00000056277,0.0000458580704518763,0.0000483565949011,0.0000955586909135997,0.0116456453321707,synonymous,23130204915,X,130204915,
PIH1D1,ENSG00000104872,0.0000833381800742217,0.00813235942200141,0.0000580912011685086,0.0132668421305695,synonymous,19049441298,19,49441298,
DDAH2,ENSG00000213722,0.0000905599819277514,0.00229363827374485,0.0000813084606228198,0.00908705197617049,synonymous,6031723323,6,31723323,
PDGFRA,ENSG00000134853,0.0000943456965742939,0.140845495470984,0.0000411674021791875,0.00262749090160795,synonymous,4054258730,4,54258730,
NF1,ENSG00000196712,0.00016216597416141,0.0360370434974145,0.0000698444318039115,0.00330040746492469,synonymous,17031095231,17,31095231,
FAM20C,ENSG00000177706,0.000187102156422703,0.0000873168491739573,0.0636638258042239,0.012085421280247,synonymous,7000193100,7,193100,
AXIN1,ENSG00000103126,0.000194376670474172,0.000127297700203699,0.00595267030778013,0.00690118765082257,synonymous,16000282323,16,282323,
CBLC,ENSG00000142273,0.000251059318049363,0.603887172857139,0.000107665074051466,0.00263642500191271,synonymous,19044777839,19,44777839,
SKIV2L,ENSG00000204351,0.000251531843065256,0.279076488463885,0.000113767355682581,0.00156631027772021,synonymous,6031954176,6,31954176,
TPPP3,ENSG00000159713,0.000265413485739718,0.000328492314153772,0.000503041883095579,0.0263051087173751,synonymous,16067384822,16,67384822,
TMEM39B,ENSG00000121775,0.000275360550587078,0.000252179166444266,0.0121892108508381,0.00960724146805165,synonymous,1032072921,1,32072921,
ADCYAP1,ENSG00000141433,0.000375560886273107,0.00462629386975277,0.000338241925095684,0.0133992360776027,synonymous,18000904297,18,904297,
ARL1,ENSG00000120805,0.000406835261214655,0.00523652879733172,0.00027539702977597,0.0424106617547727,synonymous,12101395586,12,101395586,
TCTEX1D2,ENSG00000213123,0.000407285045964212,0.00315437257958218,0.000384815403483563,0.0501359567446174,synonymous,3196291265,3,196291265,
AL645922.1,ENSG00000244255,0.000478394319822883,0.00122983743357152,0.000369539847400624,0.00524552339929592,synonymous,6031927426,6,31927426,
C19orf84,ENSG00000262874,0.000498498080611198,0.0343600430069949,0.000283524087090425,0.0221357580880115,synonymous,19051387118,19,51387118,
C20orf144,ENSG00000149609,0.000505060389884848,0.000252791226625471,0.0155586598682488,0.0274295206206493,synonymous,20033657729,20,33657729,
UBAP2L,ENSG00000143569,0.000539819366361605,0.487214698662161,0.000229636457978022,0.00294278059434562,synonymous,1154219796,1,154219796,
COL25A1,ENSG00000188517,0.000562797238948143,0.001888941228119,0.00118618229554779,0.0198531138630274,synonymous,4108813888,4,108813888,
