Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
TMEM229A,ENSG00000234224,0.0000970956823719282,0.000111105720538629,0.000468130395770983,0.0933699836910414,pLoF,7124031764,7,124031764,
TMPRSS7,ENSG00000176040,0.0000984162767394547,0.00506221537846485,0.0000579073375555073,0.0191027822417372,pLoF,3112041923,3,112041923,
ANLN,ENSG00000011426,0.000102506113915379,0.0000640386930226278,0.00140205964906448,0.024322971331209,pLoF,7036389875,7,36389875,
CCAR2,ENSG00000158941,0.00011404965032058,0.0000392085633769135,0.0473474177321274,0.0847979180649757,pLoF,8022599665,8,22599665,
SVIL,ENSG00000197321,0.000224168783804934,0.000105804107984664,0.0173670884386208,-0.0356294418200946,pLoF,10029458168,10,29458168,
SAPCD1,ENSG00000228727,0.000281194059926992,0.00063676003592783,0.000266511326611374,0.0149482880049964,pLoF,6031758060,6,31758060,
TBC1D8,ENSG00000204634,0.000311925108611222,0.000138051665364403,0.0299105308993416,0.0300296872644252,pLoF,2101002651,2,101002651,
CD8B2,ENSG00000254126,0.000422056716701369,0.000339898268969518,0.022295336116578,0.0514219890608461,pLoF,2106487377,2,106487377,
MMRN1,ENSG00000138722,0.000449600558622754,0.000317824764217045,0.02639982823372,0.017839854959764,pLoF,4089894807,4,89894807,
DNAI2,ENSG00000171595,0.000520201553595889,0.000219488253211608,0.0497695266489884,0.0374860974020105,pLoF,17074281729,17,74281729,
COMMD3,ENSG00000148444,0.00053076776419525,0.00674220144654258,0.000325527332282527,0.0212304887821096,pLoF,10022316279,10,22316279,
RPS20,ENSG00000008988,0.000533901992632591,0.000324020019964677,0.00449589586396704,0.119630818136177,pLoF,8056069677,8,56069677,
SLC17A8,ENSG00000179520,0.000538344362786214,0.0248193093132517,0.000359983716427759,0.0222533540413316,pLoF,12100357381,12,100357381,
CDC23,ENSG00000094880,0.00062059338801923,0.000336952797522327,0.004703552905165,0.089796575041502,pLoF,5138182654,5,138182654,
OXA1L,ENSG00000155463,0.000630665431520572,0.000592646759999926,0.00155500191340097,0.00956703955483321,pLoF,14022766443,14,22766443,
UNC13C,ENSG00000137766,0.000857710382052956,0.000550251903357335,0.00528451494320059,0.021644966571534,pLoF,15054012912,15,54012912,
SUMF1,ENSG00000144455,0.000864034754995635,0.000674574847935872,0.00576657599081898,0.0472816526438723,pLoF,3004362073,3,4362073,
PPFIA4,ENSG00000143847,0.000974311342026524,0.000478721908331758,0.0518152086413415,0.0347365056757876,pLoF,1203022730,1,203022730,
FAXDC2,ENSG00000170271,0.000992555374281223,0.00495669478442773,0.000812774451341314,0.030764216775394,pLoF,5154813841,5,154813841,
C16orf87,ENSG00000155330,0.000995815780668319,0.000732719150098537,0.00434356852023376,0.0896533351345626,pLoF,16046802955,16,46802955,
MAGEA4,ENSG00000147381,0.00115109600541885,0.00101031603756463,0.00492592566686134,0.0835946255163225,pLoF,23151918886,X,151918886,
KLHL4,ENSG00000102271,0.00125333632021873,0.000723689456554211,0.0181944907793677,0.0831659701293367,pLoF,23087517825,X,87517825,
REG1B,ENSG00000172023,0.00125481868700317,0.00191385548961265,0.00120767274007672,-0.0062202374128928,pLoF,2079085185,2,79085185,
DUSP16,ENSG00000111266,0.00129156885010384,0.00130467011557589,0.00126023430089539,-0.00614927966096217,pLoF,12012476757,12,12476757,
SNX13,ENSG00000071189,0.0013607715050119,0.0344091867160808,0.000907955605501831,0.0435922094215122,pLoF,7017793955,7,17793955,
SLC38A1,ENSG00000111371,0.00152405355084539,0.0188861486621547,0.00138071523381234,-0.0250928863662509,pLoF,12046196065,12,46196065,
CD1E,ENSG00000158488,0.00154369718041614,0.000746159271994618,0.0247158516959955,0.0384683457406787,pLoF,1158353940,1,158353940,
C2orf74,ENSG00000237651,0.00159989614759548,0.0077557802013084,0.0011174432590112,0.0319469936759994,pLoF,2061162473,2,61162473,
MPI,ENSG00000178802,0.00174871209935712,0.659189332270628,0.00110131600641417,0.00725086938868525,pLoF,15074889960,15,74889960,
ZNF461,ENSG00000197808,0.00179695138766345,0.00274033804887308,0.00239595334188358,0.0837560973407931,pLoF,19036638594,19,36638594,
UBR3,ENSG00000144357,0.00192117171855011,0.000873358472769925,0.0202149317364388,0.0946551945952228,pLoF,2169824452,2,169824452,
AP1S3,ENSG00000152056,0.00203929355422006,0.00117861705254452,0.00703785086439757,0.0689879556995283,pLoF,2223755765,2,223755765,
ASCC1,ENSG00000138303,0.00204133113921301,0.00337568433322244,0.00203817675501616,0.0335283502558853,pLoF,10072097313,10,72097313,
AKR1B1,ENSG00000085662,0.00205229139150309,0.00138631568516812,0.00567349952549656,0.0848961038645827,pLoF,7134442656,7,134442656,
NAA25,ENSG00000111300,0.00206228317149504,0.00116621807694184,0.0252516688176739,0.10783029058671,pLoF,12112022067,12,112022067,
VWCE,ENSG00000167992,0.00217948677037061,0.0793578134563389,0.00099086007180782,0.0201735850532988,pLoF,11061258561,11,61258561,
C1RL,ENSG00000139178,0.00219627765717345,0.00110374778038325,0.0263606758576158,0.0522648695052984,pLoF,12007093773,12,7093773,
PLCXD3,ENSG00000182836,0.00226143988951211,0.0242611594058895,0.00165634995020536,0.0406594658019,pLoF,5041313516,5,41313516,
OR1E2,ENSG00000127780,0.00228737456065398,0.00196132993225662,0.005706264959631,-0.0332382345163718,pLoF,17003432784,17,3432784,
TMEM181,ENSG00000146433,0.00244125222470437,0.0018676579698621,0.0648793288963121,0.0295256668146095,pLoF,6158536364,6,158536364,
LRCOL1,ENSG00000204583,0.00247647440354715,0.00179075789424077,0.0170323966532155,0.0246839937822275,pLoF,12132603263,12,132603263,
PTPRC,ENSG00000081237,0.00247800637122764,0.0021229356606749,0.00739560486579816,0.0516232355069991,pLoF,1198639223,1,198639223,
SEMA3C,ENSG00000075223,0.00260371036095064,0.092850078028616,0.00153716335263632,0.0185296455735081,pLoF,7080744804,7,80744804,
ABCD4,ENSG00000119688,0.00277713259754842,0.00132865791109116,0.45153184876584,-0.0274947116987782,pLoF,14074286371,14,74286371,
PSD,ENSG00000059915,0.00286275225553378,0.00151688826691299,0.0212478175206137,0.0697730454285133,pLoF,10102397624,10,102397624,
TMEM179,ENSG00000258986,0.00298180530344427,0.0478763118650863,0.0020162229038051,0.0479889600762928,pLoF,14104586377,14,104586377,
LRRC75B,ENSG00000178026,0.00299902124001394,0.00263848516247234,0.00724397827444745,0.0405880643881739,pLoF,22024585806,22,24585806,
NSUN5,ENSG00000130305,0.00313443429322879,0.0021591228470299,0.160150803930455,0.0272185293999107,pLoF,7073298237,7,73298237,
ATP12A,ENSG00000075673,0.0034465233059765,0.00326089765536208,0.00515056647680523,0.0138928386102423,pLoF,13024680634,13,24680634,
MTG1,ENSG00000148824,0.00345166232182936,0.00195034252779303,0.0188996713850116,0.0465098239070849,pLoF,10133389464,10,133389464,
ITGAD,ENSG00000156886,0.0035872767484898,0.00250369606306178,0.0604496792300639,0.00967123094824334,pLoF,16031393271,16,31393271,
PRSS55,ENSG00000184647,0.0037594437614713,0.0167084584366474,0.00266205212013859,0.0270059228954535,pLoF,8010525489,8,10525489,
CNTN2,ENSG00000184144,0.00378192855619131,0.450911064994439,0.00195717038963239,0.00900475916710835,pLoF,1205053132,1,205053132,
PHF11,ENSG00000136147,0.00378836483764244,0.00330200040057715,0.00658882452301779,0.0417495913263963,pLoF,13049490955,13,49490955,
KCNN3,ENSG00000143603,0.00385395608750261,0.00316789448477928,0.0124704099697017,0.060382180239482,pLoF,1154707883,1,154707883,
CREB3L3,ENSG00000060566,0.00385502260413551,0.178688648424998,0.00204713981593496,0.0153972199050481,pLoF,19004153648,19,4153648,
ANXA9,ENSG00000143412,0.00403099512461369,0.00242687818910481,0.0162534108324441,0.0276968483867314,pLoF,1150983039,1,150983039,
