Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ZPR1,ENSG00000109917,0.0000619064400618763,0.0784952132602971,0.0000267193587555337,-0.00221709509330405,synonymous,11116770097,11,116770097,
OR51D1,ENSG00000197428,0.0000792506246101166,0.00456004689326683,0.0000713739381912326,-0.00164210757389444,synonymous,11004639704,11,4639704,
AC118553.2,ENSG00000283761,0.000137943046666367,0.000127602979480335,0.000453083863191317,-0.00512682547421246,synonymous,1099970489,1,99970489,
KRTAP19-2,ENSG00000186965,0.000148172120570056,0.000136527104949491,0.00026619982898779,-0.00476758137419701,synonymous,21030487116,21,30487116,
CCDC178,ENSG00000166960,0.000176057607146674,0.000214775949838653,0.000351364827782419,-0.00895156864800936,synonymous,18032937970,18,32937970,
ACTA1,ENSG00000143632,0.000218917564901555,0.000110994623645166,0.00482138267083954,0.00444552397207309,synonymous,1229431394,1,229431394,
SYT12,ENSG00000173227,0.000221078780321515,0.000158616150343072,0.0294732966467834,-0.00249704543168702,synonymous,11067030051,11,67030051,
SLC27A4,ENSG00000167114,0.000223335832608695,0.0193348193357379,0.000109808833408165,0.00162093433251806,synonymous,9128342181,9,128342181,
GADD45G,ENSG00000130222,0.000305003516218538,0.00815748355708068,0.000149435097789086,-0.00420068497748052,synonymous,9089605069,9,89605069,
ARID5B,ENSG00000150347,0.000339879425479639,0.00039893607951913,0.000770643113220393,0.00563746831357071,synonymous,10061901628,10,61901628,
MAGEB3,ENSG00000198798,0.000361473584645999,0.000290371129167744,0.00270585961758718,-0.00262181615308728,synonymous,23030235892,X,30235892,
DCHS1,ENSG00000166341,0.000367904982730205,0.122009075649353,0.000180291673439026,-0.000321953627903533,synonymous,11006616332,11,6616332,
LRRC73,ENSG00000204052,0.000390917896472054,0.000179154334420506,0.028057041165011,0.00459282850624078,synonymous,6043502205,6,43502205,
DRD2,ENSG00000149295,0.000397306552985421,0.187000469914371,0.00018232442934063,0.00068621052954571,synonymous,11113410626,11,113410626,
TOLLIP,ENSG00000078902,0.000401611511933631,0.000266744006058639,0.0171329710183673,0.00154196487179183,synonymous,11001276591,11,1276591,
ATP6V0A2,ENSG00000185344,0.000409647015731096,0.890428822795074,0.000199486766685242,-0.0000691733375640213,synonymous,12123707538,12,123707538,
DAGLB,ENSG00000164535,0.000425270534230249,0.000235108728858568,0.00605228342424036,-0.00130634655441474,synonymous,7006409737,7,6409737,
PITX2,ENSG00000164093,0.000442894308166131,0.00307885018867948,0.000328813119477633,-0.00135016669390723,synonymous,4110618073,4,110618073,
AC090004.1,ENSG00000268279,0.000468095007367442,0.117316711812496,0.000300475559023905,0.00415067358923845,synonymous,3014130707,3,14130707,
SLC35A3,ENSG00000117620,0.000509226106909511,0.00102412880615421,0.000453064176781148,-0.00428479255384528,synonymous,1099970489,1,99970489,
RLIM,ENSG00000131263,0.000515782890324168,0.00192413077577114,0.000342026051715738,-0.00103320877825549,synonymous,23074583090,X,74583090,
RPS6KA3,ENSG00000177189,0.000580935303183705,0.0016869187516515,0.000529622331572943,0.00186888546904609,synonymous,23020155326,X,20155326,
MGAT2,ENSG00000168282,0.000585125330905822,0.000379339581132454,0.0161785318099898,-0.00308091771974232,synonymous,14049618729,14,49618729,
FEM1B,ENSG00000169018,0.000588286251749781,0.00120836357905274,0.000722729529847754,0.00129331474290141,synonymous,15068278294,15,68278294,
COX4I2,ENSG00000131055,0.000590927235860073,0.000528192289375395,0.00568439483381222,-0.00302936902023345,synonymous,20031638937,20,31638937,
AK6,ENSG00000085231,0.000606496907227916,0.000766275668565464,0.000621438316650069,0.00347215662730606,synonymous,5069352005,5,69352005,
RNPS1,ENSG00000205937,0.000606879511139691,0.197236160401515,0.00040026369922852,0.00138275524346739,synonymous,16002251272,16,2251272,
RHOBTB1,ENSG00000072422,0.000615773505344919,0.00090781545263674,0.00155634747003597,0.00213468978087556,synonymous,10060871394,10,60871394,
LSM14A,ENSG00000257103,0.000621216477986075,0.000396735479949895,0.00493077942518216,-0.00455548863878325,synonymous,19034172558,19,34172558,
SYS1,ENSG00000204070,0.00065279290196929,0.000708876711744688,0.000680183565404335,-0.00204581619574822,synonymous,20045359971,20,45359971,
CCNB1IP1,ENSG00000100814,0.000664189536494719,0.000509100889919845,0.00185008982376789,-0.00291202317622965,synonymous,14020311492,14,20311492,
TLR8,ENSG00000101916,0.00066977881903707,0.000853578273861233,0.00170567385551579,-0.0013801318562491,synonymous,23012906639,X,12906639,
EXOSC3,ENSG00000107371,0.000681609038131858,0.0222020639555703,0.000551849231364976,0.00190791479194214,synonymous,9037776207,9,37776207,
TIPIN,ENSG00000075131,0.000691239224499318,0.000646674739185893,0.0027621948258898,0.00230476087309325,synonymous,15066331762,15,66331762,
