Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
TBX5,ENSG00000089225,1.05710540346989e-15,1.74933658269194e-9,1.89409419866891e-16,0.00534616538060301,missense|LC,12114355429,12,114355429,
FHOD3,ENSG00000134775,4.88366347362046e-10,0.0201482316605314,2.23867034003709e-10,-0.00104384859891139,missense|LC,18036297836,18,36297836,
DPP10,ENSG00000175497,0.0000029397771857953,0.00180507264314633,0.00000230074916973688,0.00323867057439579,missense|LC,2115161860,2,115161860,
AKTIP,ENSG00000166971,0.00000471305460891802,0.00000634964468348986,0.00000791725091686679,-0.00532569195283254,missense|LC,16053490070,16,53490070,
FDFT1,ENSG00000079459,0.000037502314830129,0.013385384109045,0.0000175340018575554,0.00150295687101858,missense|LC,8011808418,8,11808418,
AL021997.3,ENSG00000276302,0.0000393619447011107,0.000307581588852912,0.0000354945144029895,-0.0066560393114675,missense|LC,6028271853,6,28271853,
ANKS1A,ENSG00000064999,0.0000616235644543828,0.00150423316699566,0.0000686004922026973,-0.00449410305533174,missense|LC,6034887691,6,34887691,
ADH7,ENSG00000196344,0.0000931474969920743,0.00138547427100055,0.0000865696666642046,0.00320346093760207,missense|LC,4099413080,4,99413080,
FASTK,ENSG00000164896,0.000110459082366288,0.0000921561443518737,0.00462998557659866,0.0034684045262299,missense|LC,7151071629,7,151071629,
LCTL,ENSG00000188501,0.000111465348652695,0.0000478249006357068,0.00724185966611202,0.00289296875852803,missense|LC,15066546551,15,66546551,
OSER1,ENSG00000132823,0.000149526491176388,0.740682109738508,0.0000659548426242829,0.000838314281505944,missense|LC,20044197014,20,44197014,
KCNJ5,ENSG00000120457,0.000153046182007843,0.0000611989256056322,0.0445974435166432,0.0078262851021501,missense|LC,11128902441,11,128902441,
APBB1IP,ENSG00000077420,0.000157298500579883,0.000132144363420461,0.000460828684279657,-0.00260509602115656,missense|LC,10026492263,10,26492263,
OGFOD2,ENSG00000111325,0.00015784035658728,0.0000874831694309686,0.00988495598476713,-0.00342646035841344,missense|LC,12122976412,12,122976412,
SUSD4,ENSG00000143502,0.000163042302938954,0.0163394243628974,0.000121185399969637,-0.00206322983136166,missense|LC,1223222103,1,223222103,
KDM5B,ENSG00000117139,0.000181938641343415,0.000111185070871489,0.0293597290236084,-0.00272219472109841,missense|LC,1202728943,1,202728943,
PNCK,ENSG00000130822,0.000187260928908861,0.100655313468148,0.000171859412792741,-0.000789353161050888,missense|LC,23153670350,X,153670350,
FAM184A,ENSG00000111879,0.000189014127821685,0.0000803774720139483,0.00153441694802958,0.00370613311554718,missense|LC,6118960054,6,118960054,
TAGLN,ENSG00000149591,0.000197995234774262,0.000121087140448894,0.0621683103219648,0.00693865177995768,missense|LC,11117195719,11,117195719,
AMT,ENSG00000145020,0.000207675729101409,0.00666372510273372,0.000144351707049073,0.00217456213651475,missense|LC,3049412314,3,49412314,
IRX2,ENSG00000170561,0.000230648063980543,0.152381438086496,0.0000937751339664672,-0.0015494815551353,missense|LC,5002747510,5,2747510,
DEFA5,ENSG00000164816,0.000246776828076944,0.000335308848274152,0.000330716986345569,0.004092533371706,missense|LC,8007055384,8,7055384,
APC2,ENSG00000115266,0.000257174804443872,0.000230603585458011,0.00307032510296423,0.00148469437613686,missense|LC,19001452868,19,1452868,
FAM187B,ENSG00000177558,0.000266453651423748,0.0764545939990178,0.000154204779856837,0.00210132579092148,missense|LC,19035224708,19,35224708,
HSD11B1L,ENSG00000167733,0.00027168411376588,0.000115346498236857,0.0544330077591588,0.00600742570247899,missense|LC,19005679272,19,5679272,
ACP5,ENSG00000102575,0.000273231573826083,0.0548215838724353,0.000183938654067961,0.00164913273891242,missense|LC,19011574919,19,11574919,
UGGT2,ENSG00000102595,0.00027423375308111,0.160306364812256,0.000116184385289708,-0.000725672327503467,missense|LC,13095801705,13,95801705,
CEP164,ENSG00000110274,0.000285176322401326,0.00487259021009212,0.000252235534318968,0.00169059035331009,missense|LC,11117336107,11,117336107,
PIK3CA,ENSG00000121879,0.000301646384560539,0.000122543886379445,0.229805485543654,-0.00767818976278627,missense|LC,3179198801,3,179198801,
CTAGE8,ENSG00000244693,0.000317701884709809,0.00045066548330619,0.000525555515190956,0.00310128063786164,missense|LC,7144266905,7,144266905,
ZFPM1,ENSG00000179588,0.000334804167780423,0.00112112167862333,0.000570353179654592,-0.00143912708005828,missense|LC,16088453563,16,88453563,
USP21,ENSG00000143258,0.000372144184331069,0.213068515167719,0.000272425745548421,-0.00122357078901941,missense|LC,1161156892,1,161156892,
GPRC6A,ENSG00000173612,0.000373636115334142,0.00017293134330143,0.0258433623835947,0.00235995702725505,missense|LC,6116792088,6,116792088,
SERINC1,ENSG00000111897,0.000399787594064338,0.00632269932654705,0.000300134554401588,0.00278436399813343,missense|LC,6122444958,6,122444958,
FBXO24,ENSG00000106336,0.000411085282497559,0.0833504419422294,0.000298622550687799,-0.00135318496984994,missense|LC,7100585773,7,100585773,
CHRAC1,ENSG00000104472,0.000424973704347686,0.0528406402455068,0.000226965042301019,0.00396306739445313,missense|LC,8140511404,8,140511404,
DUSP16,ENSG00000111266,0.000427971816841843,0.000316830417192326,0.00487771423168004,0.00280392503861341,missense|LC,12012476757,12,12476757,
ZBTB32,ENSG00000011590,0.000462015054545128,0.0111908396418919,0.000369293349069322,0.00353539934188535,missense|LC,19035714528,19,35714528,
PIGZ,ENSG00000119227,0.000463052436506683,0.00108368937050629,0.000815157381349962,0.00196385319442047,missense|LC,3196941834,3,196941834,
ATG14,ENSG00000126775,0.000475698211005127,0.0669516399820622,0.00023826898335999,-0.00230456201820914,missense|LC,14055369535,14,55369535,
MYH6,ENSG00000197616,0.000483466167062185,0.00189870540561488,0.000407118875560331,-0.00115401281045576,missense|LC,14023377130,14,23377130,
MUC15,ENSG00000169550,0.00050480965913291,0.00327513443980021,0.000472847201206217,0.00437556598526716,missense|LC,11026559679,11,26559679,
PODN,ENSG00000174348,0.000519047321297594,0.0596922661167901,0.000338555406683483,0.00144798614573701,missense|LC,1053062140,1,53062140,
WDR73,ENSG00000177082,0.000528331011177441,0.9284103243404,0.000227800173744575,0.000130114796819325,missense|LC,15084634495,15,84634495,
IGBP1,ENSG00000089289,0.000590006397611642,0.000694407328637459,0.000972770038264681,-0.0028262016248425,missense|LC,23070133904,X,70133904,
NCAPD3,ENSG00000151503,0.000592861470404715,0.000486279825728575,0.0049645799990925,0.00187442165742781,missense|LC,11134145912,11,134145912,
MAP2K6,ENSG00000108984,0.000596120432292513,0.000556568322551132,0.00224304669515207,-0.00741617958464836,missense|LC,17069414918,17,69414918,
OR2A4,ENSG00000180658,0.000599111156393994,0.000369109018268254,0.0298171542325862,-0.00856156402729337,missense|LC,6131700528,6,131700528,
SPRY4,ENSG00000187678,0.000640088681442386,0.000388373744981352,0.0778333901748816,0.00274375252734251,missense|LC,5142314107,5,142314107,
HERPUD1,ENSG00000051108,0.000686510464749546,0.00041520882817847,0.0142287651493413,0.00612816764381218,missense|LC,16056931990,16,56931990,
SLC37A1,ENSG00000160190,0.000704560379499397,0.0187222090941086,0.000479187328624731,0.00199656169439608,missense|LC,21042518354,21,42518354,
FBLN1,ENSG00000077942,0.000706829443553825,0.0050285357893376,0.000901676061413337,-0.00288298905839537,missense|LC,22045502942,22,45502942,
DDX25,ENSG00000109832,0.000794803691359314,0.000939204333143984,0.00173278307222668,-0.00309688512577013,missense|LC,11125899509,11,125899509,
SLC25A26,ENSG00000144741,0.000802817911991216,0.000441185200461103,0.0199814602668953,0.00526552277378015,missense|LC,3066221004,3,66221004,
SDC3,ENSG00000162512,0.000853975177365185,0.00129249664724918,0.00202267202926265,0.002661846987762,missense|LC,1030873174,1,30873174,
OR2AT4,ENSG00000171561,0.000864752477157227,0.000503883370420843,0.0821548746590733,-0.00281477024515274,missense|LC,11075088671,11,75088671,
PRPF4,ENSG00000136875,0.00088763113594148,0.00111858904537576,0.00125655772678568,-0.00321030712164534,missense|LC,9113272387,9,113272387,
CCS,ENSG00000173992,0.000902138406208897,0.121344601534447,0.000609058549740027,0.00200480831693033,missense|LC,11066590416,11,66590416,
PLA2G7,ENSG00000146070,0.000909049639134518,0.0142860184389966,0.00059793035954181,0.00264876469193894,missense|LC,6046701780,6,46701780,
TTC39B,ENSG00000155158,0.000917930906196518,0.000425725737898341,0.13800438524571,0.00208928517739817,missense|LC,9015171976,9,15171976,
DLC1,ENSG00000164741,0.000927197104235167,0.000449411533560262,0.0624029684737637,-0.0017634438622878,missense|LC,8013085671,8,13085671,
CDC42BPA,ENSG00000143776,0.000951050924385632,0.30621304198938,0.00041066166287973,0.00284082850450213,missense|LC,1226984866,1,226984866,
LSM14A,ENSG00000257103,0.0009560339224296,0.000738741802993492,0.0199435401994531,-0.00322916814413746,missense|LC,19034172558,19,34172558,
PTTG1,ENSG00000164611,0.000966950410309808,0.480834868988375,0.000471304969152708,0.00236530171651898,missense|LC,5160422258,5,160422258,
IFNAR1,ENSG00000142166,0.00097687601985208,0.850416763247087,0.000625404613026737,-0.000178841063814441,missense|LC,21033324981,21,33324981,
AC092073.1,ENSG00000266953,0.000980928595732622,0.00259363524598544,0.000896179084476922,-0.00386545540272567,missense|LC,19034393212,19,34393212,
C4orf46,ENSG00000205208,0.000986722284819663,0.00858228546603756,0.000745720905038438,-0.00507173840550935,missense|LC,4158669533,4,158669533,
