Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
BRCA2,ENSG00000139618,2.08773793284225e-63,3.70076525088194e-53,6.57318571828146e-24,0.0833120562359281,pLoF,13032310603,13,32310603,
BRCA1,ENSG00000012048,1.25464769273706e-33,2.42062392481682e-26,4.47172404000881e-16,0.0983180090683399,pLoF,17043045552,17,43045552,
CHEK2,ENSG00000183765,2.16342735075437e-18,8.16945090045855e-19,3.19736830324903e-17,0.0424752766793782,pLoF,22028687869,22,28687869,
PALB2,ENSG00000083093,3.53590356287344e-14,1.97421679203699e-14,5.46601364201818e-11,0.0587421051003047,pLoF,16023603411,16,23603411,
ATM,ENSG00000149311,2.2927447711156e-13,1.24046134899162e-11,0.00000418222878173502,0.0447532590963632,pLoF,11108222417,11,108222417,
AFDN,ENSG00000130396,0.0000126919198486508,0.0000795090582856872,0.0000405428371863525,0.0978434364173665,pLoF,6167864490,6,167864490,
BARD1,ENSG00000138376,0.0000129468263199151,0.00000627186303070459,0.00540868238812142,0.0529028865230083,pLoF,2214728603,2,214728603,
TBXAS1,ENSG00000059377,0.0000559568175780845,0.000719941374076161,0.0000619535693839879,0.0376664095578458,pLoF,7139777552,7,139777552,
FAM160A1,ENSG00000164142,0.0000779793271699081,0.00157331237975655,0.0000684400435323473,0.0387379130985022,pLoF,4151566226,4,151566226,
VWCE,ENSG00000167992,0.000109060543085238,0.000219628546618722,0.000703828031161091,0.0600879621952975,pLoF,11061258561,11,61258561,
CA13,ENSG00000185015,0.000131723483768775,0.000516758714212973,0.000223161611263567,0.0699015711888309,pLoF,8085245733,8,85245733,
MAP2K4,ENSG00000065559,0.000153944716531185,0.000129249201220594,0.001045033653575,0.135349629156956,pLoF,17012020861,17,12020861,
ZNHIT1,ENSG00000106400,0.000178899437902946,0.00165882679584672,0.000147846984375644,0.056861638638868,pLoF,7101213165,7,101213165,
BLOC1S2,ENSG00000196072,0.000187909415349297,0.000122048963135724,0.0000772894516607447,0.053720415493343,pLoF,10100275377,10,100275377,
ZNF646,ENSG00000167395,0.000240609332204267,0.000107525841268497,0.0143394924211997,0.0632156643132873,pLoF,16031076197,16,31076197,
ARHGEF5,ENSG00000050327,0.000318717404295565,0.00637169343313149,0.000259194843034161,0.036914888656904,pLoF,7144362626,7,144362626,
POLR3H,ENSG00000100413,0.000318888093599479,0.0014817957822586,0.000341105258770069,0.0665760160662309,pLoF,22041522726,22,41522726,
CACNA1G,ENSG00000006283,0.00035337368109023,0.000198810179161679,0.0105366762650267,0.0715672630215761,pLoF,17050555717,17,50555717,
ATAD2,ENSG00000156802,0.000372393766535306,0.00152446167751141,0.000809967704896497,0.0609866115342459,pLoF,8123321072,8,123321072,
WRN,ENSG00000165392,0.000504583032386652,0.0117298626209933,0.000399858304167,0.0151893855500991,pLoF,8031031653,8,31031653,
WNK1,ENSG00000060237,0.000603254792195029,0.000519053966325567,0.00365996668469493,0.0373631065918935,pLoF,12000753447,12,753447,
ZC3H11A,ENSG00000058673,0.000610839028822641,0.000821960960049273,0.00101265246742965,0.130060054349048,pLoF,1203797437,1,203797437,
NTSR1,ENSG00000101188,0.000626214802218583,0.0178825619885286,0.000445606301363144,0.0471805537063089,pLoF,20062709130,20,62709130,
